pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Lebensmittel,das,n,"das Lebensmittel — neuter.",Lebensmittel,"grocery / food","Wir kaufen Lebensmittel auf dem Markt.","We buy groceries at the market.","Die Lebensmittel sind frisch.","The food is fresh."
noun,Einkaufsliste,die,f,"die Einkaufsliste — feminine.",Einkaufslisten,"shopping list","Ich schreibe eine Einkaufsliste.","I am writing a shopping list.","Hast du die Einkaufsliste?","Do you have the shopping list?"
noun,Kühlschrank,der,m,"der Kühlschrank — masculine.",Kühlschränke,"refrigerator","Die Milch steht im Kühlschrank.","The milk is in the fridge.","Mein Kühlschrank ist leer.","My fridge is empty."
noun,Verpackung,die,f,"die Verpackung — feminine.",Verpackungen,"packaging","Die Verpackung ist aus Plastik.","The packaging is made of plastic.","Wir sammeln Verpackungen.","We collect packaging."
noun,Dose,die,f,"die Dose — feminine.",Dosen,"can / tin","Ich brauche eine Dose Tomaten.","I need a can of tomatoes.","Das Bier ist in der Dose.","The beer is in the can."
noun,Flasche,die,f,"die Flasche — feminine.",Flaschen,"bottle","Wir kaufen drei Flaschen Wasser.","We are buying three bottles of water.","Die Flasche ist leer.","The bottle is empty."
noun,Packung,die,f,"die Packung — feminine.",Packungen,"pack / packet","Ich nehme eine Packung Nudeln.","I'll take a packet of pasta.","Eine Packung Eier, bitte.","A pack of eggs, please."
noun,Glas,das,n,"das Glas — neuter.",Gläser,"glass / jar","Er kauft ein Glas Marmelade.","He is buying a jar of jam.","Ich trinke ein Glas Wein.","I am drinking a glass of wine."
noun,Becher,der,m,"der Becher — masculine.",Becher,"cup / tub","Ein Becher Joghurt steht auf dem Tisch.","A tub of yogurt is on the table.","Möchtest du einen Becher Kaffee?","Would you like a cup of coffee?"
noun,Stück,das,n,"das Stück — neuter.",Stücke,"piece","Ich esse ein Stück Kuchen.","I am eating a piece of cake.","Zwei Stück Pizza, bitte.","Two pieces of pizza, please."
noun,Kilo,das,n,"das Kilo(gramm) — neuter.",Kilo,"kilo","Ein Kilo Kartoffeln, bitte.","One kilo of potatoes, please.","Das Fleisch wiegt ein Kilo.","The meat weighs one kilo."
noun,Gramm,das,n,"das Gramm — neuter.",Gramm,"gram","Hundert Gramm Schinken, bitte.","A hundred grams of ham, please.","Wir brauchen 200 Gramm Käse.","We need 200 grams of cheese."
noun,Liter,der,m,"der Liter — masculine.",Liter,"liter","Ich trinke zwei Liter Wasser am Tag.","I drink two liters of water a day.","Wir brauchen einen Liter Milch.","We need a liter of milk."
noun,Müll,der,m,"der Müll — masculine.",-,"trash / garbage","Wir müssen den Müll trennen.","We have to separate the trash.","Der Müll ist voll.","The trash is full."
verb,trennen,-,-,-,-,"to separate","Bitte trennen Sie den Müll.","Please separate the trash.","Wir trennen Papier und Plastik.","We separate paper and plastic."
verb,sortieren,-,-,-,-,"to sort","Er sortiert den Müll.","He sorts the trash.","Wir sortieren die Flaschen.","We are sorting the bottles."
noun,Plastik,das,n,"das Plastik — neuter.",-,"plastic","Die Flasche ist aus Plastik.","The bottle is made of plastic.","Wir werfen Plastik in den gelben Sack.","We throw plastic in the yellow bag."
