pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Montag,der,m,der Montag — days of the week are masculine.,Montage,Monday,"Am Montag arbeite ich.","On Monday I work.","Heute ist Montag.","Today is Monday."
noun,Dienstag,der,m,der Dienstag — days of the week are masculine.,Dienstage,Tuesday,"Hast du am Dienstag Zeit?","Do you have time on Tuesday?","Der Dienstag ist frei.","Tuesday is free."
noun,Mittwoch,der,m,der Mittwoch — days of the week are masculine.,Mittwoche,Wednesday,"Mittwoch ist in der Mitte der Woche.","Wednesday is in the middle of the week.","Am Mittwoch spiele ich Fußball.","On Wednesday I play soccer."
noun,Donnerstag,der,m,der Donnerstag — days of the week are masculine.,Donnerstage,Thursday,"Gehen wir am Donnerstag ins Kino?","Are we going to the cinema on Thursday?","Donnerstagabend.","Thursday evening."
noun,Freitag,der,m,der Freitag — days of the week are masculine.,Freitage,Friday,"Endlich Freitag!","Finally Friday!","Am Freitag habe ich einen Termin.","On Friday I have an appointment."
noun,Samstag,der,m,der Samstag — days of the week are masculine.,Samstage,Saturday,"Samstag ist das Wochenende.","Saturday is the weekend.","Am Samstag schlafe ich lange.","On Saturday I sleep late."
noun,Sonntag,der,m,der Sonntag — days of the week are masculine.,Sonntage,Sunday,"Am Sonntag arbeite ich nicht.","On Sunday I do not work.","Wir gehen am Sonntag spazieren.","We go for a walk on Sunday."
noun,Wochenende,das,n,das Wochenende — compound ending in -ende.,Wochenenden,weekend,"Schönes Wochenende!","Have a nice weekend!","Was machst du am Wochenende?","What are you doing on the weekend?"
noun,Morgen,der,m,der Morgen — times of day are usually masculine.,Morgen,morning,"Am Morgen trinke ich Kaffee.","In the morning I drink coffee.","Guten Morgen!","Good morning!"
noun,Vormittag,der,m,der Vormittag — times of day are usually masculine.,Vormittage,morning (before noon) / late morning,"Am Vormittag lerne ich Deutsch.","In the late morning I learn German.","Er arbeitet am Vormittag.","He works in the morning."
noun,Mittag,der,m,der Mittag — times of day are usually masculine.,Mittage,noon / midday,"Am Mittag esse ich.","At noon I eat.","Treffen wir uns am Mittag?","Shall we meet at midday?"
noun,Nachmittag,der,m,der Nachmittag — times of day are usually masculine.,Nachmittage,afternoon,"Am Nachmittag habe ich frei.","In the afternoon I am free.","Was machst du am Nachmittag?","What are you doing in the afternoon?"
noun,Abend,der,m,der Abend — times of day are usually masculine.,Abende,evening,"Am Abend sehe ich fern.","In the evening I watch TV.","Wir gehen am Abend essen.","We are going out to eat in the evening."
noun,Nacht,die,f,die Nacht — exception! Nacht is feminine.,Nächte,night,"In der Nacht schlafe ich.","In the night I sleep.","Gute Nacht!","Good night!"
noun,Uhr,die,f,die Uhr.,Uhren,clock / watch / o'clock,"Es ist acht Uhr.","It is eight o'clock.","Die Uhr ist kaputt.","The clock is broken."
noun,Stunde,die,f,die Stunde — ends in -e.,Stunden,hour,"Der Film dauert eine Stunde.","The movie lasts one hour.","Wir haben zwei Stunden Zeit.","We have two hours."
noun,Minute,die,f,die Minute — ends in -e.,Minuten,minute,"Warte eine Minute.","Wait a minute.","Fünf Minuten nach acht.","Five minutes past eight."
noun,Viertel,das,n,das Viertel.,Viertel,quarter,"Es ist Viertel nach drei.","It is a quarter past three.","Wir treffen uns um Viertel vor.","We meet at a quarter to."
noun,Zeit,die,f,die Zeit.,Zeiten,time,"Ich habe keine Zeit.","I have no time.","Hast du Zeit?","Do you have time?"
verb,aufstehen,-,-,-,-,to get up (separable),"Ich stehe um 7 Uhr auf.","I get up at 7 o'clock.","Wann stehst du auf?","When do you get up?"
verb,anrufen,-,-,-,-,to call (separable),"Ich rufe dich am Abend an.","I will call you in the evening.","Ruf mich bitte an!","Call me please!"
verb,einkaufen,-,-,-,-,to shop (separable),"Am Samstag kaufe ich ein.","On Saturday I shop.","Wir kaufen im Supermarkt ein.","We are shopping at the supermarket."
verb,fernsehen,-,-,-,-,to watch TV (separable),"Am Abend sehe ich fern.","In the evening I watch TV.","Siehst du gern fern?","Do you like to watch TV?"
verb,anfangen,-,-,-,-,to start / to begin (separable),"Der Film fängt um 20 Uhr an.","The movie starts at 8 PM.","Wann fängt der Kurs an?","When does the course start?"
verb,spazieren gehen,-,-,-,-,to go for a walk (separable concept),"Wir gehen im Park spazieren.","We are going for a walk in the park.","Gehst du spazieren?","Are you going for a walk?"
verb,aufräumen,-,-,-,-,to clean up / to tidy up (separable),"Ich räume mein Zimmer auf.","I tidy up my room.","Räumst du bitte auf?","Will you clean up please?"
verb,schlafen,-,-,-,-,to sleep,"Ich schlafe in der Nacht.","I sleep in the night.","Er schläft acht Stunden.","He sleeps eight hours."
verb,sehen,-,-,-,-,to see / to watch,"Ich sehe dich.","I see you.","Er sieht einen Film.","He watches a movie."
verb,essen,-,-,-,-,to eat,"Ich esse gern Pizza.","I like eating pizza.","Wir essen am Mittag.","We eat at noon."
verb,gehen,-,-,-,-,to go,"Wir gehen ins Kino.","We are going to the cinema.","Ich gehe nach Hause.","I am going home."
adverb,früh,-,-,-,-,early,"Ich stehe sehr früh auf.","I get up very early.","Es ist noch früh.","It is still early."
adverb,spät,-,-,-,-,late,"Wie spät ist es?","How late is it? (What time is it?)","Es ist schon spät.","It is already late."
adverb,vor,-,-,-,-,before / to (time),"Es ist zehn vor acht.","It is ten to eight.","Viertel vor eins.","A quarter to one."
adverb,nach,-,-,-,-,after / past (time),"Es ist fünf nach zwölf.","It is five past twelve.","Viertel nach zwei.","A quarter past two."
adverb,halb,-,-,-,-,half,"Es ist halb drei (2:30).","It is half past two.","Wir treffen uns um halb acht.","We meet at half past seven."
preposition,um,-,-,-,-,at (a specific time),"Der Termin ist um 10 Uhr.","The appointment is at 10 o'clock.","Wir essen um 13 Uhr.","We eat at 1 PM."
preposition,am,-,-,-,-,on / in the (days and times of day),"Am Montag habe ich Zeit.","On Monday I have time.","Am Abend lese ich.","In the evening I read."
preposition,von,-,-,-,-,from (time),"Ich arbeite von 8 bis 17 Uhr.","I work from 8 to 5.","Von Montag bis Freitag.","From Monday to Friday."
preposition,bis,-,-,-,-,until / to (time),"Ich habe bis 18 Uhr Zeit.","I have until 6 PM.","Bis morgen!","Until tomorrow!"
noun,Kino,das,n,das Kino.,Kinos,cinema,"Wir gehen ins Kino.","We are going to the cinema.","Der Film läuft im Kino.","The movie is playing in the cinema."
noun,Schwimmbad,das,n,das Schwimmbad.,Schwimmbäder,swimming pool,"Gehen wir ins Schwimmbad?","Are we going to the swimming pool?","Ich schwimme im Schwimmbad.","I swim in the pool."
noun,Café,das,n,das Café.,Cafés,cafe / coffee shop,"Wir trinken Kaffee im Café.","We drink coffee in the cafe.","Treffen wir uns im Café?","Shall we meet at the cafe?"
noun,Restaurant,das,n,das Restaurant.,Restaurants,restaurant,"Wir essen heute im Restaurant.","We are eating at the restaurant today.","Das Restaurant ist sehr gut.","The restaurant is very good."
noun,Kneipe,die,f,die Kneipe.,Kneipen,pub / bar,"Wir trinken Bier in der Kneipe.","We drink beer in the pub.","Gehen wir in die Kneipe?","Are we going to the pub?"
noun,Verabredung,die,f,die Verabredung.,Verabredungen,appointment / date,"Ich habe eine Verabredung.","I have an appointment/date.","Die Verabredung ist um acht.","The date is at eight."
noun,Termin,der,m,der Termin.,Termine,appointment (business/official),"Ich habe einen Termin beim Arzt.","I have a doctor's appointment.","Der Termin ist wichtig.","The appointment is important."
adverb,heute,-,-,-,-,today,"Heute ist Montag.","Today is Monday.","Hast du heute Zeit?","Do you have time today?"
adverb,morgen,-,-,-,-,tomorrow,"Morgen fahre ich nach Berlin.","Tomorrow I travel to Berlin.","Bis morgen!","See you tomorrow!"
adverb,gestern,-,-,-,-,yesterday,"Gestern war Sonntag.","Yesterday was Sunday.","Gestern hatte ich keine Zeit.","Yesterday I had no time."
adverb,jetzt,-,-,-,-,now,"Es ist jetzt 12 Uhr.","It is now 12 o'clock.","Was machst du jetzt?","What are you doing now?"
adverb,schon,-,-,-,-,already,"Es ist schon spät.","It is already late.","Bist du schon da?","Are you already here?"
adverb,bald,-,-,-,-,soon,"Ich komme bald.","I am coming soon.","Bis bald!","See you soon!"
adverb,gleich,-,-,-,-,shortly / right away,"Ich komme gleich.","I will be right there.","Der Film fängt gleich an.","The movie starts shortly."
adjective,offiziell,-,-,-,-,official,"Die offizielle Uhrzeit ist 14:00 Uhr.","The official time is 14:00.","Das ist ein offizieller Termin.","That is an official appointment."
adjective,inoffiziell,-,-,-,-,unofficial / informal,"Inoffiziell sagt man: zwei Uhr.","Unofficially you say: two o'clock.","Eine inoffizielle Party.","An unofficial party."
verb,aufmachen,-,-,-,-,to open (separable),"Ich mache das Fenster auf.","I am opening the window.","Wann macht das Geschäft auf?","When does the store open?"
verb,zumachen,-,-,-,-,to close (separable),"Mach bitte die Tür zu.","Please close the door.","Der Supermarkt macht um 20 Uhr zu.","The supermarket closes at 8 PM."
noun,Geschäft,das,n,das Geschäft.,Geschäfte,store / shop,"Das Geschäft macht um 8 Uhr auf.","The store opens at 8.","Ich gehe ins Geschäft.","I am going into the store."
noun,Supermarkt,der,m,der Supermarkt.,Supermärkte,supermarket,"Ich kaufe im Supermarkt ein.","I shop at the supermarket.","Der Supermarkt ist groß.","The supermarket is big."
noun,Bibliothek,die,f,die Bibliothek.,Bibliotheken,library,"Ich lese in der Bibliothek.","I read in the library.","Die Bibliothek ist geschlossen.","The library is closed."
adjective,geöffnet,-,-,-,-,open (status),"Das Geschäft ist geöffnet.","The store is open.","Wir haben von 8 bis 18 Uhr geöffnet.","We are open from 8 to 6."
adjective,geschlossen,-,-,-,-,closed (status),"Die Bibliothek ist sonntags geschlossen.","The library is closed on Sundays.","Heute geschlossen.","Closed today."
noun,Schild,das,n,das Schild.,Schilder,sign,"Was steht auf dem Schild?","What does it say on the sign?","Das Schild ist blau.","The sign is blue."
noun,Öffnungszeit,die,f,die Öffnungszeit.,Öffnungszeiten,opening hours,"Was sind die Öffnungszeiten?","What are the opening hours?","Beachten Sie die Öffnungszeiten.","Note the opening hours."
noun,Bürozeit,die,f,die Bürozeit.,Bürozeiten,office hours,"Unsere Bürozeiten sind von 9 bis 17 Uhr.","Our office hours are from 9 to 5.","Rufen Sie während der Bürozeit an.","Call during office hours."
verb,aufhören,-,-,-,-,to stop / to end (separable),"Der Unterricht hört um 12 auf.","The class ends at 12.","Hör auf!","Stop it!"
noun,Kurs,der,m,der Kurs.,Kurse,course / class,"Der Deutschkurs ist am Vormittag.","The German course is in the morning.","Ich besuche einen Kurs.","I am taking a course."
verb,gehen,-,-,-,-,to work / to be possible,"Geht es am Dienstag?","Does Tuesday work?","Nein, das geht leider nicht.","No, unfortunately that doesn't work."
verb,passen,-,-,-,-,to fit / to suit,"Passt es dir um 8 Uhr?","Does 8 o'clock suit you?","Ja, das passt gut.","Yes, that fits well."
noun,Idee,die,f,die Idee.,Ideen,idea,"Das ist eine gute Idee!","That is a good idea!","Ich habe eine Idee.","I have an idea."
noun,Lust,die,f,die Lust.,-,desire / mood (to do something),"Hast du Lust auf Kino?","Do you feel like going to the movies?","Ich habe heute keine Lust.","I don't feel like it today."
noun,Fußballspiel,das,n,das Fußballspiel.,Fußballspiele,soccer game,"Wir sehen das Fußballspiel.","We are watching the soccer game.","Das Fußballspiel fängt an.","The soccer game is starting."
