pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Wohnung,die,f,die Wohnung — ends in -ung.,Wohnungen,apartment / flat,"Die Wohnung ist groß.","The apartment is big.","Ich suche eine Wohnung.","I am looking for an apartment."
noun,Haus,das,n,das Haus.,Häuser,house,"Wir kaufen ein Haus.","We are buying a house.","Das Haus hat einen Garten.","The house has a garden."
noun,Zimmer,das,n,das Zimmer — ends in -er.,Zimmer,room,"Die Wohnung hat drei Zimmer.","The apartment has three rooms.","Das Zimmer ist hell.","The room is bright."
noun,Wohnzimmer,das,n,das Wohnzimmer.,Wohnzimmer,living room,"Wir sitzen im Wohnzimmer.","We are sitting in the living room.","Das Wohnzimmer ist gemütlich.","The living room is cozy."
noun,Schlafzimmer,das,n,das Schlafzimmer.,Schlafzimmer,bedroom,"Das Schlafzimmer ist klein.","The bedroom is small.","Das Bett steht im Schlafzimmer.","The bed is in the bedroom."
noun,Kinderzimmer,das,n,das Kinderzimmer.,Kinderzimmer,children's room,"Das Kinderzimmer ist laut.","The kids' room is loud.","Die Kinder spielen im Kinderzimmer.","The kids are playing in the kids' room."
noun,Arbeitszimmer,das,n,das Arbeitszimmer.,Arbeitszimmer,study / office room,"Mein Computer steht im Arbeitszimmer.","My computer is in the study.","Ich arbeite im Arbeitszimmer.","I work in the study."
noun,Badezimmer,das,n,das Badezimmer.,Badezimmer,bathroom,"Das Badezimmer hat ein Fenster.","The bathroom has a window.","Das Badezimmer ist neu.","The bathroom is new."
noun,Bad,das,n,das Bad.,Bäder,bath / bathroom,"Die Wohnung hat ein Bad.","The apartment has a bath.","Das Bad ist modern.","The bathroom is modern."
noun,Küche,die,f,die Küche — ends in -e.,Küchen,kitchen,"Wir kochen in der Küche.","We cook in the kitchen.","Die Küche ist sehr klein.","The kitchen is very small."
noun,Flur,der,m,der Flur.,Flure,hallway / corridor,"Die Schuhe stehen im Flur.","The shoes are in the hallway.","Der Flur ist lang und dunkel.","The hallway is long and dark."
noun,Toilette,die,f,die Toilette — ends in -e.,Toiletten,toilet,"Wo ist die Toilette?","Where is the toilet?","Die Toilette ist besetzt.","The toilet is occupied."
noun,Balkon,der,m,der Balkon.,Balkone,balcony,"Die Wohnung hat einen Balkon.","The apartment has a balcony.","Wir sitzen auf dem Balkon.","We are sitting on the balcony."
noun,Terrasse,die,f,die Terrasse — ends in -e.,Terrassen,terrace,"Das Haus hat eine Terrasse.","The house has a terrace.","Im Sommer essen wir auf der Terrasse.","In summer we eat on the terrace."
noun,Garten,der,m,der Garten.,Gärten,garden,"Die Kinder spielen im Garten.","The kids play in the garden.","Der Garten ist sehr groß.","The garden is very big."
noun,Keller,der,m,der Keller — ends in -er.,Keller,basement / cellar,"Die Waschmaschine steht im Keller.","The washing machine is in the basement.","Geh bitte in den Keller.","Please go down to the basement."
noun,Aufzug,der,m,der Aufzug.,Aufzüge,elevator / lift,"Gibt es einen Aufzug?","Is there an elevator?","Der Aufzug ist leider kaputt.","The elevator is unfortunately broken."
noun,Treppe,die,f,die Treppe — ends in -e.,Treppen,stairs / staircase,"Wir müssen die Treppe nehmen.","We have to take the stairs.","Die Treppe ist steil.","The stairs are steep."
noun,Garage,die,f,die Garage — ends in -e.,Garagen,garage,"Das Auto steht in der Garage.","The car is parked in the garage.","Haben Sie eine Garage?","Do you have a garage?"
noun,Quadratmeter,der,m,der Quadratmeter.,Quadratmeter,square meter,"Die Wohnung hat 80 Quadratmeter.","The apartment has 80 square meters.","Wie viele Quadratmeter hat das Zimmer?","How many square meters does the room have?"
noun,Miete,die,f,die Miete — ends in -e.,Mieten,rent,"Die Miete ist sehr hoch.","The rent is very high.","Wie viel Miete bezahlen Sie?","How much rent do you pay?"
