pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Beruf,der,m,der Beruf.,Berufe,profession / job,"Was sind Sie von Beruf?","What is your profession?","Mein Beruf ist interessant.","My job is interesting."
noun,Journalist,der,m,der Journalist (male).,Journalisten,journalist (male),"Er ist Journalist.","He is a journalist.","Der Journalist schreibt einen Text.","The journalist writes a text."
noun,Journalistin,die,f,die Journalistin — ends in -in for female professions.,Journalistinnen,journalist (female),"Sie arbeitet als Journalistin.","She works as a journalist.","Die Journalistin macht ein Interview.","The journalist is doing an interview."
noun,Architekt,der,m,der Architekt (male).,Architekten,architect (male),"Mein Bruder ist Architekt.","My brother is an architect.","Der Architekt plant das Haus.","The architect plans the house."
noun,Architektin,die,f,die Architektin.,Architektinnen,architect (female),"Sie ist Architektin von Beruf.","She is an architect by profession.","Die Architektin arbeitet in Bonn.","The female architect works in Bonn."
noun,Ingenieur,der,m,der Ingenieur.,Ingenieure,engineer (male),"Er arbeitet als Ingenieur.","He works as an engineer.","Der Ingenieur hat viel Arbeit.","The engineer has a lot of work."
noun,Ingenieurin,die,f,die Ingenieurin.,Ingenieurinnen,engineer (female),"Sie ist Ingenieurin.","She is an engineer.","Die Ingenieurin ist im Büro.","The female engineer is in the office."
noun,Mechatroniker,der,m,der Mechatroniker.,Mechatroniker,mechatronics engineer (male),"Der Mechatroniker repariert das Auto.","The mechatronics engineer repairs the car.","Bist du Mechatroniker?","Are you a mechatronics engineer?"
noun,Schauspieler,der,m,der Schauspieler.,Schauspieler,actor,"Er ist ein berühmter Schauspieler.","He is a famous actor.","Der Schauspieler lernt den Text.","The actor learns the text."
noun,Schauspielerin,die,f,die Schauspielerin.,Schauspielerinnen,actress,"Sie ist eine tolle Schauspielerin.","She is a great actress.","Die Schauspielerin lebt in Berlin.","The actress lives in Berlin."
noun,Student,der,m,der Student (weak noun).,Studenten,student (male / university),"Er ist Student in München.","He is a student in Munich.","Der Student lernt Deutsch.","The student is learning German."
noun,Studentin,die,f,die Studentin.,Studentinnen,student (female / university),"Sie ist Studentin.","She is a student.","Die Studentin liest ein Buch.","The female student is reading a book."
noun,Friseur,der,m,der Friseur.,Friseure,hairdresser (male),"Der Friseur schneidet Haare.","The hairdresser cuts hair.","Er arbeitet als Friseur.","He works as a hairdresser."
noun,Friseurin,die,f,die Friseurin.,Friseurinnen,hairdresser (female),"Die Friseurin ist sehr gut.","The female hairdresser is very good.","Nadine ist Friseurin.","Nadine is a hairdresser."
noun,Arzt,der,m,der Arzt.,Ärzte,doctor (male),"Er arbeitet als Arzt.","He works as a doctor.","Der Arzt ist im Krankenhaus.","The doctor is in the hospital."
noun,Ärztin,die,f,die Ärztin — adds Umlaut and -in.,Ärztinnen,doctor (female),"Sie ist Ärztin.","She is a doctor.","Die Ärztin hilft mir.","The female doctor helps me."
noun,Kellner,der,m,der Kellner.,Kellner,waiter,"Der Kellner bringt das Wasser.","The waiter brings the water.","Er hat einen Job als Kellner.","He has a job as a waiter."
noun,Kellnerin,die,f,die Kellnerin.,Kellnerinnen,waitress,"Die Kellnerin ist freundlich.","The waitress is friendly.","Mette arbeitet als Kellnerin.","Mette works as a waitress."
noun,Historiker,der,m,der Historiker.,Historiker,historian (male),"Der Historiker schreibt ein Buch.","The historian writes a book.","Er ist Historiker.","He is a historian."
noun,IT-Spezialist,der,m,der IT-Spezialist.,IT-Spezialisten,IT specialist,"Sven ist IT-Spezialist.","Sven is an IT specialist.","Der IT-Spezialist arbeitet am Computer.","The IT specialist works on the computer."
noun,Arbeitgeber,der,m,der Arbeitgeber.,Arbeitgeber,employer,"Wer ist Ihr Arbeitgeber?","Who is your employer?","Mein Arbeitgeber ist Siemens.","My employer is Siemens."
noun,Wohnort,der,m,der Wohnort.,Wohnorte,place of residence,"Mein Wohnort ist Köln.","My place of residence is Cologne.","Wie heißt der Wohnort?","What is the name of the place of residence?"
noun,Herkunft,die,f,die Herkunft.,Herkünfte,origin,"Herkunft: Österreich.","Origin: Austria.","Das ist das Land meiner Herkunft.","That is the country of my origin."
noun,Alter,das,n,das Alter.,Alter,age,"Alter: 24.","Age: 24.","Das Alter ist nicht wichtig.","Age is not important."
noun,Familienstand,der,m,der Familienstand.,Familienstände,marital status,"Familienstand: ledig.","Marital status: single.","Was ist Ihr Familienstand?","What is your marital status?"
noun,Kind,das,n,das Kind.,Kinder,child,"Ich habe ein Kind.","I have one child.","Wir haben keine Kinder.","We have no children."
noun,Visitenkarte,die,f,die Visitenkarte.,Visitenkarten,business card,"Hier ist meine Visitenkarte.","Here is my business card.","Lesen Sie die Visitenkarten.","Read the business cards."
noun,Steckbrief,der,m,der Steckbrief.,Steckbriefe,profile / fact sheet,"Füllen Sie den Steckbrief aus.","Fill out the profile.","Das ist ein kurzer Steckbrief.","That is a short profile."
noun,Jahr,das,n,das Jahr.,Jahre,year,"Ich bin 30 Jahre alt.","I am 30 years old.","Ein Jahr hat 12 Monate.","A year has 12 months."
noun,Zahl,die,f,die Zahl.,Zahlen,number,"Lernen Sie die Zahlen.","Learn the numbers.","100 ist eine Zahl.","100 is a number."
noun,Vorname,der,m,der Vorname.,Vornamen,first name,"Mein Vorname ist Mette.","My first name is Mette.","Wie ist Ihr Vorname?","What is your first name?"
noun,Familienname,der,m,der Familienname.,Familiennamen,last name / surname,"Mein Familienname ist Svendsen.","My last name is Svendsen.","Wie ist Ihr Familienname?","What is your last name?"
adjective,verheiratet,-,-,-,-,married,"Ich bin verheiratet.","I am married.","Wir sind verheiratet.","We are married."
adjective,geschieden,-,-,-,-,divorced,"Er ist geschieden.","He is divorced.","Sie leben geschieden.","They are divorced."
adjective,ledig,-,-,-,-,single / unmarried,"Familienstand: ledig.","Marital status: single.","Bist du ledig?","Are you single?"
noun,Single,der,m,der Single.,Singles,single (person),"Ich bin Single.","I am a single.","Er lebt als Single.","He lives as a single."
adverb,zusammen,-,-,-,-,together,"Wir leben zusammen.","We live together.","Arbeiten Sie zusammen?","Do you work together?"
