pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Haushalt,der,m,der Haushalt.,Haushalte,household / chores,"Wer macht den Haushalt?","Who does the household chores?","Ich hasse den Haushalt.","I hate doing chores."
noun,Müll,der,m,der Müll (no plural).,-,trash / garbage,"Bring bitte den Müll raus.","Please take out the trash.","Der Müll ist voll.","The trash is full."
noun,Spülmaschine,die,f,die Spülmaschine — ends in -e.,Spülmaschinen,dishwasher,"Die Spülmaschine ist kaputt.","The dishwasher is broken.","Räumst du die Spülmaschine aus?","Are you emptying the dishwasher?"
noun,Waschmaschine,die,f,die Waschmaschine — ends in -e.,Waschmaschinen,washing machine,"Die Waschmaschine läuft.","The washing machine is running.","Wir brauchen eine neue Waschmaschine.","We need a new washing machine."
noun,Wäsche,die,f,die Wäsche.,-,laundry,"Ich muss die Wäsche waschen.","I have to wash the laundry.","Die Wäsche ist nass.","The laundry is wet."
noun,Geschirr,das,n,das Geschirr — starts with Ge-.,-,dishes,"Wer spült das Geschirr?","Who is washing the dishes?","Das Geschirr ist sauber.","The dishes are clean."
noun,Boden,der,m,der Boden.,Böden,floor,"Der Boden ist schmutzig.","The floor is dirty.","Ich wische den Boden.","I am mopping the floor."
noun,Fenster,das,n,das Fenster.,Fenster,window,"Ich putze die Fenster.","I am cleaning the windows.","Das Fenster ist offen.","The window is open."
noun,Staub,der,m,der Staub.,-,dust,"Überall ist Staub.","There is dust everywhere.","Ich wische den Staub.","I am wiping the dust."
noun,Staubsauger,der,m,der Staubsauger — ends in -er.,Staubsauger,vacuum cleaner,"Der Staubsauger ist laut.","The vacuum cleaner is loud.","Wo ist der Staubsauger?","Where is the vacuum cleaner?"
noun,Dreck,der,m,der Dreck.,-,dirt / muck,"Der Dreck muss weg.","The dirt must go.","Überall ist Dreck.","There is dirt everywhere."
noun,Schmutz,der,m,der Schmutz.,-,dirt,"Viel Schmutz auf dem Boden.","A lot of dirt on the floor.","Wir entfernen den Schmutz.","We remove the dirt."
noun,Mitbewohner,der,m,der Mitbewohner.,Mitbewohner,roommate / flatmate (male),"Mein Mitbewohner heißt Tom.","My roommate is named Tom.","Der Mitbewohner ist nett.","The roommate is nice."
