"text","question","answer","distractor1","distractor2","distractor3","translation","tip"
"Guten Tag, Herr Doktor. Mein Kopf tut weh.","Was tut der Person weh?","Der Kopf","Der Bauch","Das Bein","Der Arm","Hello, Doctor. My head hurts.","'Kopf' means head. 'wehtun' means to hurt."
"Sie haben Fieber. Sie sollen im Bett bleiben.","Was soll der Patient machen?","Im Bett bleiben","Sport machen","Arbeiten gehen","Fernsehen","You have a fever. You should stay in bed.","'sollen' means should / supposed to."
"Darf ich morgen schwimmen gehen? - Nein, das dürfen Sie nicht.","Was darf der Patient NICHT machen?","Schwimmen gehen","Schlafen","Ein Buch lesen","Wasser trinken","May I go swimming tomorrow? - No, you are not allowed to do that.","'dürfen' means may / allowed to."
"Nehmen Sie diese Tabletten dreimal am Tag.","Wie oft soll man die Tabletten nehmen?","Dreimal am Tag","Einmal am Tag","Zweimal pro Woche","Gar nicht","Take these pills three times a day.","'dreimal' means three times."
"Bitte atmen Sie tief ein und wieder aus.","Was soll der Patient machen?","Einatmen und ausatmen","Aufstehen","Die Augen zumachen","Den Mund aufmachen","Please breathe in deeply and out again.","'einatmen' is breathe in, 'ausatmen' is breathe out."
"Ich habe starken Schnupfen. Ich brauche ein Taschentuch.","Was hat die Person?","Schnupfen","Husten","Fieber","Bauchschmerzen","I have a bad cold/sniffles. I need a tissue.","'Schnupfen' means runny nose or sniffles."
"Der Arzt muss mich für eine Woche krankschreiben.","Wie lange wird die Person krankgeschrieben?","Eine Woche","Drei Tage","Einen Monat","Zwei Wochen","The doctor must write me a sick note for a week.","'krankschreiben' means to write a sick note."
"Machen Sie bitte den Mund auf und sagen Sie Aaa.","Was soll der Patient aufmachen?","Den Mund","Die Augen","Das Fenster","Die Tür","Please open your mouth and say Ahh.","'Mund' means mouth."
"Mein Rücken tut weh, ich arbeite zu viel am Computer.","Was tut der Person weh?","Der Rücken","Der Fuß","Die Hand","Der Hals","My back hurts, I work too much at the computer.","'Rücken' means back."
"Trinken Sie viel Wasser und Kamillentee gegen den Husten.","Was soll der Patient gegen den Husten trinken?","Wasser und Kamillentee","Kaffee und Cola","Nur Wasser","Nur kalte Getränke","Drink a lot of water and chamomile tea for the cough.","'gegen' means against / for (an illness)."
"Ich bin leider krank. Ich habe Halsschmerzen.","Wie fühlt sich die Person?","Krank","Gesund","Müde","Glücklich","I am unfortunately sick. I have a sore throat.","'krank' means sick."
"Darf ich Kaffee trinken? - Ja, aber nur eine Tasse.","Darf der Patient Kaffee trinken?","Ja, aber nur eine Tasse.","Nein, Kaffee ist verboten.","Ja, so viel er will.","Er soll nur Tee trinken.","May I drink coffee? - Yes, but only one cup.","'nur eine Tasse' means only one cup."
