pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Wohnung,die,f,Most -ung words are feminine.,Wohnungen,apartment / flat,"Meine Wohnung ist groß.","My apartment is big.","Die Wohnung hat drei Zimmer.","The apartment has three rooms."
noun,Haus,das,n,das Haus — neuter (common for buildings).,Häuser,house,"Wir wohnen in einem Haus.","We live in a house.","Das Haus ist sehr schön.","The house is very beautiful."
noun,Zimmer,das,n,Most rooms are neuter in German.,Zimmer,room,"Meine Wohnung hat drei Zimmer.","My apartment has three rooms.","Das Zimmer ist hell.","The room is bright."
noun,Küche,die,f,die Küche — feminine (memorize).,Küchen,kitchen,"Die Küche ist modern.","The kitchen is modern.",,,
noun,Bad,das,n,das Bad — neuter (short for Badezimmer).,Bäder,bathroom,"Das Bad ist klein aber sauber.","The bathroom is small but clean.",,,
noun,Schlafzimmer,das,n,Compound ending in -zimmer (neuter).,Schlafzimmer,bedroom,"Das Schlafzimmer ist ruhig.","The bedroom is quiet.",,,
noun,Wohnzimmer,das,n,Compound ending in -zimmer (neuter).,Wohnzimmer,living room,"Das Wohnzimmer ist hell und groß.","The living room is bright and big.",,,
noun,Tisch,der,m,der Tisch — masculine (common furniture).,Tische,table,"Der Tisch ist aus Holz.","The table is made of wood.",,,
noun,Stuhl,der,m,der Stuhl — masculine.,Stühle,chair,"Der Stuhl ist bequem.","The chair is comfortable.",,,
noun,Bett,das,n,das Bett — neuter.,Betten,bed,"Das Bett ist sehr groß.","The bed is very big.",,,
noun,Etage,die,f,Most -e nouns are feminine.,Etagen,floor / storey,"Meine Wohnung ist im dritten Etage.","My apartment is on the third floor.",,,
adj,groß,,,—,,big / large,"Das Zimmer ist groß.","The room is big.",,,
adj,klein,,,—,,small,"Das Bad ist klein.","The bathroom is small.",,,
adj,schön,,,—,,beautiful / nice,"Die Wohnung ist sehr schön.","The apartment is very nice.",,,
adj,hell,,,—,,bright / light,"Das Wohnzimmer ist hell.","The living room is bright.",,,
adj,ruhig,,,—,,quiet,"Das Schlafzimmer ist ruhig.","The bedroom is quiet.",,,
