pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Hobby,das,n,das Hobby — neuter (English loanword).,Hobbys,hobby,"Was ist dein Hobby?","What is your hobby?","Mein Hobby ist Lesen.","My hobby is reading."
noun,Sport,der,m,der Sport — masculine.,—,sport / exercise,"Ich mache gern Sport.","I like doing sport.","Sport ist gesund.","Sport is healthy."
noun,Musik,die,f,die Musik — feminine.,—,music,"Ich höre gern Musik.","I like listening to music.","Musik macht Spaß.","Music is fun."
noun,Fahrrad,das,n,das Fahrrad — neuter. Compound: Fahr+Rad.,Fahrräder,bicycle,"Ich fahre Fahrrad.","I ride a bicycle.","Das Fahrrad ist neu.","The bicycle is new."
noun,Film,der,m,der Film — masculine.,Filme,film / movie,"Ich schaue einen Film.","I watch a film.","Der Film ist gut.","The film is good."
noun,Buch,das,n,das Buch — neuter.,Bücher,book,"Ich lese ein Buch.","I read a book.","Das Buch ist interessant.","The book is interesting."
noun,Kino,das,n,das Kino — neuter.,Kinos,cinema,"Gehen wir ins Kino?","Shall we go to the cinema?","Das Kino ist groß.","The cinema is big."
noun,Zeit,die,f,die Zeit — feminine.,Zeiten,time,"Hast du Zeit?","Do you have time?","Die Zeit vergeht schnell.","Time passes quickly."
verb,lesen,,,—,,to read,"Ich lese jeden Tag.","I read every day.","Was liest du?","What are you reading?"
verb,schreiben,,,—,,to write,"Ich schreibe einen Brief.","I write a letter.","Kannst du schreiben?","Can you write?"
verb,kochen,,,—,,to cook,"Ich koche gern.","I like cooking.","Er kocht Suppe.","He cooks soup."
verb,reisen,,,—,,to travel,"Ich reise gern.","I like travelling.","Wir reisen nach Berlin.","We travel to Berlin."
verb,schwimmen,,,—,,to swim,"Ich schwimme jeden Morgen.","I swim every morning.","Kannst du schwimmen?","Can you swim?"
verb,tanzen,,,—,,to dance,"Ich tanze gern.","I like dancing.","Sie tanzt sehr gut.","She dances very well."
verb,singen,,,—,,to sing,"Ich singe im Chor.","I sing in a choir.","Er singt gut.","He sings well."
verb,hören,,,—,,to hear / to listen,"Ich höre Musik.","I listen to music.","Hörst du das?","Do you hear that?"
