pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Hobby,das,n,das Hobby — borrowed from English.,Hobbys,hobby,"Was ist dein Hobby?","What is your hobby?","Meine Hobbys sind Lesen und Schwimmen.","My hobbies are reading and swimming."
noun,Freizeit,die,f,die Freizeit — compound ending in -zeit.,-,free time / leisure time,"Was machst du in der Freizeit?","What do you do in your free time?","Ich habe wenig Freizeit.","I have little free time."
noun,Wochenende,das,n,das Wochenende — compound ending in -ende.,Wochenenden,weekend,"Was machst du am Wochenende?","What are you doing on the weekend?","Schönes Wochenende!","Have a nice weekend!"
noun,Fußball,der,m,der Fußball.,Fußbälle,soccer / football,"Ich spiele gern Fußball.","I like playing soccer.","Der Fußball ist rund.","The soccer ball is round."
noun,Schach,das,n,das Schach.,-,chess,"Spielst du Schach?","Do you play chess?","Schach ist interessant.","Chess is interesting."
noun,Internet,das,n,das Internet.,-,internet,"Ich surfe gern im Internet.","I like surfing the internet.","Das Internet ist praktisch.","The internet is practical."
noun,Foto,das,n,das Foto — borrowed word.,Fotos,photo / picture,"Das Foto ist toll.","The photo is great.","Er macht schöne Fotos.","He takes beautiful photos."
noun,Fahrrad,das,n,das Fahrrad — compound ending in -rad.,Fahrräder,bicycle / bike,"Ich fahre Fahrrad.","I ride a bike.","Das Fahrrad ist neu.","The bicycle is new."
noun,Ski,der,m,der Ski.,Skier,ski,"Fährst du Ski?","Do you ski?","Meine Skier sind neu.","My skis are new."
noun,Musik,die,f,die Musik — ends in -ik.,-,music,"Hörst du gern Musik?","Do you like listening to music?","Die Musik ist super.","The music is great."
noun,Buch,das,n,das Buch.,Bücher,book,"Ich lese ein Buch.","I am reading a book.","Die Bücher sind teuer.","The books are expensive."
noun,Sport,der,m,der Sport.,Sportarten,sport(s),"Treibst du Sport?","Do you play sports?","Sport ist gesund.","Sport is healthy."
noun,Kompliment,das,n,das Kompliment.,Komplimente,compliment,"Ich mache dir ein Kompliment.","I am giving you a compliment.","Danke für das Kompliment!","Thanks for the compliment!"
noun,Spaß,der,m,der Spaß.,Späße,fun,"Das macht Spaß!","That is fun!","Viel Spaß!","Have fun!"
noun,Kuchen,der,m,der Kuchen — ends in -en.,Kuchen,cake,"Ich backe einen Kuchen.","I am baking a cake.","Der Kuchen ist lecker.","The cake is delicious."
noun,Kino,das,n,das Kino.,Kinos,cinema / movie theater,"Wir gehen ins Kino.","We are going to the cinema.","Kommt ihr mit ins Kino?","Are you coming with us to the cinema?"
noun,Film,der,m,der Film.,Filme,movie / film,"Der Film ist spannend.","The movie is interesting.","Ich schaue einen Film.","I am watching a movie."
noun,Theater,das,n,das Theater.,Theater,theater,"Gehen wir ins Theater?","Are we going to the theater?","Das Theater ist groß.","The theater is big."
noun,Museum,das,n,das Museum.,Museen,museum,"Das Museum ist alt.","The museum is old.","Im Museum ist es ruhig.","It is quiet in the museum."
