text	question	answer	distractor1	distractor2	distractor3	translation	tip
Was sind Sie von Beruf? - Ich arbeite als Architekt.	Was ist die Person von Beruf?	Architekt	Arzt	Pilot	Lehrer	What is your profession? - I work as an architect.	'Architekt' means architect.
Mein Chef ist heute leider nicht im Büro.	Wer ist heute nicht im Büro?	Der Chef	Der Kollege	Der Praktikant	Der Kunde	My boss is unfortunately not in the office today.	'Chef' means boss.
Sie macht eine Ausbildung zur Köchin in einem Restaurant.	Was macht die Frau?	Eine Ausbildung zur Köchin	Ein Praktikum als Ärztin	Ein Studium an der Uni	Einen Sprachkurs	She is doing an apprenticeship to become a cook in a restaurant.	'Ausbildung' means apprenticeship/training.
Wann hast du heute Feierabend? - Um 18 Uhr.	Wann hat die Person Feierabend?	Um 18 Uhr	Um 17 Uhr	Um 8 Uhr	Um 20 Uhr	When do you get off work today? - At 6 PM.	'Feierabend' is the end of the workday.
Ich studiere Medizin an der Universität.	Was studiert die Person?	Medizin	Informatik	Deutsch	Mathematik	I study medicine at the university.	'studieren' is used for university studies.
Ich mache ein Praktikum bei einer großen Firma.	Was macht die Person bei der Firma?	Ein Praktikum	Eine Ausbildung	Urlaub	Eine Prüfung	I am doing an internship at a large company.	'Praktikum' means internship.
Morgen ist ein Feiertag, wir müssen nicht arbeiten.	Warum müssen sie morgen nicht arbeiten?	Es ist ein Feiertag.	Sie sind krank.	Sie haben Urlaub.	Das Büro ist kaputt.	Tomorrow is a public holiday, we do not have to work.	'Feiertag' means public holiday.
Wir feiern am Wochenende ein großes Fest. Kommst du?	Was machen sie am Wochenende?	Ein Fest feiern	Für eine Prüfung lernen	Das Büro putzen	Ein Auto kaufen	We are celebrating a big festival on the weekend. Are you coming?	'Fest' means festival or celebration.
Ich lade dich herzlich zu meiner Geburtstagsparty ein.	Was macht die Person?	Sie lädt zur Party ein.	Sie kauft ein Geschenk.	Sie sagt die Party ab.	Sie backt einen Kuchen.	I cordially invite you to my birthday party.	'einladen' is a separable verb meaning to invite.
Vielen Dank für das schöne Geschenk! Ich freue mich sehr.	Wofür bedankt sich die Person?	Für das Geschenk	Für die Einladung	Für die E-Mail	Für das Essen	Thank you very much for the beautiful gift! I am very happy.	'Geschenk' means gift/present.
Ich gratuliere dir zum neuen Job! Viel Erfolg!	Wozu gratuliert die Person?	Zum neuen Job	Zum Geburtstag	Zur Hochzeit	Zum neuen Auto	I congratulate you on the new job! Much success!	'gratulieren' takes the Dative case (zum).
Hast du die Deutschprüfung bestanden? - Ja, zum Glück!	Was hat die Person bestanden?	Die Deutschprüfung	Den Führerschein	Den Eignungstest	Den Kochkurs	Did you pass the German exam? - Yes, fortunately!	'bestehen' means to pass (an exam).
In der Zukunft möchte ich viel reisen und die Welt sehen.	Was möchte die Person in der Zukunft machen?	Reisen und die Welt sehen	Ein Haus bauen	Viel Geld verdienen	Im Büro arbeiten	In the future I want to travel a lot and see the world.	'Zukunft' means future.
Mein großer Traum ist es, Pilot zu werden.	Was will die Person werden?	Pilot	Arzt	Chef	Architekt	My big dream is to become a pilot.	'werden' means to become.
Das Gehalt in dieser Firma ist wirklich sehr gut.	Wie ist das Gehalt in der Firma?	Sehr gut	Sehr schlecht	Zu niedrig	Normal	The salary in this company is really very good.	'Gehalt' means salary.
Mein Job ist manchmal ein bisschen stressig, aber interessant.	Wie ist der Job?	Stressig, aber interessant	Langweilig und schlecht	Sehr ruhig	Nur stressig	My job is sometimes a bit stressful, but interesting.	'stressig' means stressful.
Wir machen um zehn Uhr unsere Frühstückspause.	Wann machen sie die Frühstückspause?	Um zehn Uhr	Um zwölf Uhr	Um acht Uhr	Um neun Uhr	We take our breakfast break at ten o'clock.	'Frühstückspause' means breakfast break.
Ich arbeite als Fitnesstrainer in einem Yogastudio.	Wo arbeitet der Fitnesstrainer?	In einem Yogastudio	In einem Krankenhaus	In einer Schule	In einem Restaurant	I work as a fitness coach in a yoga studio.	'Fitnesstrainer' means fitness coach.
Er studiert fleißig, denn er möchte später Arzt werden.	Was möchte er später werden?	Arzt	Lehrer	Student	Verkäufer	He studies diligently because he wants to become a doctor later.	'später' means later.
Die Kollegen in meiner Abteilung sind sehr hilfsbereit.	Wie sind die Kollegen?	Hilfsbereit	Unfreundlich	Sehr laut	Stressig	The colleagues in my department are very helpful.	'Kollegen' means colleagues.
