pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Fest,das,n,das Fest.,Feste,festival / celebration / party,"Wir feiern ein großes Fest.","We are celebrating a big festival.","Das Fest war wunderschön.","The party was wonderful."
noun,Feier,die,f,die Feier — ends in -er but is feminine (exception).,Feiern,party / celebration,"Kommst du zu meiner Feier?","Are you coming to my party?","Die Feier findet im Garten statt.","The celebration takes place in the garden."
noun,Party,die,f,die Party — borrowed from English.,Partys,party,"Wir machen am Samstag eine Party.","We are throwing a party on Saturday.","Die Party war toll!","The party was great!"
noun,Feiertag,der,m,der Feiertag — compound with Tag.,Feiertage,public holiday,"Morgen ist ein Feiertag.","Tomorrow is a public holiday.","An Feiertagen arbeiten wir nicht.","On holidays we don't work."
noun,Hochzeit,die,f,die Hochzeit — ends in -zeit.,Hochzeiten,wedding,"Wir sind zu einer Hochzeit eingeladen.","We are invited to a wedding.","Die Hochzeit ist im Mai.","The wedding is in May."
noun,Geburtstag,der,m,der Geburtstag — compound with Tag.,Geburtstage,birthday,"Wann hast du Geburtstag?","When is your birthday?","Ich feiere meinen Geburtstag.","I am celebrating my birthday."
noun,Weihnachten,das,n,Weihnachten (often used without article).,-,Christmas,"Wir feiern Weihnachten mit der Familie.","We celebrate Christmas with the family.","Frohe Weihnachten!","Merry Christmas!"
noun,Silvester,das,n,Silvester (often used without article).,-,New Year's Eve,"Was machst du an Silvester?","What are you doing on New Year's Eve?","An Silvester gibt es ein Feuerwerk.","On New Year's Eve there are fireworks."
noun,Neujahr,das,n,Neujahr (often used without article).,-,New Year,"Ein gutes Neujahr!","A happy New Year!","An Neujahr schlafe ich lange.","On New Year's Day I sleep late."
noun,Ostern,das,n,Ostern (often used without article).,-,Easter,"Frohe Ostern!","Happy Easter!","An Ostern suchen wir Eier.","At Easter we hunt for eggs."
noun,Karneval,der,m,der Karneval.,Karnevals,carnival,"Im Februar ist Karneval.","In February is carnival.","Wir feiern Karneval auf der Straße.","We celebrate carnival on the street."
noun,Jubiläum,das,n,das Jubiläum.,Jubiläen,anniversary,"Die Firma feiert ihr Jubiläum.","The company is celebrating its anniversary.","Ein Jubiläum mit vielen Gästen.","An anniversary with many guests."
noun,Einladung,die,f,die Einladung — ends in -ung.,Einladungen,invitation,"Danke für die Einladung!","Thanks for the invitation!","Ich schreibe die Einladungen.","I am writing the invitations."
noun,Gast,der,m,der Gast.,Gäste,guest,"Wir haben am Wochenende Gäste.","We have guests on the weekend.","Die Gäste sind schon da.","The guests are already here."
noun,Gastgeber,der,m,der Gastgeber.,Gastgeber,host,"Der Gastgeber begrüßt die Gäste.","The host greets the guests.","Er ist ein toller Gastgeber.","He is a great host."
noun,Gastgeberin,die,f,die Gastgeberin.,Gastgeberinnen,hostess,"Die Gastgeberin kocht das Essen.","The hostess cooks the food.","Sie ist eine perfekte Gastgeberin.","She is a perfect hostess."
noun,Geschenk,das,n,das Geschenk.,Geschenke,gift / present,"Ich habe ein Geschenk für dich.","I have a gift for you.","Das Geschenk ist sehr schön.","The gift is very nice."
noun,Überraschung,die,f,die Überraschung — ends in -ung.,Überraschungen,surprise,"Das ist eine tolle Überraschung!","That is a great surprise!","Wir planen eine Überraschungsparty.","We are planning a surprise party."
noun,Glückwunsch,der,m,der Glückwunsch — compound with Wunsch.,Glückwünsche,congratulation,"Herzlichen Glückwunsch!","Heartfelt congratulations!","Viele Glückwünsche zum Geburtstag!","Many congratulations on your birthday!"
noun,Blume,die,f,die Blume — ends in -e.,Blumen,flower,"Er schenkt ihr Blumen.","He gives her flowers.","Die Blumen stehen auf dem Tisch.","The flowers are on the table."
noun,Torte,die,f,die Torte — ends in -e.,Torten,cake / tart,"Wir backen eine Torte.","We are baking a cake.","Die Torte hat Schokolade.","The cake has chocolate."
noun,Kerze,die,f,die Kerze — ends in -e.,Kerzen,candle,"Auf der Torte sind Kerzen.","There are candles on the cake.","Mach die Kerzen an.","Light the candles."
noun,Datum,das,n,das Datum.,Daten,date (calendar),"Was ist das heutige Datum?","What is today's date?","Wir müssen ein Datum finden.","We need to find a date."
verb,feiern,-,-,-,-,to celebrate,"Wir feiern bis in die Nacht.","We celebrate into the night.","Wo feiert ihr Silvester?","Where are you celebrating New Year's Eve?"
verb,einladen,-,-,-,-,to invite (separable),"Ich lade dich zu meiner Party ein.","I am inviting you to my party.","Lädst du deine Eltern ein?","Are you inviting your parents?"
verb,eingeladen,-,-,-,-,invited (Partizip II),"Wir sind zur Hochzeit eingeladen.","We are invited to the wedding.","Ich habe 20 Personen eingeladen.","I invited 20 people."
verb,gratulieren,-,-,-,-,to congratulate (takes Dativ),"Ich gratuliere dir zum Geburtstag!","I congratulate you on your birthday!","Wir gratulieren Ihnen.","We congratulate you."
verb,schenken,-,-,-,-,to give (as a gift) (takes Dativ),"Was schenkst du ihm?","What are you giving him?","Ich schenke meiner Mutter Blumen.","I am giving my mother flowers."
verb,wünschen,-,-,-,-,to wish,"Ich wünsche dir alles Gute!","I wish you all the best!","Wir wünschen ein frohes Fest.","We wish a happy holiday."
verb,stattfinden,-,-,-,-,to take place (separable),"Die Party findet am Samstag statt.","The party takes place on Saturday.","Wann findet das Konzert statt?","When does the concert take place?"
verb,absagen,-,-,-,-,to cancel / to decline (an invitation) (separable),"Ich muss leider absagen.","I unfortunately have to decline/cancel.","Sie hat den Termin abgesagt.","She canceled the appointment."
verb,zusagen,-,-,-,-,to accept (an invitation) / to promise (separable),"Er hat sofort zugesagt.","He accepted immediately.","Kannst du mir zusagen?","Can you give me a yes?"
verb,freuen,-,-,-,-,to be happy / to look forward to (reflexive),"Ich freue mich sehr!","I am very happy!","Wir freuen uns auf die Party.","We are looking forward to the party."
verb,mitbringen,-,-,-,-,to bring along (separable),"Soll ich etwas mitbringen?","Should I bring anything along?","Bring bitte Getränke mit.","Please bring drinks."
verb,organisieren,-,-,-,-,to organize,"Wir organisieren ein Fest.","We are organizing a festival.","Wer organisiert das Essen?","Who is organizing the food?"
