pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Schule,die,f,"die Schule — feminine.",Schulen,"school","Ich gehe in die Schule.","I go to school.","Meine Schule war sehr groß.","My school was very big."
noun,Fach,das,n,"das Fach — neuter.",Fächer,"subject (school)","Welches Fach magst du?","Which subject do you like?","Mathe ist mein Lieblingsfach.","Math is my favorite subject."
noun,Schulfach,das,n,"das Schulfach — neuter.",Schulfächer,"school subject","Wir haben viele Schulfächer.","We have many school subjects.","Was war dein bestes Schulfach?","What was your best school subject?"
noun,Mathematik,die,f,"die Mathematik (Mathe) — feminine.",-,"mathematics / math","Mathematik ist wichtig.","Mathematics is important.","In Mathe war ich sehr gut.","I was very good in math."
noun,Englisch,das,n,"das Englisch — neuter (language).",-,"English (subject)","Er spricht sehr gut Englisch.","He speaks English very well.","Englisch war mein Lieblingsfach.","English was my favorite subject."
noun,Deutsch,das,n,"das Deutsch — neuter (language).",-,"German (subject)","Wir lernen Deutsch.","We are learning German.","Der Deutschlehrer ist nett.","The German teacher is nice."
noun,Geschichte,die,f,"die Geschichte — feminine.",Geschichten,"history (subject) / story","Ich interessiere mich für Geschichte.","I am interested in history.","In Geschichte hatte ich eine Eins.","I got an A in history."
noun,Geografie,die,f,"die Geografie — feminine.",-,"geography","Geografie finde ich spannend.","I find geography exciting.","Wir haben heute Geografie.","We have geography today."
noun,Physik,die,f,"die Physik — feminine.",-,"physics","Physik ist oft schwer.","Physics is often difficult.","Ich habe Physik nicht verstanden.","I didn't understand physics."
noun,Chemie,die,f,"die Chemie — feminine.",-,"chemistry","In Chemie machen wir Experimente.","In chemistry we do experiments.","Chemie war interessant.","Chemistry was interesting."
noun,Biologie,die,f,"die Biologie — feminine.",-,"biology","Wir lernen Biologie.","We are learning biology.","Die Biologielehrerin ist streng.","The biology teacher is strict."
noun,Kunst,die,f,"die Kunst — feminine.",Künste,"art (subject)","Kunst macht mir viel Spaß.","Art is a lot of fun for me.","Ich male gerne in Kunst.","I like painting in art class."
noun,Musik,die,f,"die Musik — feminine.",-,"music (subject)","Wir singen in Musik.","We sing in music class.","Hörst du gerne Musik?","Do you like listening to music?"
noun,Sport,der,m,"der Sport — masculine.",-,"PE / sports","Sport war mein Lieblingsfach.","PE was my favorite subject.","Wir treiben viel Sport.","We do a lot of sports."
noun,Lehrer,der,m,"der Lehrer — masculine.",Lehrer,"teacher (male)","Mein Lehrer heißt Herr Müller.","My teacher is Mr. Müller.","Der Lehrer erklärt die Grammatik.","The teacher explains the grammar."
