pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Körper,der,m,"der Körper — masculine.",Körper,"body","Mein Körper ist fit.","My body is fit.","Sport ist gut für den Körper.","Sports are good for the body."
noun,Kopf,der,m,"der Kopf — masculine.",Köpfe,"head","Mein Kopf tut weh.","My head hurts.","Er hat einen großen Kopf.","He has a big head."
noun,Hals,der,m,"der Hals — masculine.",Hälse,"neck / throat","Ich habe Schmerzen im Hals.","I have pain in my throat.","Mein Hals ist rot.","My throat is red."
noun,Rücken,der,m,"der Rücken — masculine.",Rücken,"back","Mein Rücken tut weh.","My back hurts.","Er liegt auf dem Rücken.","He is lying on his back."
noun,Bauch,der,m,"der Bauch — masculine.",Bäuche,"stomach / belly","Ich habe Bauchschmerzen.","I have a stomachache.","Der Bauch ist voll.","The stomach is full."
noun,Arm,der,m,"der Arm — masculine.",Arme,"arm","Mein linker Arm tut weh.","My left arm hurts.","Sie hat lange Arme.","She has long arms."
noun,Bein,das,n,"das Bein — neuter.",Beine,"leg","Er hat sich das Bein gebrochen.","He broke his leg.","Meine Beine sind müde.","My legs are tired."
noun,Hand,die,f,"die Hand — feminine.",Hände,"hand","Gib mir deine Hand.","Give me your hand.","Wasche deine Hände!","Wash your hands!"
noun,Fuß,der,m,"der Fuß — masculine.",Füße,"foot","Mein Fuß tut weh.","My foot hurts.","Er hat große Füße.","He has big feet."
noun,Finger,der,m,"der Finger — masculine.",Finger,"finger","Ich habe mir in den Finger geschnitten.","I cut my finger.","Die Hand hat fünf Finger.","The hand has five fingers."
noun,Zeh,der,m,"der Zeh — masculine (weak noun).",Zehen,"toe","Ich habe zehn Zehen.","I have ten toes.","Mein Zeh tut weh.","My toe hurts."
noun,Auge,das,n,"das Auge — neuter.",Augen,"eye","Meine Augen sind müde.","My eyes are tired.","Sie hat blaue Augen.","She has blue eyes."
noun,Ohr,das,n,"das Ohr — neuter.",Ohren,"ear","Meine Ohren tun weh.","My ears hurt.","Er hat kleine Ohren.","He has small ears."
noun,Nase,die,f,"die Nase — feminine.",Nasen,"nose","Meine Nase läuft.","My nose is running.","Putzt du dir die Nase?","Are you blowing your nose?"
noun,Mund,der,m,"der Mund — masculine.",Münder,"mouth","Mach den Mund auf!","Open your mouth!","Sie hat einen kleinen Mund.","She has a small mouth."
