pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Kleidung,die,f,die Kleidung — feminine (collective).,—,clothing,"Ich kaufe neue Kleidung.","I buy new clothing.","Die Kleidung ist modern.","The clothing is modern."
noun,Hemd,das,n,das Hemd — neuter.,Hemden,shirt,"Das Hemd ist weiß.","The shirt is white.","Er trägt ein Hemd.","He wears a shirt."
noun,Hose,die,f,die Hose — feminine.,Hosen,trousers / pants,"Die Hose ist schwarz.","The trousers are black.","Ich kaufe eine Hose.","I buy a pair of trousers."
noun,Jacke,die,f,die Jacke — feminine.,Jacken,jacket,"Die Jacke ist warm.","The jacket is warm.","Ich brauche eine Jacke.","I need a jacket."
noun,Schuhe,die,f,die Schuh (m) → plural die Schuhe.,Schuhe,shoes,"Die Schuhe sind neu.","The shoes are new.","Ich kaufe Schuhe.","I buy shoes."
noun,Farbe,die,f,die Farbe — feminine.,Farben,colour,"Welche Farbe magst du?","Which colour do you like?","Die Farbe ist schön.","The colour is beautiful."
noun,Größe,die,f,die Größe — feminine.,Größen,size,"Welche Größe haben Sie?","What size do you take?","Die Größe ist richtig.","The size is right."
noun,Geschäft,das,n,das Geschäft — neuter.,Geschäfte,shop / store,"Das Geschäft ist offen.","The shop is open.","Ich gehe ins Geschäft.","I go to the shop."
verb,kaufen,,,—,,to buy,"Ich kaufe ein Hemd.","I buy a shirt.","Was kaufst du?","What are you buying?"
verb,kosten,,,—,,to cost,"Was kostet das?","How much does that cost?","Das kostet zehn Euro.","That costs ten euros."
verb,tragen,,,—,,to wear / to carry,"Ich trage eine Jacke.","I wear a jacket.","Er trägt Schuhe.","He wears shoes."
verb,brauchen,,,—,,to need,"Ich brauche eine Hose.","I need trousers.","Was brauchst du?","What do you need?"
adj,billig,,,—,,cheap,"Das ist sehr billig.","That is very cheap.","Die Hose ist billig.","The trousers are cheap."
adj,teuer,,,—,,expensive,"Das ist zu teuer.","That is too expensive.","Die Jacke ist teuer.","The jacket is expensive."
adj,schwarz,,,—,,black,"Das Hemd ist schwarz.","The shirt is black.",,,
adj,weiß,,,—,,white,"Die Hose ist weiß.","The trousers are white.",,,
