pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Sehenswürdigkeit,die,f,die Sehenswürdigkeit — ends in -keit.,Sehenswürdigkeiten,sight / tourist attraction,"Der Dom ist eine Sehenswürdigkeit.","The cathedral is a tourist attraction.","Welche Sehenswürdigkeiten gibt es hier?","Which sights are there here?"
noun,Turm,der,m,der Turm.,Türme,tower,"Der Turm ist sehr hoch.","The tower is very high.","Wir steigen auf den Turm.","We are climbing the tower."
noun,Dom,der,m,der Dom.,Dome,cathedral,"Der Kölner Dom ist berühmt.","The Cologne Cathedral is famous.","Wir besichtigen den Dom.","We are visiting the cathedral."
noun,Schloss,das,n,das Schloss.,Schlösser,castle / palace,"Das Schloss Neuschwanstein ist romantisch.","Neuschwanstein Castle is romantic.","Wer wohnt im Schloss?","Who lives in the castle?"
noun,Rathaus,das,n,das Rathaus — compound ending in -haus.,Rathäuser,town hall,"Das alte Rathaus ist im Zentrum.","The old town hall is in the center.","Das Rathaus hat einen schönen Platz.","The town hall has a beautiful square."
noun,Markt,der,m,der Markt.,Märkte,market,"Wir kaufen Obst auf dem Markt.","We buy fruit at the market.","Der Markt ist jeden Freitag.","The market is every Friday."
noun,Altstadt,die,f,die Altstadt — compound ending in -stadt.,Altstädte,old town / historic center,"Die Altstadt ist sehr schön.","The old town is very beautiful.","Wir bummeln durch die Altstadt.","We stroll through the old town."
noun,Brücke,die,f,die Brücke — ends in -e.,Brücken,bridge,"Die Brücke ist alt und historisch.","The bridge is old and historical.","Wir gehen über die Brücke.","We walk over the bridge."
noun,Fluss,der,m,der Fluss.,Flüsse,river,"Der Fluss fließt durch die Stadt.","The river flows through the city.","Wir machen eine Fahrt auf dem Fluss.","We are taking a trip on the river."
noun,Hafen,der,m,der Hafen.,Häfen,port / harbor,"Im Hafen liegen viele Schiffe.","In the port lie many ships.","Der Hafen ist groß.","The harbor is big."
noun,Kirche,die,f,die Kirche — ends in -e.,Kirchen,church,"Die Kirche hat zwei Türme.","The church has two towers.","Welche Kirche ist das?","Which church is that?"
noun,Zentrum,das,n,das Zentrum.,Zentren,center,"Das Zentrum ist sehr laut.","The center is very loud.","Wir wohnen direkt im Zentrum.","We live right in the center."
noun,Gebäude,das,n,das Gebäude — starts with Ge-.,Gebäude,building,"Das ist ein modernes Gebäude.","That is a modern building.","Welches Gebäude ist das?","Which building is that?"
noun,Platz,der,m,der Platz.,Plätze,square / plaza,"Der Platz ist sehr berühmt.","The square is very famous.","Wir treffen uns auf dem Platz.","We meet at the square."
noun,Ort,der,m,der Ort.,Orte,place / location,"Das ist ein romantischer Ort.","That is a romantic place.","Ein schöner Ort für Fotos.","A beautiful place for photos."
noun,Stadtführung,die,f,die Stadtführung — ends in -ung.,Stadtführungen,guided city tour,"Wir machen eine Stadtführung.","We are doing a guided city tour.","Die Stadtführung dauert zwei Stunden.","The city tour lasts two hours."
noun,Rundgang,der,m,der Rundgang — compound ending in -gang.,Rundgänge,walking tour,"Ein Rundgang durch die Altstadt.","A walking tour through the old town.","Der Rundgang war interessant.","The walking tour was interesting."
noun,Tourist,der,m,der Tourist.,Touristen,tourist (male),"Der Tourist macht ein Foto.","The tourist is taking a photo.","Viele Touristen kommen hierher.","Many tourists come here."
noun,Touristin,die,f,die Touristin.,Touristinnen,tourist (female),"Die Touristin liest den Plan.","The tourist is reading the map.","Zwei Touristinnen fragen nach dem Weg.","Two tourists ask for the way."
noun,Reiseführer,der,m,der Reiseführer — ends in -er.,Reiseführer,travel guide (book or person),"Der Reiseführer erklärt die Geschichte.","The tour guide explains the history.","Ich kaufe einen Reiseführer für Berlin.","I am buying a travel guide for Berlin."
noun,Trinkgeld,das,n,das Trinkgeld.,Trinkgelder,tip / gratuity,"Geben wir ihm ein Trinkgeld?","Shall we give him a tip?","Das Trinkgeld ist im Preis nicht inklusive.","The tip is not included in the price."
noun,Programm,das,n,das Programm.,Programme,program / schedule,"Was steht heute auf dem Programm?","What is on the schedule today?","Das Kulturprogramm ist super.","The cultural program is super."
noun,Ticket,das,n,das Ticket.,Tickets,ticket,"Wir brauchen zwei Tickets für das Museum.","We need two tickets for the museum.","Wo kaufe ich ein Ticket?","Where do I buy a ticket?"
noun,Souvenir,das,n,das Souvenir.,Souvenirs,souvenir,"Ich kaufe ein Souvenir für meine Mutter.","I am buying a souvenir for my mother.","Ein schönes Souvenir aus München.","A beautiful souvenir from Munich."
noun,Eintritt,der,m,der Eintritt.,Eintritte,admission / entry,"Der Eintritt kostet fünf Euro.","Admission costs five euros.","Der Eintritt ist für Kinder frei.","Admission is free for children."
noun,Preis,der,m,der Preis.,Preise,price,"Der Preis ist hoch.","The price is high.","Ein guter Preis.","A good price."
noun,Ausländer,der,m,der Ausländer — ends in -er.,Ausländer,foreigner (male),"Er ist Ausländer und lernt Deutsch.","He is a foreigner and is learning German.","Viele Ausländer besuchen die Stadt.","Many foreigners visit the city."
noun,Information,die,f,die Information.,Informationen,information (desk/detail),"Haben Sie Informationen über die Stadt?","Do you have information about the city?","Gehen Sie zur Touristeninformation.","Go to the tourist information desk."
noun,Prospekt,der,m,der Prospekt.,Prospekte,brochure / flyer,"Haben Sie einen Prospekt vom Schloss?","Do you have a brochure of the castle?","Ich lese den Prospekt.","I read the brochure."
noun,Plan,der,m,der Plan.,Pläne,map / plan,"Haben Sie einen Plan von der Stadt?","Do you have a map of the city?","Wo sind wir auf dem Plan?","Where are we on the map?"
