sentence,words,tip,translation_en
"Wie ist das Wetter heute?","Wie|ist|das|Wetter|heute|?","Wie = how","What is the weather like today?"
"Die Sonne scheint.","Die|Sonne|scheint|.","scheinen: die Sonne scheint","The sun is shining."
"Es ist kalt im Winter.","Es|ist|kalt|im|Winter|.","im = in dem (dative)","It is cold in winter."
"Im Sommer ist es sehr heiß.","Im|Sommer|ist|es|sehr|heiß|.","sehr = very","In summer it is very hot."
"Es regnet heute.","Es|regnet|heute|.","regnen: es regnet","It is raining today."
"Im Frühling ist das Wetter schön.","Im|Frühling|ist|das|Wetter|schön|.","Frühling = spring","In spring the weather is nice."
"Der Wind ist stark.","Der|Wind|ist|stark|.","stark = strong","The wind is strong."
"Morgen wird es besser.","Morgen|wird|es|besser|.","wird = becomes (future)","Tomorrow it will be better."
"Ich mag den Herbst.","Ich|mag|den|Herbst|.","mögen: ich → mag; den (masc. accusative)","I like autumn."
"Im Winter schneit es oft.","Im|Winter|schneit|es|oft|.","oft = often","In winter it often snows."
