pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Urlaub,der,m,"der Urlaub — masculine.",Urlaube,"vacation / holiday","Wir planen unseren Urlaub.","We are planning our vacation.","Ich brauche dringend Urlaub.","I urgently need a vacation."
noun,Kurzurlaub,der,m,"der Kurzurlaub — masculine.",Kurzurlaube,"short vacation","Wir machen einen Kurzurlaub.","We are taking a short vacation.","Ein Kurzurlaub am Wochenende ist toll.","A short vacation on the weekend is great."
noun,Urlaubsplan,der,m,"der Urlaubsplan — masculine.",Urlaubspläne,"vacation plan","Was ist dein Urlaubsplan?","What is your vacation plan?","Der Urlaubsplan ist fertig.","The vacation plan is ready."
noun,Reiseziel,das,n,"das Reiseziel — neuter.",Reiseziele,"travel destination","Was ist euer nächstes Reiseziel?","What is your next travel destination?","Italien ist ein beliebtes Reiseziel.","Italy is a popular travel destination."
noun,Landschaft,die,f,"die Landschaft — feminine.",Landschaften,"landscape / scenery","Die Landschaft hier ist wunderschön.","The landscape here is beautiful.","Wir fotografieren die Landschaft.","We photograph the landscape."
noun,Atlantik,der,m,"der Atlantik — masculine.",-,"Atlantic Ocean","Wir fliegen über den Atlantik.","We fly over the Atlantic.","Der Atlantik ist sehr groß.","The Atlantic is very large."
noun,Ostsee,die,f,"die Ostsee — feminine.",-,"Baltic Sea","Wir fahren an die Ostsee.","We are driving to the Baltic Sea.","Die Ostsee ist im Sommer schön.","The Baltic Sea is beautiful in the summer."
noun,Nordsee,die,f,"die Nordsee — feminine.",-,"North Sea","Urlaub an der Nordsee ist beliebt.","Vacation at the North Sea is popular.","Das Wasser der Nordsee ist kalt.","The water of the North Sea is cold."
noun,Rhein,der,m,"der Rhein — masculine.",-,"Rhine (river)","Wir machen eine Fahrt auf dem Rhein.","We are taking a trip on the Rhine.","Der Rhein fließt durch Deutschland.","The Rhine flows through Germany."
noun,Nationalpark,der,m,"der Nationalpark — masculine.",Nationalparks,"national park","Wir wandern im Nationalpark.","We are hiking in the national park.","Der Nationalpark schützt die Natur.","The national park protects nature."
noun,Wüste,die,f,"die Wüste — feminine.",Wüsten,"desert","Die Wüste ist sehr trocken.","The desert is very dry.","Kamele leben in der Wüste.","Camels live in the desert."
noun,Meer,das,n,"das Meer — neuter.",Meere,"sea / ocean","Wir fahren ans Meer.","We are going to the sea.","Ich schwimme gerne im Meer.","I like swimming in the sea."
noun,Strand,der,m,"der Strand — masculine.",Strände,"beach","Wir liegen am Strand.","We are lying on the beach.","Lass uns an den Strand gehen.","Let's go to the beach."
noun,Berg,der,m,"der Berg — masculine.",Berge,"mountain","Wir fahren in die Berge.","We are going to the mountains.","Der Berg ist sehr hoch.","The mountain is very high."
noun,Insel,die,f,"die Insel — feminine.",Inseln,"island","Wir fliegen auf eine Insel.","We are flying to an island.","Die Insel ist autofrei.","The island is car-free."
noun,Wald,der,m,"der Wald — masculine.",Wälder,"forest","Wir spazieren durch den Wald.","We are walking through the forest.","Im Wald ist es ruhig.","It is quiet in the forest."
noun,See,der,m,"der See — masculine.",Seen,"lake","Wir baden im See.","We swim in the lake.","Der See ist sehr tief.","The lake is very deep."
noun,Eiffelturm,der,m,"der Eiffelturm — masculine.",-,"Eiffel Tower","Der Eiffelturm steht in Paris.","The Eiffel Tower is in Paris.","Wir haben den Eiffelturm besichtigt.","We visited the Eiffel Tower."
verb,einpacken,-,-,-,-,"to pack up / pack in","Was packst du für den Urlaub ein?","What are you packing for the vacation?","Ich muss meinen Koffer einpacken.","I have to pack my suitcase."
