sentence,words,tip,translation_en
"Ich heiße Anna.","Ich|heiße|Anna|.","""heißen"" introduces names","My name is Anna."
"Das ist ein Buch.","Das|ist|ein|Buch|.","""Das"" (neuter) uses ""ein""","That is a book."
"Ich komme aus Deutschland.","Ich|komme|aus|Deutschland|.","""aus"" + country (no article)","I come from Germany."
"Wie geht es dir?","Wie|geht|es|dir|?","""dir"" = dative of ""du""","How are you?"
"Mir geht es gut.","Mir|geht|es|gut|.","""Mir"" (dative) with ""geht es""","I am fine."
"Ich habe einen Hund.","Ich|habe|einen|Hund|.","""einen"" = masculine accusative","I have a dog."
"Das Wetter ist schön.","Das|Wetter|ist|schön|.","""schön"" = nice/beautiful","The weather is nice."
"Ich mag Pizza.","Ich|mag|Pizza|.","""mögen"" = to like things","I like pizza."
"Die Frau ist nett.","Die|Frau|ist|nett|.","""nett"" = kind (feminine)","The woman is kind."
"Er spielt Fußball.","Er|spielt|Fußball|.","""spielen"" = regular verb","He plays soccer."
"Wir wohnen in Berlin.","Wir|wohnen|in|Berlin|.","""wohnen"" = to live/reside","We live in Berlin."
"Ich bin 20 Jahre alt.","Ich|bin|20|Jahre|alt|.","Literal: ""20 years old""","I am 20 years old."
"Das ist mein Vater.","Das|ist|mein|Vater|.","""mein"" = masculine possessive","That is my father."
"Ich habe eine Schwester.","Ich|habe|eine|Schwester|.","""eine"" = feminine accusative","I have a sister."
"Der Tisch ist groß.","Der|Tisch|ist|groß|.","""groß"" = big (masculine)","The table is big."
"Ich trinke Wasser.","Ich|trinke|Wasser|.","""trinken"" = regular verb","I drink water."
"Das Kind spielt hier.","Das|Kind|spielt|hier|.","""Kind"" = neuter noun","The child plays here."
"Wir gehen nach Hause.","Wir|gehen|nach|Hause|.","""nach Hause"" = (to) home","We are going home."
"Ich lerne Deutsch.","Ich|lerne|Deutsch|.","""Deutsch"" = language name","I learn German."
"Das Auto ist rot.","Das|Auto|ist|rot|.","""rot"" = color adjective","The car is red."
"Wie heißt du?","Wie|heißt|du|?","Verb before subject in questions","What's your name?"
"Das ist mein Buch.","Das|ist|mein|Buch|.","""mein"" matches noun gender","That is my book."
"Guten Morgen!","Guten|Morgen|!","Fixed greeting phrase","Good morning!"
"Sie ist aus Deutschland.","Sie|ist|aus|Deutschland|.","""aus"" = origin (country)","She is from Germany."
"Wir gehen spazieren.","Wir|gehen|spazieren|.","Infinitive at sentence end","We are going for a walk."
"Das Auto ist blau.","Das|Auto|ist|blau|.","Adjective after noun (no ending)","The car is blue."
"Ich esse Brot.","Ich|esse|Brot|.","Accusative object (no article)","I eat bread."
"Wo wohnst du?","Wo|wohnst|du|?","""wo"" + verb-subject inversion","Where do you live?"
"Er hat keine Zeit.","Er|hat|keine|Zeit|.","""keine"" = feminine negation","He has no time."
"Die Katze schläft.","Die|Katze|schläft|.","3rd person ""-t"" ending","The cat is sleeping."
"Zwei Äpfel, bitte.","Zwei|Äpfel|,|bitte|.","Numbers + plural nouns","Two apples, please."
"Ich komme aus Paris.","Ich|komme|aus|Paris|.","""aus"" + city (no article)","I come from Paris."
"Das ist teuer.","Das|ist|teuer|.","Adjective after ""ist""","That is expensive."
"Wann ist die Schule vorbei?","Wann|ist|die|Schule|vorbei|?","""wann"" + verb-subject inversion","When does school end?"
"Sie wohnt hier.","Sie|wohnt|hier|.","3rd person ""-t"" ending","She lives here."
"Das ist nicht richtig.","Das|ist|nicht|richtig|.","""nicht"" negates adjectives","That is not correct."
"Ich trinke Kaffee.","Ich|trinke|Kaffee|.","Accusative object (no article)","I drink coffee."
"Er ist verheiratet.","Er|ist|verheiratet|.","Adjective describes state","He is married."
"Hast du Geschwister?","Hast|du|Geschwister|?","Verb before subject in questions","Do you have siblings?"
"Das ist mein Bruder.","Das|ist|mein|Bruder|.","""das"" for masculine nouns","That is my brother."
"Sie arbeitet zu Hause.","Sie|arbeitet|zu|Hause|.","""zu Hause"" = fixed phrase","She works at home."
"Ich verstehe dich nicht.","Ich|verstehe|dich|nicht|.","""dich"" = accusative object","I don't understand you."
"Es gibt keinen Kuchen.","Es|gibt|keinen|Kuchen|.","""keinen"" = masculine negation","There is no cake."
"Das ist zu schwer.","Das|ist|zu|schwer|.","""zu"" + adjective = ""too""","That is too difficult."
"Sprechen Sie Englisch?","Sprechen|Sie|Englisch|?","Formal ""Sie"" in questions","Do you speak English?"
"Woher kommst du?","Woher|kommst|du|?","""woher"" = from where","Where are you from?"
"Ich wohne in Berlin.","Ich|wohne|
"Das ist eine Katze.","Das|ist|eine|Katze|.","""eine"" = feminine nominative","That is a cat."
"Ich sehe einen Baum.","Ich|sehe|einen|Baum|.","""sehen"" + accusative object","I see a tree."
"Der Stuhl ist klein.","Der|Stuhl|ist|klein|.","""klein"" = small (masculine)","The chair is small."
"Sie liest ein Buch.","Sie|liest|ein|Buch|.","""lesen"" irregular: sie liest","She reads a book."
"Wir essen Obst.","Wir|essen|Obst|.","Collective noun (no article)","We eat fruit."
"Die Sonne scheint.","Die|Sonne|scheint|.","""scheinen"" = to shine","The sun shines."
"Ich habe Hunger.","Ich|habe|Hunger|.","""Hunger haben"" = to be hungry","I am hungry."
"Er trinkt Milch.","Er|trinkt|Milch|.","Liquid noun (no article)","He drinks milk."
"Das Wasser ist kalt.","Das|Wasser|ist|kalt|.","""kalt"" = cold (neuter)","The water is cold."
"Wo ist der Bahnhof?","Wo|ist|der|Bahnhof|?","Masculine noun ""der""","Where is the train station?"
"Es ist warm heute.","Es|ist|warm|heute|.","Weather expression + time","It is warm today."
"Ich spiele Gitarre.","Ich|spiele|Gitarre|.","Musical instrument (no article)","I play guitar."
"Die Blumen sind rot.","Die|Blumen|sind|rot|.","Plural noun + plural verb","The flowers are red."
"Ein Vogel singt.","Ein|Vogel|singt|.","Masculine nominative ""ein""","A bird sings."
"Das Haus ist alt.","Das|Haus|ist|alt|.","""alt"" = old (neuter)","The house is old."
"Ich bin Student.","Ich|bin|Student|.","Masculine profession noun","I am a student."
"Sie arbeitet viel.","Sie|arbeitet|viel|.","""viel"" = much/many","She works a lot."
"Wir fahren Bus.","Wir|fahren|Bus|.","""Bus fahren"" = to take the bus","We take the bus."
"Die Tür ist offen.","Die|Tür|ist|offen|.","""offen"" = open (feminine)","The door is open."
"Ich kaufe Brot.","Ich|kaufe|Brot|.","""kaufen"" = to buy","I buy bread."
"Er schläft jetzt.","Er|schläft|jetzt|.","""jetzt"" = now","He sleeps now."
"Das Bett ist weich.","Das|Bett|ist|weich|.","""weich"" = soft (neuter)","The bed is soft."
"Woher bist du?","Woher|bist|du|?","""woher"" = origin (person)","Where are you from?"
"Ich verstehe Deutsch.","Ich|verstehe|Deutsch|.","Language name (no article)","I understand German."
"Die Kinder spielen.","Die|Kinder|spielen|.","Plural noun ""Kinder""","The children play."
"Es ist halb drei.","Es|ist|halb|drei|.","Time: ""halb"" = half past","It is half past two."
"Ich nehme Kaffee.","Ich|nehme|Kaffee|.","""nehmen"" = to take","I'll take coffee."
"Der Film ist gut.","Der|Film|ist|gut|.","""gut"" = good (masculine)","The movie is good."
"Sie wohnt dort.","Sie|wohnt|dort|.","""dort"" = there","She lives there."
"Ich gehe einkaufen.","Ich|gehe|einkaufen|.","Separable verb at end","I go shopping."
"Das Eis ist lecker.","Das|Eis|ist|lecker|.","""lecker"" = delicious","The ice cream is delicious."
"Wir haben Ferien.","Wir|haben|Ferien|.","Plural noun (always plural)","We have vacation."
"Er ist mein Freund.","Er|ist|mein|Freund|.","""Freund"" = friend (male)","He is my friend."
"Die Tasche ist neu.","Die|Tasche|ist|neu|.","""neu"" = new (feminine)","The bag is new."
"Ich höre Musik.","Ich|höre|Musik|.","""hören"" = to listen/hear","I listen to music."
"Es regnet stark.","Es|regnet|stark|.","""stark"" = heavily","It rains heavily."
"Der Kuchen schmeckt.","Der|Kuchen|schmeckt|.","""schmecken"" = to taste","The cake tastes good."
"Sie liest Zeitung.","Sie|liest|Zeitung|.","Feminine noun (no article)","She reads newspaper."
"Ich schreibe einen Brief.","Ich|schreibe|einen|Brief|.","Accusative masculine object","I write a letter."
"Das Licht ist an.","Das|Licht|ist|an|.","""an sein"" = to be on","The light is on."
"Wir sind glücklich.","Wir|sind|glücklich|.","""glücklich"" = happy","We are happy."
"Er hat Durst.","Er|hat|Durst|.","""Durst haben"" = to be thirsty","He is thirsty."
"Die Uhr zeigt zehn.","Die|Uhr|zeigt|zehn|.","""zeigen"" = to show","The clock shows ten."
"Ich putze die Zähne.","Ich|putze|die|Zähne|.","""die Zähne"" = teeth (plural)","I brush my teeth."
"Sie kauft Gemüse.","Sie|kauft|Gemüse|.","Collective noun (no article)","She buys vegetables."
"Es ist windig.","Es|ist|windig|.","Weather adjective","It is windy."
"Der Hund bellt.","Der|Hund|bellt|.","""bellen"" = to bark","The dog barks."
"Ich wasche das Auto.","Ich|wasche|das|Auto|.","""waschen"" = to wash","I wash the car."
"Das Papier ist weiß.","Das|Papier|ist|weiß|.","""weiß"" = white","The paper is white."
"Wir fahren langsam.","Wir|fahren|langsam|.","Adverb after verb","We drive slowly."
"Das Brot ist frisch.","Das|Brot|ist|frisch|.","""frisch"" = fresh","The bread is fresh."
"Ich lese eine Zeitung.","Ich|lese|eine|Zeitung|.","Feminine accusative object","I read a newspaper."
"Der Park ist schön.","Der|Park|ist|schön|.","Public places use articles","The park is beautiful."
"Sie hat braune Haare.","Sie|hat|braune|Haare|.","Adjective before plural noun","She has brown hair."
"Wir sitzen im Garten.","Wir|sitzen|im|Garten|.","""im"" = in + dem (dative)","We sit in the garden."
"Es schneit heute.","Es|schneit|heute|.","Weather verb ""schneien""","It snows today."
"Ich helfe dir.","Ich|helfe|dir|.","""helfen"" + dative (dir)","I help you."
"Die Lampe ist aus.","Die|Lampe|ist|aus|.","""aus sein"" = to be off","The lamp is off."
"Er fährt mit dem Bus.","Er|fährt|mit|dem|Bus|.","""mit"" + dative transport","He travels by bus."
"Das ist dein Schlüssel.","Das|ist|dein|Schlüssel|.","""dein"" = your (masculine)","That is your key."
"Wir treffen uns morgen.","Wir|treffen|uns|morgen|.","Reflexive ""uns"" = us/ourselves","We meet tomorrow."
"Die Straße ist nass.","Die|Straße|ist|nass|.","""nass"" = wet","The street is wet."
"Ich ziehe mich an.","Ich|ziehe|mich|an|.","Separable verb ""anziehen""","I get dressed."
