pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Gegenstand,der,m,der Gegenstand.,Gegenstände,object / item,"Das ist ein Gegenstand.","That is an object.","Welcher Gegenstand ist das?","Which object is that?"
noun,Produkt,das,n,das Produkt.,Produkte,product,"Das Produkt ist neu.","The product is new.","Das ist ein gutes Produkt.","That is a good product."
noun,Brille,die,f,die Brille — ends in -e.,Brillen,glasses / spectacles,"Das ist meine Brille.","Those are my glasses.","Die Brille ist neu.","The glasses are new."
noun,Schlüssel,der,m,der Schlüssel — ends in -el.,Schlüssel,key,"Hier ist der Schlüssel.","Here is the key.","Ich suche meinen Schlüssel.","I am looking for my key."
noun,Tasche,die,f,die Tasche — ends in -e.,Taschen,bag,"Die Tasche ist aus Leder.","The bag is made of leather.","Ist das deine Tasche?","Is that your bag?"
noun,Regenschirm,der,m,der Regenschirm.,Regenschirme,umbrella,"Der Regenschirm ist nass.","The umbrella is wet.","Ich brauche einen Regenschirm.","I need an umbrella."
noun,Geldbörse,die,f,die Geldbörse — ends in -e.,Geldbörsen,wallet / purse,"Das ist meine Geldbörse.","That is my wallet.","Die Geldbörse ist leer.","The wallet is empty."
noun,Portemonnaie,das,n,das Portemonnaie — borrowed from French.,Portemonnaies,wallet / purse,"Wo ist mein Portemonnaie?","Where is my wallet?","Das Portemonnaie ist teuer.","The wallet is expensive."
noun,Feuerzeug,das,n,das Feuerzeug — ends in -zeug.,Feuerzeuge,lighter,"Hast du ein Feuerzeug?","Do you have a lighter?","Das Feuerzeug ist aus Metall.","The lighter is made of metal."
noun,Kamera,die,f,die Kamera — ends in -a.,Kameras,camera,"Die Kamera macht gute Fotos.","The camera takes good photos.","Das ist eine Kamera.","That is a camera."
noun,Pass,der,m,der Pass.,Pässe,passport,"Hier ist mein Pass.","Here is my passport.","Brauchen Sie den Pass?","Do you need the passport?"
noun,Ausweis,der,m,der Ausweis.,Ausweise,ID card,"Zeigen Sie bitte Ihren Ausweis.","Please show your ID.","Das ist kein Ausweis.","That is not an ID."
noun,Handy,das,n,das Handy — English pseudo-loanword.,Handys,cell phone / mobile phone,"Mein Handy klingelt.","My cell phone is ringing.","Das Handy ist kaputt.","The cell phone is broken."
noun,Stift,der,m,der Stift.,Stifte,pen / pencil,"Hast du einen Stift?","Do you have a pen?","Der Stift schreibt nicht.","The pen doesn't write."
noun,Kugelschreiber,der,m,der Kugelschreiber — ends in -er.,Kugelschreiber,ballpoint pen,"Das ist ein Kugelschreiber.","That is a ballpoint pen.","Der Kugelschreiber ist rot.","The ballpoint pen is red."
noun,Kuli,der,m,der Kuli — short for Kugelschreiber.,Kulis,pen (short form),"Gib mir bitte den Kuli.","Give me the pen please.","Wo ist mein Kuli?","Where is my pen?"
noun,Bleistift,der,m,der Bleistift — compound with Stift.,Bleistifte,pencil,"Ich schreibe mit dem Bleistift.","I write with the pencil.","Der Bleistift ist grau.","The pencil is gray."
noun,Buch,das,n,das Buch.,Bücher,book,"Ich lese ein Buch.","I am reading a book.","Das Buch ist schwer.","The book is heavy."
noun,Wörterbuch,das,n,das Wörterbuch — compound with Buch.,Wörterbücher,dictionary,"Das steht im Wörterbuch.","That is in the dictionary.","Ich brauche ein Wörterbuch.","I need a dictionary."
noun,Heft,das,n,das Heft.,Hefte,notebook / exercise book,"Schreiben Sie das in das Heft.","Write that in the notebook.","Das Heft ist voll.","The notebook is full."
noun,Ring,der,m,der Ring.,Ringe,ring,"Der Ring ist aus Gold.","The ring is made of gold.","Sie trägt einen Ring.","She is wearing a ring."
noun,Kette,die,f,die Kette — ends in -e.,Ketten,chain / necklace,"Die Kette ist sehr schön.","The necklace is very beautiful.","Das ist eine Kette.","That is a necklace."
noun,Koffer,der,m,der Koffer — ends in -er.,Koffer,suitcase,"Der Koffer ist schwer.","The suitcase is heavy.","Ich packe meinen Koffer.","I pack my suitcase."
noun,Rucksack,der,m,der Rucksack.,Rucksäcke,backpack,"Der Rucksack ist praktisch.","The backpack is practical.","Er trägt einen Rucksack.","He is carrying a backpack."
