pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
conj,aber,,,,,but,"Ich komme, aber er nicht.","I am coming, but he is not.","Das Auto ist alt, aber gut.","The car is old, but good.","Sie ist klein, aber stark.","She is small, but strong."
num,achtzehn,,,,,eighteen,"Ich bin achtzehn Jahre alt.","I am eighteen years old.","Er hat achtzehn Bücher.","He has eighteen books.","Nummer achtzehn.","Number eighteen."
num,achtzig,,,,,eighty,"Mein Großvater ist achtzig.","My grandfather is eighty.","Das kostet achtzig Euro.","That costs eighty euros.","Wir sind achtzig Personen.","We are eighty people."
adj,alt,,,,,old,"Wie alt bist du?","How old are you?","Das Haus ist sehr alt.","The house is very old.","Mein Hund ist alt.","My dog is old."
verb,ansehen,,,,,to look at,"Ich sehe das Foto an.","I look at the photo.","Sehen Sie die Tabelle an.","Look at the table.","Er sieht mich an.","He looks at me."
noun,App,die,f,English loanword (Applikation is feminine).,Apps,app,"Die App ist sehr gut.","The app is very good.","Ich lade die App.","I am downloading the app.","Wo ist die Taxi-App?","Where is the taxi app?"
verb,arbeiten,,,,,to work,"Ich arbeite in Berlin.","I work in Berlin.","Wo arbeiten Sie?","Where do you work?","Wir arbeiten zusammen.","We work together."
noun,Architekt,der,m,Nouns ending in -ekt are masculine.,Architekten,architect,"Er ist Architekt.","He is an architect.","Der Architekt plant das Haus.","The architect plans the house.","Ich lerne als Architekt.","I am learning to be an architect."
noun,Badminton,das,n,Sports are often neutral.,,badminton,"Ich spiele gerne Badminton.","I like playing badminton.","Badminton ist ein Sport.","Badminton is a sport.","Spielst du Badminton?","Do you play badminton?"
noun,Bahnhof,der,m,Compound noun takes the gender of the last word (der Hof).,Bahnhöfe,train station,"Der Bahnhof ist hier.","The train station is here.","Ich bin am Bahnhof.","I am at the train station.","Wo ist der Bahnhof?","Where is the train station?"
verb,begrüßen,,,,,to greet,"Wir begrüßen die Gäste.","We greet the guests.","Begrüßen Sie den Lehrer.","Greet the teacher.","Ich begrüße dich.","I greet you."
verb,berichten,,,,,to report,"Berichten Sie im Kurs.","Report in the class.","Ich berichte über das Buch.","I am reporting on the book.","Er berichtet alles.","He reports everything."
phrase,bis bald,,,,,see you soon,"Tschüss, bis bald!","Bye, see you soon!","Wir sehen uns, bis bald!","We will see each other, see you soon!","Okay, bis bald.","Okay, see you soon."
noun,Bruder,der,m,Biological gender (male).,Brüder,brother,"Das ist mein Bruder.","That is my brother.","Mein Bruder ist achtzehn.","My brother is eighteen.","Hast du einen Bruder?","Do you have a brother?"
