pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
adj,global,-,-,-,-,"global","Deutsch ist global.","German is global.","Wir leben in einer globalen Welt.","We live in a global world."
noun,Kurs,der,m,"der Kurs — masculine.",Kurse,"course","Der Kurs beginnt heute.","The course starts today.","Ich besuche einen Deutschkurs.","I am taking a German course."
verb,beginnen,-,-,-,-,"to begin","Der Kurs beginnt heute.","The course starts today.","Wann beginnen wir?","When do we start?"
verb,wählen,-,-,-,-,"to choose/select","Wählen Sie drei Personen.","Choose three people.","Er wählt eine Farbe.","He chooses a color."
verb,umhergehen,-,-,-,-,"to walk around","Gehen Sie im Kursraum umher.","Walk around the classroom.","Wir gehen umher und fragen.","We walk around and ask."
noun,Person,die,f,"die Person — feminine.",Personen,"person","Wählen Sie drei Personen.","Choose three people.","Sie ist eine interessante Person.","She is an interesting person."
verb,grüßen,-,-,-,-,"to greet","Grüßen Sie die Personen.","Greet the people.","Ich grüße meine Bekannten.","I greet my acquaintances."
verb,vorstellen (sich),-,-,-,-,"to introduce oneself","Stellen Sie sich vor.","Introduce yourself.","Ich möchte mich vorstellen.","I would like to introduce myself."
noun,Name,der,m,"der Name — masculine (weak noun).",Namen,"name","Mein Name ist Anna.","My name is Anna.","Wie ist Ihr Name?","What is your name?"
verb,heißen,-,-,-,-,"to be called/named","Ich heiße David.","My name is David.","Wie heißt du?","What is your name?"
verb,kommen,-,-,-,-,"to come","Ich komme aus Italien.","I come from Italy.","Woher kommst du?","Where do you come from?"
adj,lange,-,-,-,-,"long (time)","Lange nicht gesehen!","Long time no see!","Wir haben lange gesprochen.","We spoke for a long time."
verb,sehen,-,-,-,-,"to see","Lange nicht gesehen!","Long time no see!","Ich sehe dich.","I see you."
adv,sehr,-,-,-,-,"very","Freut mich sehr.","Very pleased to meet you.","Das ist sehr gut.","That is very good."
adj,gut,-,-,-,-,"good/well","Mir geht es gut.","I am doing well.","Das ist ein guter Kurs.","That is a good course."
