pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Wohnung,die,f,"die Wohnung — feminine.",Wohnungen,"apartment/flat","Die Wohnung ist sehr groß.","The apartment is very big.","Ich suche eine neue Wohnung.","I am looking for a new apartment."
noun,Haus,das,n,"das Haus — neuter.",Häuser,"house","Wir kaufen ein Haus.","We are buying a house.","Das Haus hat einen Garten.","The house has a garden."
noun,Zimmer,das,n,"das Zimmer — neuter.",Zimmer,"room","Die Wohnung hat drei Zimmer.","The apartment has three rooms.","Mein Zimmer ist sehr hell.","My room is very bright."
noun,Küche,die,f,"die Küche — feminine.",Küchen,"kitchen","Die Küche ist modern.","The kitchen is modern.","Wir kochen in der Küche.","We cook in the kitchen."
noun,Bad,das,n,"das Bad — neuter.",Bäder,"bathroom","Das Bad hat kein Fenster.","The bathroom has no window.","Ich putze das Bad.","I am cleaning the bathroom."
noun,Wohnzimmer,das,n,"das Wohnzimmer — neuter.",Wohnzimmer,"living room","Das Wohnzimmer ist gemütlich.","The living room is cozy.","Das Sofa steht im Wohnzimmer.","The sofa is in the living room."
noun,Schlafzimmer,das,n,"das Schlafzimmer — neuter.",Schlafzimmer,"bedroom","Das Schlafzimmer ist ruhig.","The bedroom is quiet.","Das Bett steht im Schlafzimmer.","The bed is in the bedroom."
noun,Flur,der,m,"der Flur — masculine.",Flure,"hallway / corridor","Der Flur ist sehr lang.","The hallway is very long.","Die Schuhe stehen im Flur.","The shoes are in the hallway."
noun,Balkon,der,m,"der Balkon — masculine.",Balkone,"balcony","Die Wohnung hat einen Balkon.","The apartment has a balcony.","Wir sitzen auf dem Balkon.","We are sitting on the balcony."
noun,Garten,der,m,"der Garten — masculine.",Gärten,"garden","Die Kinder spielen im Garten.","The children play in the garden.","Der Garten ist sehr groß.","The garden is very big."
noun,Möbel,das,n,"das Möbel — neuter (usually plural).",Möbel,"furniture","Die Möbel sind neu.","The furniture is new.","Ich kaufe neue Möbel.","I am buying new furniture."
noun,Tisch,der,m,"der Tisch — masculine.",Tische,"table","Der Tisch ist aus Holz.","The table is made of wood.","Das Buch liegt auf dem Tisch.","The book is lying on the table."
noun,Stuhl,der,m,"der Stuhl — masculine.",Stühle,"chair","Der Stuhl ist bequem.","The chair is comfortable.","Wir brauchen vier Stühle.","We need four chairs."
