pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
verb,abdecken,,,,,to cover,"Decken Sie das Bild ab.","Cover the picture.","Ich decke den Text ab.","I am covering the text.","Bitte abdecken.","Please cover."
noun,Adresse,die,f,Ends in -e -> mostly feminine.,Adressen,address,"Wie ist deine Adresse?","What is your address?","Meine Adresse ist neu.","My address is new.","Ich brauche Ihre Adresse.","I need your address."
prep,als,,,,,as,"Er arbeitet als Koch.","He works as a cook.","Ich lerne Deutsch als Fremdsprache.","I learn German as a foreign language.","Ein Kaffee als Frühstück.","A coffee as breakfast."
noun,Anhang,der,m,Derived from verb anhängen.,Anhänge,attachment,"Das Foto ist im Anhang.","The photo is in the attachment.","Siehe Anhang.","See attachment.","Ich öffne den Anhang.","I open the attachment."
noun,Ananas,die,f,Foreign fruit names are often feminine.,Ananas,pineapple,"Ich esse gerne Ananas.","I like eating pineapple.","Die Ananas ist süß.","The pineapple is sweet.","Wir kaufen eine Ananas.","We are buying a pineapple."
adj,ander,,,,,other,"Gibt es ein anderes Wort?","Is there another word?","Ich brauche eine andere Farbe.","I need another color.","Die anderen Studenten sind hier.","The other students are here."
noun,Angebot,das,n,Nouns starting with Ge- or endings -bot are often neutral.,Angebote,special offer,"Das Angebot ist sehr gut.","The special offer is very good.","Tomaten sind im Angebot.","Tomatoes are on sale.","Ich suche ein Angebot.","I am looking for a special offer."
noun,Apfel,der,m,Masculine by convention.,Äpfel,apple,"Der Apfel ist rot.","The apple is red.","Ich esse einen Apfel.","I eat an apple.","Ein Kilo Äpfel, bitte.","One kilo of apples, please."
noun,Apfelsaft,der,m,Compound noun takes the gender of the last word (der Saft).,Apfelsäfte,apple juice,"Ich trinke Apfelsaft.","I drink apple juice.","Der Apfelsaft ist kalt.","The apple juice is cold.","Möchtest du Apfelsaft?","Do you want apple juice?"
noun,Aussage,die,f,Ends in -e -> mostly feminine.,Aussagen,statement,"Ist die Aussage richtig?","Is the statement correct?","Lesen Sie die Aussagen.","Read the statements.","Das ist eine falsche Aussage.","That is a false statement."
noun,Banane,die,f,Ends in -e -> mostly feminine.,Bananen,banana,"Die Banane ist gelb.","The banana is yellow.","Ich esse eine Banane.","I eat a banana.","Bananen sind gesund.","Bananas are healthy."
verb,beginnen,,,,,to begin,"Wir beginnen jetzt.","We begin now.","Der Kurs beginnt um acht.","The course begins at eight.","Beginnen Sie bitte.","Please begin."
noun,Berliner,der,m,Nouns ending in -er (people/things from a city) are masculine.,Berliner,Berliner (doughnut / person from Berlin),"Ein Berliner mit Marmelade.","A Berliner with jam.","Ich esse einen Berliner.","I am eating a Berliner.","Er ist ein Berliner.","He is a Berliner."
verb,bilden,,,,,to form / to build,"Bilden Sie Sätze.","Form sentences.","Wir bilden eine Gruppe.","We form a group.","Können Sie den Plural bilden?","Can you form the plural?"
adj,billig,,,,,cheap,"Das ist sehr billig.","That is very cheap.","Die Tomaten sind billig.","The tomatoes are cheap.","Ist das billig oder teuer?","Is that cheap or expensive?"
adj,blau,,,,,blue,"Der Himmel ist blau.","The sky is blue.","Meine Lieblingsfarbe ist blau.","My favorite color is blue.","Das Auto ist blau.","The car is blue."
noun,Bohne,die,f,Ends in -e -> mostly feminine.,Bohnen,bean,"Ich esse Bohnen.","I eat beans.","Die Bohne ist grün.","The bean is green.","Bohnen mit Speck.","Beans with bacon."
verb,brauchen,,,,,to need,"Ich brauche Tomaten.","I need tomatoes.","Brauchen Sie Hilfe?","Do you need help?","Wir brauchen Brot.","We need bread."
adj,braun,,,,,brown,"Der Kaffee ist braun.","The coffee is brown.","Ich brauche braunen Zucker.","I need brown sugar.","Der Hund ist braun.","The dog is brown."
noun,Brokkoli,der,m,Vegetables of Italian origin ending in -i are often masculine.,Brokkolis,broccoli,"Ich esse gerne Brokkoli.","I like eating broccoli.","Der Brokkoli ist gesund.","The broccoli is healthy.","Wir kochen Brokkoli.","We are cooking broccoli."
