pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
noun,Kollege,der,m,Male person/profession (weak noun).,Kollegen,colleague (male),"Er ist mein Kollege.","He is my colleague.","Ich spreche mit dem Kollegen.","I speak with the colleague.","Die Kollegen sind nett.","The colleagues are nice."
noun,Kollegin,die,f,Ends in -in -> always feminine.,Kolleginnen,colleague (female),"Sie ist meine neue Kollegin.","She is my new colleague.","Ich frage die Kollegin.","I ask the female colleague.","Die Kolleginnen arbeiten zusammen.","The female colleagues work together."
noun,Chef,der,m,Masculine by convention.,Chefs,boss (male),"Der Chef ist heute nicht da.","The boss is not here today.","Ich frage meinen Chef.","I will ask my boss.","Ein Meeting mit dem Chef.","A meeting with the boss."
noun,Beruf,der,m,Masculine by convention.,Berufe,profession / job,"Was ist dein Beruf?","What is your profession?","Ich suche einen neuen Beruf.","I am looking for a new profession.","Er hat einen interessanten Beruf.","He has an interesting profession."
noun,Architekt,der,m,Professions ending in -kt are masculine (weak noun).,Architekten,architect,"Er arbeitet als Architekt.","He works as an architect.","Der Architekt plant das Haus.","The architect plans the house.","Ein bekannter Architekt.","A famous architect."
noun,Arzt,der,m,Masculine by convention.,Ärzte,doctor (male),"Ich muss zum Arzt gehen.","I have to go to the doctor.","Der Arzt untersucht den Patienten.","The doctor examines the patient.","Fragen Sie Ihren Arzt.","Ask your doctor."
noun,Köchin,die,f,Ends in -in -> always feminine.,Köchinnen,cook / chef (female),"Sie ist Köchin in einem Restaurant.","She is a cook in a restaurant.","Die Köchin macht das Essen.","The cook makes the food.","Eine gute Köchin.","A good cook."
noun,Student,der,m,Persons ending in -ent are masculine (weak noun).,Studenten,student (university),"Er ist Student an der Universität.","He is a student at the university.","Die Studenten lernen viel.","The students learn a lot.","Ein fleißiger Student.","A hardworking student."
verb,studieren,,,,,to study (at university),"Ich studiere Medizin.","I study medicine.","Wo studierst du?","Where do you study?","Sie studiert in Berlin.","She studies in Berlin."
noun,Studium,das,n,Foreign word ending in -um.,Studien,studies / degree program,"Das Studium dauert drei Jahre.","The studies take three years.","Er beginnt sein Studium.","He begins his studies.","Ein schweres Studium.","A difficult degree program."
noun,Ausbildung,die,f,Ends in -ung -> always feminine.,Ausbildungen,apprenticeship / training,"Er macht eine Ausbildung zum Koch.","He is doing an apprenticeship as a cook.","Die Ausbildung ist fast fertig.","The training is almost finished.","Ich suche eine Ausbildung.","I am looking for an apprenticeship."
noun,Praktikum,das,n,Foreign word ending in -um.,Praktika,internship,"Ich mache ein Praktikum.","I am doing an internship.","Das Praktikum dauert zwei Monate.","The internship lasts two months.","Ein bezahltes Praktikum.","A paid internship."
noun,Feierabend,der,m,Compound: der Abend (masculine).,Feierabende,end of the workday,"Wann hast du Feierabend?","When do you finish work?","Schönen Feierabend!","Have a nice evening (after work)!","Wir machen Feierabend.","We are finishing work for the day."
noun,Feiertag,der,m,Compound: der Tag (masculine).,Feiertage,holiday / public holiday,"Morgen ist ein Feiertag.","Tomorrow is a public holiday.","Wir haben am Feiertag frei.","We are off on the public holiday.","Ein gesetzlicher Feiertag.","A legal public holiday."
verb,feiern,,,,,to celebrate,"Wir feiern meinen Geburtstag.","We are celebrating my birthday.","Wie feierst du?","How are you celebrating?","Die Leute feiern auf der Straße.","The people are celebrating on the street."
noun,Fest,das,n,Neutral by convention.,Feste,festival / celebration,"Das Fest war sehr schön.","The festival was very beautiful.","Wir organisieren ein Fest.","We are organizing a celebration.","Ein Fest für die ganze Familie.","A festival for the whole family."
noun,Geschenk,das,n,Nouns starting with Ge- are often neutral.,Geschenke,gift / present,"Ich habe ein Geschenk für dich.","I have a gift for you.","Das Geschenk ist schön verpackt.","The gift is beautifully wrapped.","Vielen Dank für das Geschenk.","Thank you for the gift."
verb,gratulieren,,,,,to congratulate,"Ich gratuliere dir zum Geburtstag!","I congratulate you on your birthday!","Wir gratulieren Ihnen.","We congratulate you.","Er hat mir gratuliert.","He congratulated me."
verb,einladen,,,,,to invite,"Ich lade dich zu meiner Party ein.","I am inviting you to my party.","Wen laden wir ein?","Who are we inviting?","Er hat mich zum Essen eingeladen.","He invited me to dinner."
noun,Einladung,die,f,Ends in -ung -> always feminine.,Einladungen,invitation,"Danke für die Einladung.","Thanks for the invitation.","Ich schreibe die Einladungen.","I am writing the invitations.","Hast du die Einladung bekommen?","Did you get the invitation?"
noun,Gast,der,m,Masculine by convention.,Gäste,guest,"Der Gast ist da.","The guest is here.","Wir haben heute Gäste.","We have guests today.","Ein Zimmer für den Gast.","A room for the guest."
noun,Spaß,der,m,Masculine by convention.,Späße,fun,"Viel Spaß!","Have fun!","Das macht viel Spaß.","That is a lot of fun.","Wir hatten großen Spaß.","We had a lot of fun."
verb,freuen (sich),,,,,to be happy / to look forward to,"Ich freue mich sehr.","I am very happy.","Wir freuen uns auf den Urlaub.","We are looking forward to the vacation.","Freust du dich?","Are you happy / looking forward?"
noun,Prüfung,die,f,Ends in -ung -> always feminine.,Prüfungen,exam / test,"Die Prüfung ist am Montag.","The exam is on Monday.","Ich lerne für die Prüfung.","I am studying for the exam.","Er hat die Prüfung bestanden.","He passed the exam."
noun,Test,der,m,Masculine by convention.,Tests,test,"Wir schreiben einen Test.","We are writing a test.","Der Test war nicht schwer.","The test was not difficult.","Ein wichtiger Test.","An important test."
verb,bestehen,,,,,to pass (an exam) / to exist,"Ich habe die Prüfung bestanden.","I passed the exam.","Wir hoffen, dass wir bestehen.","We hope that we pass.","Das Problem besteht nicht mehr.","The problem no longer exists."
verb,abschließen,,,,,to complete / to finish / to lock,"Ich schließe mein Studium ab.","I am completing my studies.","Er schließt die Tür ab.","He locks the door.","Wir haben das Projekt abgeschlossen.","We finished the project."
verb,wiederholen,,,,,to repeat / to review,"Können Sie das bitte wiederholen?","Can you please repeat that?","Ich wiederhole die Vokabeln.","I am reviewing the vocabulary.","Wir müssen die Übung wiederholen.","We must repeat the exercise."
