pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Tagesablauf,der,m,der Tagesablauf.,Tagesabläufe,daily routine,"Wie ist dein Tagesablauf?","What is your daily routine?","Mein Tagesablauf ist immer gleich.","My daily routine is always the same."
noun,Morgen,der,m,der Morgen.,Morgen,morning,"Am Morgen trinke ich Kaffee.","In the morning I drink coffee.","Heute Morgen habe ich gearbeitet.","This morning I worked."
noun,Vormittag,der,m,der Vormittag.,Vormittage,morning (before noon),"Am Vormittag lerne ich.","In the morning I study.","Gestern Vormittag habe ich eingekauft.","Yesterday morning I shopped."
noun,Mittag,der,m,der Mittag.,Mittage,noon / midday,"Am Mittag esse ich Suppe.","At noon I eat soup.","Heute Mittag habe ich gekocht.","This noon I cooked."
noun,Nachmittag,der,m,der Nachmittag.,Nachmittage,afternoon,"Am Nachmittag treffe ich Freunde.","In the afternoon I meet friends.","Was hast du am Nachmittag gemacht?","What did you do in the afternoon?"
noun,Abend,der,m,der Abend.,Abende,evening,"Am Abend sehe ich fern.","In the evening I watch TV.","Gestern Abend habe ich ferngesehen.","Yesterday evening I watched TV."
noun,Nacht,die,f,die Nacht.,Nächte,night,"In der Nacht schlafe ich.","In the night I sleep.","Die Nacht war kurz.","The night was short."
verb,machen,-,-,-,-,to do / to make,"Ich mache das.","I am doing that.","Was hast du gemacht?","What did you do?"
verb,gemacht,-,-,-,-,done / made (Partizip II),"Ich habe Sport gemacht.","I did sports.","Hast du die Hausaufgaben gemacht?","Did you do the homework?"
verb,spielen,-,-,-,-,to play,"Wir spielen Fußball.","We are playing soccer.","Spielst du mit?","Are you playing along?"
verb,gespielt,-,-,-,-,played (Partizip II),"Wir haben Fußball gespielt.","We played soccer.","Er hat Gitarre gespielt.","He played guitar."
verb,hören,-,-,-,-,to hear / to listen,"Ich höre Musik.","I am listening to music.","Hörst du mich?","Do you hear me?"
verb,gehört,-,-,-,-,heard / listened (Partizip II),"Ich habe Musik gehört.","I listened to music.","Hast du das gehört?","Did you hear that?"
verb,kochen,-,-,-,-,to cook,"Ich koche Suppe.","I am cooking soup.","Wir kochen zusammen.","We are cooking together."
verb,gekocht,-,-,-,-,cooked (Partizip II),"Ich habe heute gekocht.","I cooked today.","Wir haben Spaghetti gekocht.","We cooked pasta."
verb,arbeiten,-,-,-,-,to work,"Ich arbeite im Büro.","I work in the office.","Wann arbeitest du?","When do you work?"
verb,gearbeitet,-,-,-,-,worked (Partizip II),"Ich habe lange gearbeitet.","I worked long.","Gestern habe ich nicht gearbeitet.","Yesterday I did not work."
verb,lernen,-,-,-,-,to learn / to study,"Ich lerne Deutsch.","I am learning German.","Wir lernen zusammen.","We are learning together."
verb,gelernt,-,-,-,-,learned / studied (Partizip II),"Hast du gestern gelernt?","Did you study yesterday?","Ich habe viele Vokabeln gelernt.","I learned many vocabulary words."
verb,kaufen,-,-,-,-,to buy,"Ich kaufe ein Buch.","I am buying a book.","Kaufst du das?","Are you buying that?"
verb,gekauft,-,-,-,-,bought (Partizip II),"Ich habe ein Auto gekauft.","I bought a car.","Was hast du gekauft?","What did you buy?"
verb,frühstücken,-,-,-,-,to have breakfast,"Ich frühstücke um 8 Uhr.","I have breakfast at 8 o'clock.","Wir frühstücken zusammen.","We are having breakfast together."
verb,gefrühstückt,-,-,-,-,had breakfast (Partizip II),"Ich habe schon gefrühstückt.","I already had breakfast.","Wir haben spät gefrühstückt.","We had a late breakfast."
verb,telefonieren,-,-,-,-,to talk on the phone,"Ich telefoniere mit Anna.","I am talking on the phone with Anna.","Er telefoniert oft.","He talks on the phone often."
verb,telefoniert,-,-,-,-,talked on the phone (Partizip II - no 'ge'),"Ich habe mit Anna telefoniert.","I talked on the phone with Anna.","Wir haben lange telefoniert.","We talked on the phone for a long time."
verb,studieren,-,-,-,-,to study (at university),"Er studiert in Berlin.","He studies in Berlin.","Studierst du Medizin?","Do you study medicine?"
verb,studiert,-,-,-,-,studied (Partizip II - no 'ge'),"Er hat in Berlin studiert.","He studied in Berlin.","Ich habe Medizin studiert.","I studied medicine."
verb,einkaufen,-,-,-,-,to shop (separable),"Ich kaufe heute ein.","I am shopping today.","Wir kaufen im Supermarkt ein.","We shop at the supermarket."
verb,eingekauft,-,-,-,-,shopped (Partizip II - 'ge' in the middle),"Ich habe gestern eingekauft.","I shopped yesterday.","Wir haben im Supermarkt eingekauft.","We shopped at the supermarket."
verb,aufräumen,-,-,-,-,to tidy up / to clean up (separable),"Ich räume das Zimmer auf.","I tidy up the room.","Räumst du bitte auf?","Will you clean up please?"
verb,aufgeräumt,-,-,-,-,tidied up (Partizip II - 'ge' in the middle),"Ich habe die Wohnung aufgeräumt.","I tidied up the apartment.","Hast du aufgeräumt?","Did you tidy up?"
verb,fernsehen,-,-,-,-,to watch TV (separable),"Ich sehe jeden Abend fern.","I watch TV every evening.","Siehst du gern fern?","Do you like to watch TV?"
verb,ferngesehen,-,-,-,-,watched TV (Partizip II),"Gestern habe ich ferngesehen.","Yesterday I watched TV.","Wir haben lange ferngesehen.","We watched TV for a long time."
verb,aufwachen,-,-,-,-,to wake up (separable),"Ich wache früh auf.","I wake up early.","Wann wachst du auf?","When do you wake up?"
verb,aufgewacht,-,-,-,-,woke up (Partizip II),"Ich bin um 6 Uhr aufgewacht.","I woke up at 6 o'clock.","Er ist spät aufgewacht.","He woke up late."
adverb,gestern,-,-,-,-,yesterday,"Gestern war ich zu Hause.","Yesterday I was at home.","Was hast du gestern gemacht?","What did you do yesterday?"
adverb,heute,-,-,-,-,today,"Heute lerne ich Deutsch.","Today I am learning German.","Heute habe ich frei.","Today I am free."
adverb,zuerst,-,-,-,-,first / at first,"Zuerst habe ich gefrühstückt.","First I had breakfast.","Zuerst lernen, dann spielen.","First learn, then play."
adverb,dann,-,-,-,-,then,"Dann habe ich gearbeitet.","Then I worked.","Was hast du dann gemacht?","What did you do then?"
adverb,danach,-,-,-,-,after that / afterwards,"Danach habe ich eingekauft.","After that I went shopping.","Und danach?","And after that?"
adverb,schließlich,-,-,-,-,finally / eventually,"Schließlich bin ich ins Bett gegangen.","Finally I went to bed.","Schließlich haben wir ferngesehen.","Finally we watched TV."
adverb,früher,-,-,-,-,earlier / in the past,"Früher habe ich in Köln gewohnt.","In the past I lived in Cologne.","Ich war früher da.","I was there earlier."
adverb,später,-,-,-,-,later,"Später treffe ich Freunde.","Later I am meeting friends.","Bis später!","See you later!"
adverb,lange,-,-,-,-,long (time),"Ich habe lange geschlafen.","I slept a long time.","Wie lange dauert das?","How long does that take?"
noun,Hausaufgabe,die,f,die Hausaufgabe.,Hausaufgaben,homework,"Ich mache meine Hausaufgaben.","I am doing my homework.","Hast du die Hausaufgaben gemacht?","Did you do the homework?"
noun,Pause,die,f,die Pause.,Pausen,break,"Wir machen eine Pause.","We are taking a break.","In der Pause trinke ich Kaffee.","In the break I drink coffee."
noun,Zeitungsartikel,der,m,der Zeitungsartikel.,Zeitungsartikel,newspaper article,"Ich habe einen Zeitungsartikel gelesen.","I read a newspaper article.","Der Zeitungsartikel ist interessant.","The newspaper article is interesting."
noun,E-Mail,die,f,die E-Mail.,E-Mails,email,"Ich habe E-Mails geschrieben.","I wrote emails.","Ich lese eine E-Mail.","I am reading an email."
noun,Party,die,f,die Party.,Partys,party,"Die Party war toll!","The party was great!","Wir machen eine Party.","We are throwing a party."
noun,Musik,die,f,die Musik.,-,music,"Wir haben Musik gehört.","We listened to music.","Die Musik ist schön.","The music is beautiful."
noun,Bett,das,n,das Bett.,Betten,bed,"Ich gehe ins Bett.","I am going to bed.","Das Bett ist bequem.","The bed is comfortable."
verb,haben,-,-,-,-,to have (auxiliary for Perfekt),"Ich habe gespielt.","I played.","Wir haben gelernt.","We learned."
verb,lesen,-,-,-,-,to read,"Ich lese ein Buch.","I am reading a book.","Liest du die Zeitung?","Are you reading the newspaper?"
verb,gelesen,-,-,-,-,read (Partizip II),"Ich habe ein Buch gelesen.","I read a book.","Hast du den Text gelesen?","Did you read the text?"
verb,schreiben,-,-,-,-,to write,"Ich schreibe eine E-Mail.","I am writing an email.","Schreibst du mir?","Will you write to me?"
verb,geschrieben,-,-,-,-,written (Partizip II),"Ich habe eine E-Mail geschrieben.","I wrote an email.","Er hat ein Buch geschrieben.","He wrote a book."
verb,essen,-,-,-,-,to eat,"Ich esse einen Apfel.","I am eating an apple.","Isst du Pizza?","Are you eating pizza?"
verb,gegessen,-,-,-,-,eaten (Partizip II),"Ich habe einen Apfel gegessen.","I ate an apple.","Wir haben Pizza gegessen.","We ate pizza."
verb,trinken,-,-,-,-,to drink,"Ich trinke Kaffee.","I am drinking coffee.","Was trinkst du?","What are you drinking?"
verb,getrunken,-,-,-,-,drunk (Partizip II),"Ich habe Kaffee getrunken.","I drank coffee.","Wir haben Wasser getrunken.","We drank water."
adverb,einmal,-,-,-,-,once,"Ich habe das einmal gemacht.","I did that once.","Noch einmal, bitte.","Once more, please."
adverb,oft,-,-,-,-,often,"Ich habe oft Fußball gespielt.","I often played soccer.","Kommst du oft hierher?","Do you come here often?"
adverb,nie,-,-,-,-,never,"Ich habe nie Golf gespielt.","I have never played golf.","Er ist nie pünktlich.","He is never on time."
adverb,schon,-,-,-,-,already,"Ich habe schon gegessen.","I already ate.","Bist du schon fertig?","Are you already finished?"
phrase,Was noch?,-,-,-,-,What else?,"Was hast du noch gemacht?","What else did you do?","Und was noch?","And what else?"
