pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
adj,allein,,,,,alone,"Er reist allein.","He travels alone.","Ich bin heute allein zu Hause.","I am alone at home today.","Lass mich allein!","Leave me alone!"
noun,Alltag,der,m,Compound: der Tag (masculine).,Alltage,everyday life / daily routine,"Der Alltag ist manchmal stressig.","Everyday life is sometimes stressful.","Zurück in den Alltag.","Back to daily routine.","Wie sieht Ihr Alltag aus?","What does your daily routine look like?"
noun,Anfahrt,die,f,Ends in -fahrt (die Fahrt) -> always feminine.,Anfahrten,journey / route (getting there),"Die Anfahrt dauert zwei Stunden.","The journey takes two hours.","Wie ist die Anfahrt zum Hotel?","What is the route to the hotel?","Planen Sie Ihre Anfahrt.","Plan your journey."
noun,Appartement,das,n,French loanword.,Appartements,apartment,"Wir mieten ein Appartement am Meer.","We rent an apartment by the sea.","Das Appartement hat zwei Zimmer.","The apartment has two rooms.","Ein schickes Appartement.","A chic apartment."
adj,arm,,,,,poor,"Er ist leider sehr arm.","He is unfortunately very poor.","Ein armes Land.","A poor country.","Arm und reich.","Poor and rich."
noun,Arme,der/die,m/f,Adjectival noun.,Armen,poor person,"Wir helfen den Armen.","We help the poor.","Ein Haus für Arme.","A house for the poor.","Er ist ein Armer.","He is a poor man."
noun,Belgien,das,n,Country names without special endings are neutral.,-,Belgium,"Belgien liegt in Europa.","Belgium is in Europe.","Er kommt aus Belgien.","He comes from Belgium.","Wir reisen nach Belgien.","We travel to Belgium."
adj,berühmt,,,,,famous,"Der Schauspieler ist berühmt.","The actor is famous.","Eine berühmte Sehenswürdigkeit.","A famous sight.","Die Band ist sehr berühmt.","The band is very famous."
verb,beschreiben,,,,,to describe,"Bitte beschreiben Sie das Bild.","Please describe the picture.","Er beschreibt seinen Urlaub.","He describes his vacation.","Können Sie den Weg beschreiben?","Can you describe the way?"
verb,besichtigen,,,,,to visit (a place/sight) / to view,"Wir besichtigen die Altstadt.","We visit the old town.","Morgen besichtigen wir das Museum.","Tomorrow we visit the museum.","Eine Wohnung besichtigen.","To view an apartment."
prep,bis zu,,,,,up to,"Es dauert bis zu drei Stunden.","It takes up to three hours.","Rabatt bis zu 50 Prozent.","Discount up to 50 percent.","Ich zähle bis zu zehn.","I count up to ten."
noun,Blick,der,m,Derived from verb blicken.,Blicke,view / look,"Das Zimmer hat einen schönen Blick.","The room has a beautiful view.","Ein Zimmer mit Meerblick.","A room with a sea view.","Auf den ersten Blick.","At first glance."
noun,Brandenburger Tor,das,n,Famous landmark in Berlin.,-,Brandenburg Gate,"Wir stehen vor dem Brandenburger Tor.","We stand in front of the Brandenburg Gate.","Das Brandenburger Tor ist berühmt.","The Brandenburg Gate is famous.","Ein Foto vom Brandenburger Tor.","A photo of the Brandenburg Gate."
noun,Buch,das,n,Neutral by convention.,Bücher,book,"Ich lese ein gutes Buch im Urlaub.","I am reading a good book on vacation.","Das Buch ist spannend.","The book is exciting.","Wo ist mein Buch?","Where is my book?"
verb,buchen,,,,,to book / to reserve,"Ich buche ein Hotelzimmer.","I book a hotel room.","Haben Sie schon gebucht?","Have you booked already?","Wir buchen den Flug online.","We book the flight online."
noun,Business-Modell,das,n,Compound: das Modell (neutral).,Business-Modelle,business model,"Das Business-Modell ist neu.","The business model is new.","Wir entwickeln ein Business-Modell.","We are developing a business model.","Ein erfolgreiches Business-Modell.","A successful business model."
noun,Butler,der,m,English loanword.,Butler,butler,"Der Butler bringt den Tee.","The butler brings the tea.","Ein Hotel mit eigenem Butler.","A hotel with its own butler.","Er arbeitet als Butler.","He works as a butler."
noun,Campingurlaub,der,m,Compound: der Urlaub (masculine).,Campingurlaube,camping holiday,"Wir machen einen Campingurlaub.","We are taking a camping holiday.","Ein Campingurlaub ist günstig.","A camping holiday is cheap.","Liebst du Campingurlaub?","Do you love camping holidays?"
adj,deutschsprachig,,,,,German-speaking,"Österreich hat deutschsprachige Gebiete.","Austria has German-speaking areas.","Ein deutschsprachiges Land.","A German-speaking country.","Die deutschsprachige Literatur.","German-speaking literature."
