pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Boutique,die,f,"die Boutique — feminine.",Boutiquen,"boutique","Ich arbeite in einer Boutique.","I work in a boutique.","Die Boutique ist neu.","The boutique is new."
noun,Kleidung,die,f,"die Kleidung — feminine.",-,"clothing/clothes","Welche Kleidung trägst du heute?","What clothes are you wearing today?","Die Kleidung ist chic.","The clothing is chic."
noun,Anzug,der,m,"der Anzug — masculine.",Anzüge,"suit","Er trägt einen Anzug.","He is wearing a suit.","Der Anzug ist zu teuer.","The suit is too expensive."
noun,Bluse,die,f,"die Bluse — feminine.",Blusen,"blouse","Sie trägt eine weiße Bluse.","She is wearing a white blouse.","Die Bluse passt mir gut.","The blouse fits me well."
noun,Hose,die,f,"die Hose — feminine.",Hosen,"pants/trousers","Die Hose ist zu eng.","The pants are too tight.","Ich brauche eine neue Hose.","I need new pants."
noun,T-Shirt,das,n,"das T-Shirt — neuter.",T-Shirts,"t-shirt","Das T-Shirt gefällt mir.","I like the t-shirt.","Hast du ein blaues T-Shirt?","Do you have a blue t-shirt?"
noun,Jacke,die,f,"die Jacke — feminine.",Jacken,"jacket","Ich finde die Jacke schön.","I find the jacket beautiful.","Zieh die Jacke an!","Put the jacket on!"
noun,Mantel,der,m,"der Mantel — masculine.",Mäntel,"coat","Der Mantel steht dir richtig gut.","The coat looks really good on you.","Es ist kalt, ich brauche einen Mantel.","It is cold, I need a coat."
noun,Stiefel,der,m,"der Stiefel — masculine.",Stiefel,"boot","Ich kaufe neue Stiefel.","I am buying new boots.","Die Stiefel sind schwarz.","The boots are black."
noun,Schuh,der,m,"der Schuh — masculine.",Schuhe,"shoe","Die Schuhe sind sehr bequem.","The shoes are very comfortable.","Welche Schuhe kaufst du?","Which shoes are you buying?"
noun,Kleid,das,n,"das Kleid — neuter.",Kleider,"dress","Das Kleid ist sehr chic.","The dress is very chic.","Sie trägt ein rotes Kleid.","She is wearing a red dress."
noun,Rock,der,m,"der Rock — masculine.",Röcke,"skirt","Am liebsten trage ich Röcke.","I prefer wearing skirts the most.","Der Rock ist zu kurz.","The skirt is too short."
verb,tragen,-,-,-,-,"to wear / carry","Was trägst du heute?","What are you wearing today?","Er trägt eine Brille.","He wears glasses."
verb,passen,-,-,-,-,"to fit","Das T-Shirt passt mir nicht.","The t-shirt doesn't fit me.","Die Schuhe passen perfekt.","The shoes fit perfectly."
verb,stehen,-,-,-,-,"to look good on (clothing) / suit","Der Mantel steht dir gut.","The coat looks good on you.","Das Kleid steht ihr nicht.","The dress doesn't suit her."
verb,gefallen,-,-,-,-,"to please / like","Das gefällt mir gut.","I like that well. (It pleases me)","Gefällt dir die Jacke?","Do you like the jacket?"
verb,helfen,-,-,-,-,"to help","Kann ich Ihnen helfen?","Can I help you?","Ich helfe dir gerne.","I gladly help you."
verb,aussehen,-,-,-,-,"to look / appear","Wie sieht er aus?","What does he look like?","Du siehst gut aus!","You look good!"
adj,eng,-,-,-,-,"tight / narrow","Die Hose ist zu eng.","The pants are too tight.","Der Mantel ist ein bisschen eng.","The coat is a little tight."
adj,weit,-,-,-,-,"wide / loose","Das T-Shirt ist sehr weit.","The t-shirt is very loose.","Die Jacke ist mir zu weit.","The jacket is too big for me."
adj,kurz,-,-,-,-,"short","Meine Haare sind kurz.","My hair is short.","Der Rock ist zu kurz.","The skirt is too short."
adj,lang,-,-,-,-,"long","Ihre Haare sind lang.","Her hair is long.","Der Mantel ist sehr lang.","The coat is very long."
adj,groß,-,-,-,-,"big / tall","Er ist ziemlich groß.","He is quite tall.","Wir brauchen eine große Größe.","We need a large size."
adj,klein,-,-,-,-,"small / short","Sie ist klein.","She is short/small.","Das ist viel zu klein.","That is much too small."
noun,Größe,die,f,"die Größe — feminine.",Größen,"size / height","Welche Größe brauchen Sie?","What size do you need?","Meine Größe ist M.","My size is M."
noun,Mode,die,f,"die Mode — feminine.",Moden,"fashion","Berlin macht Mode.","Berlin makes fashion.","Sie interessiert sich für Mode.","She is interested in fashion."
adj,chic,-,-,-,-,"chic / stylish","Die Mode ist jung und chic.","The fashion is young and chic.","Du bist heute sehr chic.","You are very stylish today."
adj,teuer,-,-,-,-,"expensive","Mode in Paris ist teuer.","Fashion in Paris is expensive.","Der Anzug ist mir zu teuer.","The suit is too expensive for me."
adj,billig,-,-,-,-,"cheap","Er produziert alles billig.","He produces everything cheaply.","Die Schuhe waren billig.","The shoes were cheap."
adj,erfolgreich,-,-,-,-,"successful","Nur Mode aus Paris ist erfolgreich.","Only fashion from Paris is successful.","Der Filmstar ist erfolgreich.","The movie star is successful."
noun,Kunde,der,m,"der Kunde — masculine (weak noun).",Kunden,"customer (male)","Er ist ein guter Kunde.","He is a good customer.","Die Boutique hat viele Kunden.","The boutique has many customers."
noun,Kundin,die,f,"die Kundin — feminine.",Kundinnen,"customer (female)","Die Kundin sucht einen Mantel.","The customer is looking for a coat.","Kann ich der Kundin helfen?","Can I help the customer?"
noun,Haar,das,n,"das Haar — neuter (usually plural for head hair).",Haare,"hair","Seine Haare sind schwarz.","His hair is black.","Sie hat blonde Haare.","She has blonde hair."
noun,Auge,das,n,"das Auge — neuter.",Augen,"eye","Meine Augen sind braun.","My eyes are brown.","Sie hat blaue Augen.","She has blue eyes."
noun,Brille,die,f,"die Brille — feminine.",Brillen,"glasses","Er hat eine Brille.","He wears glasses.","Wo ist meine Brille?","Where are my glasses?"
adj,blond,-,-,-,-,"blonde","Ihre Haare sind blond.","Her hair is blonde.","Der Junge ist blond.","The boy is blonde."
adj,dunkel,-,-,-,-,"dark","Meine Haare sind dunkel.","My hair is dark.","Es ist dunkel im Zimmer.","It is dark in the room."
adj,schwarz,-,-,-,-,"black","Sie trägt eine schwarze Hose.","She is wearing black pants.","Seine Haare sind schwarz.","His hair is black."
adj,braun,-,-,-,-,"brown","Er hat braune Augen.","He has brown eyes.","Die Stiefel sind braun.","The boots are brown."
adj,blau,-,-,-,-,"blue","Das Meer ist blau.","The sea is blue.","Sie hat blaue Augen.","She has blue eyes."
adj,rot,-,-,-,-,"red","Ihr Haar ist rot.","Her hair is red.","Sie kauft ein rotes Kleid.","She is buying a red dress."
adv,ziemlich,-,-,-,-,"quite / fairly","Er ist ziemlich groß.","He is quite tall.","Das ist ziemlich teuer.","That is quite expensive."
adv,eigentlich,-,-,-,-,"actually","Eigentlich sind sie schwarz.","Actually, they are black.","Eigentlich wollte ich gehen.","Actually, I wanted to go."
noun,Filmstar,der,m,"der Filmstar — masculine.",Filmstars,"movie star","Er ist mein Lieblingsstar.","He is my favorite movie star.","Der Filmstar ist sehr bekannt.","The movie star is very famous."
noun,Lieblingsstar,der,m,"der Lieblingsstar — masculine.",Lieblingsstars,"favorite star","Wer ist dein Lieblingsstar?","Who is your favorite star?","Mein Lieblingsstar kommt aus Amerika.","My favorite star comes from America."
adj,gut,-,-,-,-,"good/well","Die Jacke sieht gut aus.","The jacket looks good.","Das ist ein gutes T-Shirt.","That is a good t-shirt."
adj,besser,-,-,-,-,"better","Berliner Mode ist besser.","Berlin fashion is better.","Das gefällt mir besser.","I like that better."
adj,besten (am),-,-,-,-,"best (superlative)","Das gefällt mir am besten.","I like that best.","Sie ist am besten.","She is the best."
adj,viel,-,-,-,-,"a lot / much","Er hat viel zu tun.","He has a lot to do.","Das T-Shirt ist viel zu klein.","The t-shirt is much too small."
adj,mehr,-,-,-,-,"more","Ich möchte mehr Informationen.","I want more information.","Sie arbeitet mehr als ich.","She works more than I do."
adj,meisten (am),-,-,-,-,"most (superlative)","Am meisten liebe ich Musik.","I love music the most.","Er arbeitet am meisten.","He works the most."
adv,gerne,-,-,-,-,"gladly / with pleasure","Ich trage gerne Jeans.","I like to wear jeans.","Sie hilft gerne.","She gladly helps."
adv,lieber,-,-,-,-,"rather / prefer","Ich trage lieber Röcke.","I prefer to wear skirts.","Möchtest du lieber Tee?","Would you rather have tea?"
adv,liebsten (am),-,-,-,-,"most of all / prefer the most","Am liebsten trage ich T-Shirts.","Most of all, I like to wear t-shirts.","Was isst du am liebsten?","What is your favorite thing to eat?"
adj,schön,-,-,-,-,"beautiful","Das Kleid ist schön.","The dress is beautiful.","Sie hat schöne Augen.","She has beautiful eyes."
adj,schöner,-,-,-,-,"more beautiful","Diese Jacke ist schöner.","This jacket is more beautiful.","Paris ist schöner.","Paris is more beautiful."
adj,jung,-,-,-,-,"young","Berliner Mode ist jung.","Berlin fashion is young.","Er ist noch sehr jung.","He is still very young."
adj,alt,-,-,-,-,"old","Wie alt ist die Person?","How old is the person?","Der Mantel ist schon alt.","The coat is already old."
noun,Hauptstadt,die,f,"die Hauptstadt — feminine.",Hauptstädte,"capital city","Berlin ist die deutsche Hauptstadt.","Berlin is the German capital.","Paris ist eine Hauptstadt.","Paris is a capital city."
noun,Büro,das,n,"das Büro — neuter.",Büros,"office","Büros sind in München teuer.","Offices are expensive in Munich.","Er arbeitet im Büro.","He works in the office."
noun,Flughafen,der,m,"der Flughafen — masculine.",Flughäfen,"airport","Die Touristen sind am Flughafen.","The tourists are at the airport.","Ich fahre zum Flughafen.","I am driving to the airport."
verb,beschreiben,-,-,-,-,"to describe","Beschreiben Sie die Kleidung.","Describe the clothing.","Kannst du die Person beschreiben?","Can you describe the person?"
verb,empfehlen,-,-,-,-,"to recommend","Ich empfehle dieses Geschäft.","I recommend this shop.","Was können Sie empfehlen?","What can you recommend?"
noun,Einkaufsmöglichkeit,die,f,"die Einkaufsmöglichkeit — feminine.",Einkaufsmöglichkeiten,"shopping opportunity","Gute Einkaufsmöglichkeiten in der Stadt.","Good shopping opportunities in the city.","Wir suchen Einkaufsmöglichkeiten.","We are looking for shopping opportunities."
noun,Meinung,die,f,"die Meinung — feminine.",Meinungen,"opinion","Sagen Sie Ihre Meinung.","Say your opinion.","Was ist deine Meinung?","What is your opinion?"
noun,Haarfarbe,die,f,"die Haarfarbe — feminine.",Haarfarben,"hair color","Wir sprechen über Haarfarbe.","We are talking about hair color.","Welche Haarfarbe hat er?","What hair color does he have?"
noun,Augenfarbe,die,f,"die Augenfarbe — feminine.",Augenfarben,"eye color","Ihre Augenfarbe ist blau.","Her eye color is blue.","Was ist deine Augenfarbe?","What is your eye color?"
noun,Ware,die,f,"die Ware — feminine.",Waren,"goods / product","Waren benennen und auswählen.","Name and select goods.","Die Waren sind teuer.","The goods are expensive."
verb,auswählen,-,-,-,-,"to select / choose","Wählen Sie die Waren aus.","Select the goods.","Sie wählt ein Kleid aus.","She chooses a dress."
noun,Nationalität,die,f,"die Nationalität — feminine.",Nationalitäten,"nationality","Die Nationalität nennen.","Name the nationality.","Welche Nationalität hat sie?","What nationality is she?"
noun,Deutscher,der,m,"der Deutscher — masculine (adjectival declension).",Deutschen,"German (male)","Er ist Deutscher.","He is a German.","Viele Deutsche leben hier.","Many Germans live here."
noun,Franzose,der,m,"der Franzose — masculine (weak noun).",Franzosen,"Frenchman","Der Franzose kauft ein.","The Frenchman is shopping.","Er ist Franzose.","He is French."
noun,Spanier,der,m,"der Spanier — masculine.",Spanier,"Spaniard","Der Spanier spricht schnell.","The Spaniard speaks fast.","Sind Sie Spanier?","Are you a Spaniard?"
noun,Italiener,der,m,"der Italiener — masculine.",Italiener,"Italian","Er ist Italiener.","He is Italian.","Das Restaurant gehört einem Italiener.","The restaurant belongs to an Italian."
adj,bestimmt,-,-,-,-,"definitely / certain","Es passt mir bestimmt nicht!","It definitely won't fit me!","Das ist bestimmt teuer.","That is definitely expensive."
