test_text,answer,test_verb,tip,meaning,grammar_tip
"Wo ist die Post? Sie ist neben null Bank. (die)","der","neben","Dativ for feminine noun after a local preposition asking 'Wo?'","Where is the post office? It is next to the bank.","Wo? + Dativ: die Bank -> der Bank."
"Wo ist das Kino? Es ist hinter null Bahnhof. (der)","dem","hinter","Dativ for masculine noun asking 'Wo?'","Where is the cinema? It is behind the train station.","Wo? + Dativ: der Bahnhof -> dem Bahnhof."
"Wo ist das Auto? Es steht vor null Haus. (das)","dem","vor","Dativ for neuter noun asking 'Wo?'","Where is the car? It is parked in front of the house.","Wo? + Dativ: das Haus -> dem Haus."
"Die Apotheke ist null Zentrum. (in + das)","im","in","Contraction of in + dem","The pharmacy is in the center.","in + dem = im."
"Das Museum ist null Platz. (an + der)","am","an","Contraction of an + dem","The museum is at the square.","an + dem = am."
"Wir treffen uns null Kino. (vor + das)","vor dem","vor","Preposition + Dativ (neuter)","We are meeting in front of the cinema.","vor + dem Kino."
"Die Bäckerei ist null der Post. (next to)","neben","neben","Local preposition for 'next to'","The bakery is next to the post office.","Preposition: neben."
"Der Supermarkt ist null der Bank und der Post. (between)","zwischen","zwischen","Local preposition for 'between'","The supermarket is between the bank and the post office.","Preposition: zwischen."
"Das Hotel ist null der Brücke. (behind)","hinter","hinter","Local preposition for 'behind'","The hotel is behind the bridge.","Preposition: hinter."
"Gehen Sie null die Brücke. (over)","über","über","Local preposition for 'over/across' (with Akkusativ here for motion)","Go over the bridge.","Direction: über die Brücke (Akkusativ for movement)."
"Wie komme ich null Bahnhof? (zu + dem)","zum","zu","Contraction of zu + dem","How do I get to the train station?","zu + dem = zum."
"Wie komme ich null Post? (zu + der)","zur","zu","Contraction of zu + der","How do I get to the post office?","zu + der = zur."
"Fahren Sie null Supermarkt. (zu + dem)","zum","zu","Contraction of zu + dem","Drive to the supermarket.","zu + dem = zum."
"Gehen Sie null Polizei. (zu + der)","zur","zu","Contraction of zu + der","Go to the police station.","zu + der = zur."
"null Sie hier links! (Abbiegen - formal imperative)","Biegen","abbiegen","Formal imperative, verb in position 1","Turn left here!","Imperative: Biegen Sie ... ab!"
"Biegen Sie hier links null! (Abbiegen - separable prefix)","ab","abbiegen","Separable prefix goes to the end","Turn left here!","Separable verb imperative: Biegen Sie ... ab!"
"null Sie weiter geradeaus. (Gehen - formal imperative)","Gehen","gehen","Formal imperative, verb in position 1","Go further straight ahead.","Imperative: Gehen Sie."
"null Sie die Straße. (Überqueren - formal imperative)","Überqueren","überqueren","Formal imperative, verb in position 1","Cross the street.","Imperative: Überqueren Sie."
"Gehen Sie an der Kirche null. (vorbeigehen)","vorbei","vorbeigehen","Separable prefix goes to the end","Go past the church.","Separable verb: Gehen Sie ... vorbei."
"Wo ist die Bank? - Sie ist in null Goethestraße. (die)","der","in","Dativ for feminine noun asking 'Wo?'","Where is the bank? - It is in Goethe Street.","Wo? + Dativ: die Straße -> der Straße."
"Das Restaurant ist null See. (an + dem)","am","an","Contraction of an + dem","The restaurant is at the lake.","an + dem = am."
"Die Kinder spielen null Park. (in + dem)","im","in","Contraction of in + dem","The children are playing in the park.","in + dem = im."
"null komme ich zum Rathaus?","Wie","wie","Question word for asking directions","How do I get to the town hall?","W-Frage for method/directions: Wie."
"null ist die nächste Apotheke?","Wo","wo","Question word for asking location","Where is the next pharmacy?","W-Frage for location: Wo."
"Ich suche null Bahnhof. (der)","den","suchen","Akkusativ masculine definite article","I am looking for the train station.","Akkusativ after suchen: der Bahnhof -> den Bahnhof."
"Ich suche null Post. (die)","die","suchen","Akkusativ feminine definite article","I am looking for the post office.","Akkusativ after suchen: die Post -> die Post."
"Er fragt null Polizisten. (der)","den","fragen","Akkusativ masculine (weak noun)","He asks the police officer.","fragen takes Akkusativ: der Polizist -> den Polizisten."
"Können Sie null bitte helfen? (I)","mir","helfen","Dativ personal pronoun","Can you please help me?","helfen takes Dativ: ich -> mir."
"Entschuldigung, ich bin auch fremd null.","hier","hier","Adverb of location","Excuse me, I am also a stranger here.","Phrase: fremd hier."
"Gehen Sie die null Straße rechts. (first)","erste","Zahlen","Ordinal number as adjective","Take the first street on the right.","Ordinal: 1. -> erste."
"Nehmen Sie die null Straße links. (second)","zweite","Zahlen","Ordinal number as adjective","Take the second street on the left.","Ordinal: 2. -> zweite."
"An der null Kreuzung links. (third)","dritten","Zahlen","Ordinal number in Dativ","At the third intersection left.","Ordinal in Dativ (an der): 3. -> dritten."
"Das Kino ist gleich um null Ecke. (die)","die","um","Preposition 'um' takes Akkusativ","The cinema is right around the corner.","Preposition 'um' + Akkusativ: die Ecke -> die Ecke."
"Das Auto parkt auf null Platz. (der)","dem","auf","Dativ masculine asking 'Wo?'","The car is parked on the square.","Wo? + Dativ: der Platz -> dem Platz."
"Der Fluss fließt unter null Brücke. (die)","der","unter","Dativ feminine asking 'Wo?'","The river flows under the bridge.","Wo? + Dativ: die Brücke -> der Brücke."
"Die Jacke hängt an null Tür. (die)","der","an","Dativ feminine asking 'Wo?'","The jacket hangs on the door.","Wo? + Dativ: die Tür -> der Tür."
"Gehen Sie null Fuß?","zu","zu","Part of the phrase 'zu Fuß'","Are you going on foot?","Phrase: zu Fuß."
"Gehen Sie null oben.","nach","nach","Preposition for direction up/down/left/right","Go upstairs.","Direction: nach oben, nach unten, nach rechts, nach links."
