sentence,words,tip,translation_en
"Was hast du gestern gemacht?","Was|hast|du|gestern|gemacht|?","Asking about the past using Perfekt.","What did you do yesterday?"
"Was haben Sie gestern gemacht?","Was|haben|Sie|gestern|gemacht|?","Asking about the past (formal).","What did you do yesterday? (formal)"
"Ich habe gestern gearbeitet.","Ich|habe|gestern|gearbeitet|.","Stating a past action.","I worked yesterday."
"Ich habe nicht gearbeitet.","Ich|habe|nicht|gearbeitet|.","Negating a past action.","I did not work."
"Hast du gestern gelernt?","Hast|du|gestern|gelernt|?","Yes/No question in the past.","Did you study yesterday?"
"Ja, ich habe viel gelernt.","Ja|,|ich|habe|viel|gelernt|.","Answering positively about studying.","Yes, I studied a lot."
"Wir haben am Abend gekocht.","Wir|haben|am|Abend|gekocht|.","Stating a past group action.","We cooked in the evening."
"Was habt ihr gekocht?","Was|habt|ihr|gekocht|?","Asking a plural group about the past.","What did you all cook?"
"Wir haben Suppe gekocht.","Wir|haben|Suppe|gekocht|.","Answering what was cooked.","We cooked soup."
"Ich habe am Wochenende Fußball gespielt.","Ich|habe|am|Wochenende|Fußball|gespielt|.","Describing a weekend activity in the past.","I played soccer on the weekend."
"Anna hat Musik gehört.","Anna|hat|Musik|gehört|.","Describing a third person's action.","Anna listened to music."
"Paco hat ein Buch gekauft.","Paco|hat|ein|Buch|gekauft|.","Stating a past purchase.","Paco bought a book."
"Hast du schon gefrühstückt?","Hast|du|schon|gefrühstückt|?","Asking if something has already happened.","Have you already had breakfast?"
"Ja, ich habe um acht Uhr gefrühstückt.","Ja|,|ich|habe|um|acht|Uhr|gefrühstückt|.","Confirming with a time.","Yes, I had breakfast at eight o'clock."
"Ich habe gestern lange telefoniert.","Ich|habe|gestern|lange|telefoniert|.","Using a verb ending in -ieren (no 'ge').","I talked on the phone for a long time yesterday."
"Mit wem hast du telefoniert?","Mit|wem|hast|du|telefoniert|?","Asking who someone talked to.","Who did you talk on the phone with?"
"Ich habe mit meinem Chef telefoniert.","Ich|habe|mit|meinem|Chef|telefoniert|.","Answering who you talked to.","I talked on the phone with my boss."
"Er hat in München studiert.","Er|hat|in|München|studiert|.","Describing past studies (no 'ge').","He studied in Munich."
"Wir haben im Supermarkt eingekauft.","Wir|haben|im|Supermarkt|eingekauft|.","Using a separable verb in Perfekt.","We shopped at the supermarket."
"Hast du die Wohnung aufgeräumt?","Hast|du|die|Wohnung|aufgeräumt|?","Asking about chores in the past.","Did you tidy up the apartment?"
"Ja, ich habe aufgeräumt.","Ja|,|ich|habe|aufgeräumt|.","Confirming a chore.","Yes, I tidied up."
"Ich habe am Abend ferngesehen.","Ich|habe|am|Abend|ferngesehen|.","Using the separable irregular verb 'fernsehen'.","I watched TV in the evening."
"Wie war dein Tagesablauf gestern?","Wie|war|dein|Tagesablauf|gestern|?","Asking to recount a day.","What was your daily routine like yesterday?"
"Zuerst habe ich gefrühstückt.","Zuerst|habe|ich|gefrühstückt|.","Using 'zuerst' (first).","First I had breakfast."
"Dann habe ich gearbeitet.","Dann|habe|ich|gearbeitet|.","Using 'dann' (then).","Then I worked."
"Danach habe ich eingekauft.","Danach|habe|ich|eingekauft|.","Using 'danach' (after that).","After that I shopped."
"Schließlich habe ich ferngesehen.","Schließlich|habe|ich|ferngesehen|.","Using 'schließlich' (finally).","Finally I watched TV."
"Ich habe ein Buch gelesen.","Ich|habe|ein|Buch|gelesen|.","Using the irregular participle 'gelesen'.","I read a book."
"Hast du die E-Mail geschrieben?","Hast|du|die|E-Mail|geschrieben|?","Using the irregular participle 'geschrieben'.","Did you write the email?"
"Ja, ich habe sie geschrieben.","Ja|,|ich|habe|sie|geschrieben|.","Confirming an action with a pronoun.","Yes, I wrote it."
"Wir haben Pizza gegessen.","Wir|haben|Pizza|gegessen|.","Using the irregular participle 'gegessen'.","We ate pizza."
"Was hast du getrunken?","Was|hast|du|getrunken|?","Using the irregular participle 'getrunken'.","What did you drink?"
"Ich habe Kaffee getrunken.","Ich|habe|Kaffee|getrunken|.","Answering what you drank.","I drank coffee."
"Hast du Freunde getroffen?","Hast|du|Freunde|getroffen|?","Using the irregular participle 'getroffen'.","Did you meet friends?"
"Ja, ich habe Tom getroffen.","Ja|,|ich|habe|Tom|getroffen|.","Confirming a meeting.","Yes, I met Tom."
"Wir haben Deutsch gesprochen.","Wir|haben|Deutsch|gesprochen|.","Using the irregular participle 'gesprochen'.","We spoke German."
"Ich habe lange geschlafen.","Ich|habe|lange|geschlafen|.","Using the irregular participle 'geschlafen'.","I slept long."
"Der Tag war sehr anstrengend.","Der|Tag|war|sehr|anstrengend|.","Describing the past day.","The day was very exhausting."
"Die Party war sehr interessant.","Die|Party|war|sehr|interessant|.","Giving an opinion about a past event.","The party was very interesting."
"Ich habe eine Pause gemacht.","Ich|habe|eine|Pause|gemacht|.","Stating you took a break.","I took a break."
"Ich habe 20 Vokabeln gelernt.","Ich|habe|20|Vokabeln|gelernt|.","Quantifying a past action.","I learned 20 vocabulary words."
"Wir haben ein neues Auto gekauft.","Wir|haben|ein|neues|Auto|gekauft|.","Stating a past purchase.","We bought a new car."
"Hast du gestern Sport gemacht?","Hast|du|gestern|Sport|gemacht|?","Asking about exercise in the past.","Did you do sports yesterday?"
"Ja, ich habe Tennis gespielt.","Ja|,|ich|habe|Tennis|gespielt|.","Answering with a specific sport.","Yes, I played tennis."
"Ich habe das nicht gehört.","Ich|habe|das|nicht|gehört|.","Negating a sensory action.","I didn't hear that."
