pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Kleidung,die,f,die Kleidung.,-,clothing / clothes,"Ich kaufe gern Kleidung.","I like buying clothes.","Die Kleidung ist modern.","The clothing is modern."
noun,Kleid,das,n,das Kleid.,Kleider,dress / gown,"Das Kleid ist sehr elegant.","The dress is very elegant.","Sie trägt ein rotes Kleid.","She is wearing a red dress."
noun,Rock,der,m,der Rock.,Röcke,skirt,"Der Rock ist zu kurz.","The skirt is too short.","Wie findest du den Rock?","How do you like the skirt?"
noun,Hose,die,f,die Hose — ends in -e.,Hosen,trousers / pants,"Die Hose passt mir nicht.","The pants don't fit me.","Eine blaue Hose.","Blue pants."
noun,Hemd,das,n,das Hemd.,Hemden,shirt (button-down),"Er trägt ein weißes Hemd.","He is wearing a white shirt.","Das Hemd ist schick.","The shirt is chic."
noun,Bluse,die,f,die Bluse — ends in -e.,Blusen,blouse,"Die Bluse ist aus Seide.","The blouse is made of silk.","Eine Bluse mit Blumen.","A blouse with flowers."
noun,Pullover,der,m,der Pullover — ends in -er.,Pullover,sweater / pullover,"Der Pullover ist warm.","The sweater is warm.","Zieh einen Pullover an!","Put on a sweater!"
noun,Pulli,der,m,der Pulli (short for Pullover).,Pullis,sweater (informal),"Der Pulli ist sehr gemütlich.","The sweater is very cozy.","Wo ist mein Pulli?","Where is my sweater?"
noun,T-Shirt,das,n,das T-Shirt — borrowed word.,T-Shirts,T-shirt,"Im Sommer trage ich T-Shirts.","In summer I wear T-shirts.","Das T-Shirt ist zu eng.","The T-shirt is too tight."
noun,Jacke,die,f,die Jacke — ends in -e.,Jacken,jacket,"Zieh deine Jacke an.","Put on your jacket.","Die Jacke ist wasserdicht.","The jacket is waterproof."
noun,Mantel,der,m,der Mantel.,Mäntel,coat,"Ein warmer Wintermantel.","A warm winter coat.","Der Mantel ist lang.","The coat is long."
noun,Schuh,der,m,der Schuh.,Schuhe,shoe,"Die Schuhe sind bequem.","The shoes are comfortable.","Ich brauche neue Schuhe.","I need new shoes."
noun,Stiefel,der,m,der Stiefel.,Stiefel,boot,"Im Winter trage ich Stiefel.","In winter I wear boots.","Die Stiefel sind aus Leder.","The boots are made of leather."
noun,Socke,die,f,die Socke — ends in -e.,Socken,sock,"Ich brauche warme Socken.","I need warm socks.","Meine Socken sind rot.","My socks are red."
noun,Schal,der,m,der Schal.,Schals,scarf,"Der Schal ist weich.","The scarf is soft.","Trägst du einen Schal?","Are you wearing a scarf?"
noun,Mütze,die,f,die Mütze — ends in -e.,Mützen,beanie / cap,"Zieh eine Mütze auf!","Put on a beanie!","Die Mütze ist rot.","The cap is red."
noun,Hut,der,m,der Hut.,Hüte,hat (with brim),"Er trägt einen Hut.","He is wearing a hat.","Der Hut steht dir gut.","The hat looks good on you."
noun,Brille,die,f,die Brille — ends in -e.,Brillen,glasses,"Sie braucht eine Brille.","She needs glasses.","Wo ist meine Brille?","Where are my glasses?"
noun,Sonnenbrille,die,f,die Sonnenbrille.,Sonnenbrillen,sunglasses,"Die Sonnenbrille ist cool.","The sunglasses are cool.","Ich suche meine Sonnenbrille.","I am looking for my sunglasses."
noun,Tasche,die,f,die Tasche.,Taschen,bag / pocket,"Die Tasche ist teuer.","The bag is expensive.","Ich habe kein Geld in der Tasche.","I have no money in my pocket."
noun,Anzug,der,m,der Anzug.,Anzüge,suit,"Er trägt einen dunklen Anzug.","He is wearing a dark suit.","Der Anzug ist schick.","The suit is chic."
noun,Krawatte,die,f,die Krawatte.,Krawatten,tie,"Die Krawatte passt zum Hemd.","The tie matches the shirt.","Er trägt nie Krawatte.","He never wears a tie."
noun,Gürtel,der,m,der Gürtel.,Gürtel,belt,"Der Gürtel ist aus Leder.","The belt is made of leather.","Der Gürtel ist zu lang.","The belt is too long."
noun,Größe,die,f,die Größe — ends in -e.,Größen,size,"Welche Größe haben Sie?","What size do you wear (have)?","Ich brauche Größe 38.","I need size 38."
noun,Umkleidekabine,die,f,die Umkleidekabine.,Umkleidekabinen,fitting room,"Wo ist die Umkleidekabine?","Where is the fitting room?","Die Kabine ist besetzt.","The fitting room is occupied."
verb,anprobieren,-,-,-,-,to try on (separable),"Darf ich das Kleid anprobieren?","May I try on the dress?","Ich probiere die Hose an.","I am trying on the pants."
verb,anziehen,-,-,-,-,to put on (clothes) (separable),"Zieh dich warm an!","Dress warmly! (Put on warm clothes)","Was ziehst du heute an?","What are you putting on today?"
verb,ausziehen,-,-,-,-,to take off (clothes) (separable),"Ich ziehe die Schuhe aus.","I take off the shoes.","Zieh die nasse Jacke aus.","Take off the wet jacket."
verb,tragen,-,-,-,-,to wear / to carry,"Sie trägt ein Sommerkleid.","She is wearing a summer dress.","Er trägt eine Brille.","He wears glasses."
verb,passen,-,-,-,-,to fit (takes Dativ),"Die Hose passt mir nicht.","The pants don't fit me.","Passt dir das Hemd?","Does the shirt fit you?"
verb,stehen,-,-,-,-,to suit / to look good on (takes Dativ),"Die Farbe steht dir gut.","The color looks good on you.","Das Kleid steht ihr super.","The dress suits her perfectly."
verb,aussehen,-,-,-,-,to look / to appear (separable),"Du siehst toll aus!","You look great!","Das Hemd sieht schick aus.","The shirt looks chic."
adjective,schick,-,-,-,-,chic / stylish,"Das ist ein schickes Kleid.","That is a chic dress.","Er sieht sehr schick aus.","He looks very stylish."
adjective,elegant,-,-,-,-,elegant,"Sie ist sehr elegant gekleidet.","She is dressed very elegantly.","Ein eleganter Anzug.","An elegant suit."
adjective,sportlich,-,-,-,-,sporty / athletic,"Ich mag sportliche Kleidung.","I like sporty clothing.","Sie sieht sportlich aus.","She looks sporty."
adjective,eng,-,-,-,-,tight / narrow,"Die Hose ist zu eng.","The pants are too tight.","Ein enges T-Shirt.","A tight T-shirt."
adjective,weit,-,-,-,-,wide / loose / baggy,"Der Pullover ist sehr weit.","The sweater is very loose.","Ich mag weite Hosen.","I like baggy pants."
adjective,kurz,-,-,-,-,short,"Der Rock ist zu kurz.","The skirt is too short.","Er trägt kurze Hosen.","He wears shorts."
adjective,lang,-,-,-,-,long,"Das Kleid ist sehr lang.","The dress is very long.","Ein langer Mantel.","A long coat."
adjective,bequem,-,-,-,-,comfortable,"Die Schuhe sind sehr bequem.","The shoes are very comfortable.","Ich trage bequeme Kleidung.","I wear comfortable clothes."
adjective,unbequem,-,-,-,-,uncomfortable,"Die Stiefel sind unbequem.","The boots are uncomfortable.","Das ist ein unbequemer Stuhl.","That is an uncomfortable chair."
adjective,bunt,-,-,-,-,colorful,"Ein buntes Sommerkleid.","A colorful summer dress.","Ich mag bunte Farben.","I like colorful things."
adjective,einfarbig,-,-,-,-,solid-colored / plain,"Das Hemd ist einfarbig.","The shirt is solid-colored.","Ich suche ein einfarbiges T-Shirt.","I am looking for a plain T-shirt."
noun,Farbe,die,f,die Farbe.,Farben,color,"Welche Farbe hat der Pullover?","What color is the sweater?","Rot ist eine schöne Farbe.","Red is a beautiful color."
adjective,rot,-,-,-,-,red,"Ein rotes Auto.","A red car.","Sie trägt rote Socken.","She wears red socks."
