text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Ich will am Wochenende Fußball spielen.","Was will die Person am Wochenende machen?","Fußball spielen","Ins Kino gehen","Ein Buch lesen","Arbeiten","I want to play soccer on the weekend.","'wollen' means to want."
"Was wollt ihr heute unternehmen? - Wir wollen einen Ausflug machen.","Was wollen sie machen?","Einen Ausflug","Ein Picknick","Eine Party","Eine Pause","What do you want to do today? - We want to take an excursion.","'Ausflug' is a trip/excursion."
"Er will nach Deutschland reisen.","Wohin will er reisen?","Nach Deutschland","Nach Spanien","Nach Österreich","In die Schweiz","He wants to travel to Germany.","Listen for the country."
"Magst du klassische Musik? - Ja, sehr.","Was mag die Person?","Klassische Musik","Popmusik","Jazz","Rockmusik","Do you like classical music? - Yes, very much.","'mögen' means to like."
"Ich mag dieses Restaurant nicht. Das Essen ist kalt.","Wie findet die Person das Restaurant?","Sie mag es nicht.","Sie findet es super.","Sie liebt das Essen.","Sie findet es billig.","I do not like this restaurant. The food is cold.","Pay attention to 'nicht'."
"Mögt ihr Gemüse? - Nein, wir mögen nur Fleisch.","Was mögen sie?","Nur Fleisch","Gemüse","Obst","Fisch","Do you guys like vegetables? - No, we only like meat.","'nur' means only."
"Ich möchte etwas essen. Ich habe großen Hunger.","Warum möchte die Person etwas essen?","Sie hat Hunger.","Sie hat Durst.","Sie ist müde.","Sie hat Zeit.","I would like to eat something. I am very hungry.","'Hunger' means hunger."
"Wir gehen zusammen auf den Flohmarkt.","Wohin gehen sie?","Auf den Flohmarkt","In den Supermarkt","Ins Kino","Auf das Konzert","We are going to the flea market together.","'Flohmarkt' is flea market."
"Sie lernt einen Text auswendig.","Was macht sie mit dem Text?","Auswendig lernen","Schreiben","Lesen","Löschen","She is learning a text by heart.","'auswendig lernen' means to memorize."
"Wir verabreden uns für morgen um 10 Uhr.","Für wann verabreden sie sich?","Für morgen um 10 Uhr","Für heute um 10 Uhr","Für morgen um 8 Uhr","Für heute um 8 Uhr","We are arranging to meet for tomorrow at 10 o'clock.","'sich verabreden' is to arrange a meeting."
"Leider habe ich keine Zeit. Ich muss arbeiten.","Warum hat die Person keine Zeit?","Sie muss arbeiten.","Sie ist krank.","Sie ist müde.","Sie muss lernen.","Unfortunately I have no time. I have to work.","'leider' means unfortunately."
"Vielleicht komme ich später zur Party.","Kommt die Person zur Party?","Vielleicht später","Ja, pünktlich","Nein, gar nicht","Ja, aber nur kurz","Maybe I will come to the party later.","'Vielleicht' means maybe."
"Gehen wir zusammen essen? - Das ist eine tolle Idee!","Was findet die zweite Person toll?","Die Idee, essen zu gehen","Den Film","Das Buch","Das Restaurant","Shall we go out to eat together? - That is a great idea!","'Idee' means idea."
"Wir haben großen Durst. Wir möchten ein Glas Wasser.","Was möchten sie trinken?","Wasser","Kaffee","Tee","Cola","We are very thirsty. We would like a glass of water.","'Durst' means thirst."
"Ich trinke einen Espresso, bitte.","Was bestellt die Person?","Einen Espresso","Einen Cappuccino","Einen Milchkaffee","Einen Tee","I'll drink an espresso, please.","Listen to the specific coffee order."
"Das macht zusammen zwanzig Euro.","Wie viel macht das?","20 Euro","12 Euro","2 Euro","22 Euro","That makes twenty euros altogether.","'zwanzig' is 20."
"Zahlen Sie zusammen oder getrennt? - Zusammen, bitte.","Wie zahlen sie?","Zusammen","Getrennt","Mit Karte","Gar nicht","Are you paying together or separately? - Together, please.","'Zusammen' means together."
"Ich zahle mit Karte. Haben Sie ein Gerät?","Wie zahlt die Person?","Mit Karte","Bar","Mit einem Scheck","Mit dem Handy","I am paying with a card. Do you have a machine?","'Mit Karte' is by card."
"Das Geschäft ist bis 18 Uhr geöffnet.","Wie lange ist das Geschäft geöffnet?","Bis 18 Uhr","Bis 8 Uhr","Bis 20 Uhr","Bis 19 Uhr","The shop is open until 6 PM.","'geöffnet' means open."
"Wir kaufen online ein. Das ist praktisch.","Wo kaufen sie ein?","Online","Im Supermarkt","Auf dem Flohmarkt","Im Geschäft","We shop online. That is practical.","'online einkaufen' means to shop online."
"Er hat sein Geld vergessen. Er kann nicht zahlen.","Was ist das Problem?","Er hat sein Geld vergessen.","Er hat keine Karte.","Das Essen ist zu teuer.","Das Geschäft ist zu.","He forgot his money. He cannot pay.","'vergessen' means forgot."
"Plötzlich fängt es an zu regnen.","Was passiert plötzlich?","Es regnet.","Es schneit.","Die Sonne scheint.","Es blitzt.","Suddenly it starts to rain.","'Plötzlich' means suddenly."
"Alles ist klar. Wir haben den Plan verstanden.","Haben sie den Plan verstanden?","Ja, alles ist klar.","Nein, nichts ist klar.","Nur ein bisschen.","Sie haben keinen Plan.","Everything is clear. We understood the plan.","'Alles ist klar' means everything is understood."
"Wir sehen uns bald wieder.","Was sagen die Personen?","Sie sehen sich bald wieder.","Sie sehen sich nie wieder.","Sie verabschieden sich für immer.","Sie wollen sich nicht treffen.","We will see each other again soon.","'bald wieder' means soon again."
"Der Ausflug in die Berge war sehr erfolgreich.","Wie war der Ausflug?","Erfolgreich","Langweilig","Gefährlich","Kalt","The excursion to the mountains was very successful.","'erfolgreich' means successful."
"Ich fotografiere gern. Das ist mein neuer Fotoapparat.","Was macht die Person gern?","Fotografieren","Malen","Singen","Kochen","I like taking pictures. This is my new camera.","'Fotoapparat' is a camera."
