pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Opa,der,m,der Opa — short for Großvater.,Opas,grandpa,"Unser Opa war Bäcker.","Our grandpa was a baker.","Ich war oft bei meinem Opa.","I was often at my grandpa's."
noun,Oma,die,f,die Oma — short for Großmutter.,Omas,grandma,"Meine Oma war sehr lustig.","My grandma was very funny.","Hattest du eine Oma?","Did you have a grandma?"
noun,Neffe,der,m,der Neffe — male person (n-declension).,Neffen,nephew,"Das ist unser Neffe.","That is our nephew.","Wir spielen mit unserem Neffen.","We play with our nephew."
noun,Nichte,die,f,die Nichte — ends in -e.,Nichten,niece,"Ist das eure Nichte?","Is that your (pl) niece?","Unsere Nichte wohnt in Köln.","Our niece lives in Cologne."
noun,Schwiegersohn,der,m,der Schwiegersohn — compound with Sohn.,Schwiegersöhne,son-in-law,"Er hat die Bäckerei an seinen Schwiegersohn übergeben.","He handed the bakery over to his son-in-law.","Mein Schwiegersohn ist Arzt.","My son-in-law is a doctor."
noun,Schwiegertochter,die,f,die Schwiegertochter — compound with Tochter.,Schwiegertöchter,daughter-in-law,"Ihre Schwiegertochter ist sehr sympathisch.","Her daughter-in-law is very sympathetic.","Wir lieben unsere Schwiegertochter.","We love our daughter-in-law."
noun,Schwager,der,m,der Schwager.,Schwäger,brother-in-law,"Der Mann meiner Schwester ist mein Schwager.","The husband of my sister is my brother-in-law.","Unser Schwager heißt Tom.","Our brother-in-law is called Tom."
noun,Schwägerin,die,f,die Schwägerin — ends in -in.,Schwägerinnen,sister-in-law,"Eure Schwägerin ist Lehrerin.","Your (pl) sister-in-law is a teacher.","Ich habe keine Schwägerin.","I do not have a sister-in-law."
noun,Onkel,der,m,der Onkel.,Onkel,uncle,"Onkel Willi war schon verrückt!","Uncle Willi was quite crazy!","Sprecht ihr mit eurem Onkel?","Are you talking with your (pl) uncle?"
noun,Tante,die,f,die Tante — ends in -e.,Tanten,aunt,"Sucht ihr eure Tante?","Are you looking for your (pl) aunt?","Wir gehen mit unserer Tante spazieren.","We are going for a walk with our aunt."
noun,Eltern,die,f,die Eltern — plural only.,-,parents,"Das sind unsere Eltern.","Those are our parents.","Wir besuchen unsere Eltern.","We are visiting our parents."
noun,Baby,das,n,das Baby — borrowed from English.,Babys,baby,"Wir lieben unser Baby.","We love our baby.","Ist das euer Baby?","Is that your (pl) baby?"
noun,Familie,die,f,die Familie — ends in -ie.,Familien,family,"Habe ich euch von meiner Familie erzählt?","Have I told you about my family?","Unsere Familie ist groß.","Our family is large."
noun,Beruf,der,m,der Beruf.,Berufe,profession / job,"Was war er von Beruf?","What was his profession?","Mein Beruf ist sehr interessant.","My profession is very interesting."
noun,Bäcker,der,m,der Bäcker — ends in -er (agent).,Bäcker,baker,"Mein Opa war Bäcker.","My grandpa was a baker.","Der Bäcker backt Brezeln.","The baker bakes pretzels."
noun,Bäckerei,die,f,die Bäckerei — ends in -ei.,Bäckereien,bakery,"Wir waren in der Bäckerei.","We were in the bakery.","Die Bäckerei ist groß.","The bakery is big."
noun,Arzt,der,m,der Arzt.,Ärzte,doctor (male),"Ich möchte nicht Arzt werden!","I do not want to become a doctor!","Mein Großvater war Arzt.","My grandfather was a doctor."
noun,Mechaniker,der,m,der Mechaniker — ends in -er.,Mechaniker,mechanic,"Er war Mechaniker bei einer Firma.","He was a mechanic at a company.","Der Mechaniker repariert das Auto.","The mechanic repairs the car."
noun,Friseur,der,m,der Friseur — ends in -eur.,Friseure,hairdresser,"War dein Opa Friseur?","Was your grandpa a hairdresser?","Ich gehe heute zum Friseur.","I am going to the hairdresser today."
noun,Studium,das,n,das Studium — ends in -um.,Studien,university studies,"Das Studium dauert mir zu lange.","The studies take too long for me.","Wie war dein Studium?","How were your studies?"
noun,Firma,die,f,die Firma — ends in -a.,Firmen,company,"Er arbeitet bei einer großen Firma.","He works at a big company.","Unsere Firma ist in München.","Our company is in Munich."
noun,Brezel,die,f,die Brezel — ends in -el (exceptionally feminine).,Brezeln,pretzel,"Wir backen heute Brezeln.","We are baking pretzels today.","Die Brezel schmeckt gut.","The pretzel tastes good."
noun,Teig,der,m,der Teig.,Teige,dough,"Wir machen den Teig.","We are making the dough.","Wir können noch 30 Brezeln mit dem Teig backen.","We can bake 30 more pretzels with the dough."
noun,Ofen,der,m,der Ofen.,Öfen,oven,"Die Brezeln kommen in den Ofen.","The pretzels go into the oven.","Der Ofen ist sehr heiß.","The oven is very hot."
noun,Süßigkeit,die,f,die Süßigkeit — ends in -keit.,Süßigkeiten,sweet / candy,"Hattet ihr als Kinder viele Süßigkeiten?","Did you have many sweets as children?","Ich esse gern Süßigkeiten.","I like eating sweets."
noun,Witz,der,m,der Witz.,Witze,joke,"Mein Onkel hat tolle Witze erzählt.","My uncle told great jokes.","Der Witz war lustig.","The joke was funny."
noun,Comic,der,m,der Comic — borrowed from English.,Comics,comic book,"Wir haben früher Comics gelesen.","We used to read comics in the past.","Liest du gern Comics?","Do you like reading comics?"
