pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
num,acht,,,,,eight,"Ich habe acht Äpfel.","I have eight apples.","Es ist acht Uhr.","It is eight o'clock.","Wir sind acht Personen.","We are eight people."
phrase,alles klar,,,,,everything clear / alright,"Alles klar, danke!","Alright, thanks!","Ist alles klar?","Is everything clear?","Alles klar, bis morgen!","Alright, see you tomorrow!"
noun,Alphabet,das,n,Foreign words ending in -et are often neutral.,Alphabete,alphabet,"Das Alphabet hat 26 Buchstaben.","The alphabet has 26 letters.","Lernen Sie das Alphabet.","Learn the alphabet.","Das deutsche Alphabet ist einfach.","The German alphabet is simple."
adj,alphabetisch,,,,,alphabetical,"Bitte alphabetisch ordnen.","Please sort alphabetically.","Die Liste ist alphabetisch.","The list is alphabetical.","Stellen Sie sich alphabetisch auf.","Line up alphabetically."
verb,antworten,,,,,to answer,"Bitte antworten Sie.","Please answer.","Ich antworte auf die Frage.","I am answering the question.","Er antwortet nicht.","He is not answering."
noun,Arbeitsbuch,das,n,Compound noun takes the gender of the last word (das Buch).,Arbeitsbücher,workbook,"Öffnen Sie das Arbeitsbuch.","Open the workbook.","Das Arbeitsbuch ist hier.","The workbook is here.","Machen Sie die Übung im Arbeitsbuch.","Do the exercise in the workbook."
noun,Artikel,der,m,Nouns ending in -el are often masculine.,Artikel,article,"Der Artikel ist der, die oder das.","The article is der, die, or das.","Lernen Sie das Nomen mit Artikel.","Learn the noun with its article.","Welcher Artikel ist richtig?","Which article is correct?"
prep,aus,,,,,from,"Ich komme aus Iran.","I come from Iran.","Sie ist aus Berlin.","She is from Berlin.","Das Buch ist aus Deutschland.","The book is from Germany."
noun,Aussagesatz,der,m,Compound noun takes the gender of the last word (der Satz).,Aussagesätze,statement / declarative sentence,"Das ist ein Aussagesatz.","That is a declarative sentence.","Schreiben Sie einen Aussagesatz.","Write a statement.","Der Aussagesatz hat einen Punkt.","The statement has a period."
noun,Auto,das,n,Foreign words ending in -o are typically neutral.,Autos,car,"Das Auto ist schnell.","The car is fast.","Ich fahre mit dem Auto.","I travel by car.","Das ist mein Auto.","That is my car."
noun,Bier,das,n,Exception for drinks: Bier is always neutral.,Biere,beer,"Ich trinke ein Bier.","I am drinking a beer.","Das Bier ist kalt.","The beer is cold.","Zwei Bier, bitte.","Two beers, please."
noun,Blatt,das,n,One-syllable nouns are often neutral or masculine.,Blätter,leaf / sheet of paper,"Nehmen Sie ein Blatt Papier.","Take a sheet of paper.","Das Blatt ist grün.","The leaf is green.","Schreiben Sie auf das Blatt.","Write on the paper."
noun,Blogpost,der,m,English loanwords ending in consonants are often masculine.,Blogposts,blog post,"Ich schreibe einen Blogpost.","I am writing a blog post.","Der Blogpost ist neu.","The blog post is new.","Lesen Sie den Blogpost.","Read the blog post."
