test_text,answer,test_verb,tip,meaning,grammar_tip
"Das ist null Bruder.","mein","(Possessive)","my (masc)","That is my brother.","'Bruder' is masculine. In the nominative case (subject), 'mein' takes no ending."
"Das ist null Schwester.","meine","(Possessive)","my (fem)","That is my sister.","'Schwester' is feminine. Possessives for feminine nouns always end in '-e' (meine)."
"Das ist null Handy.","mein","(Possessive)","my (neutral)","That is my mobile phone.","'Handy' is neutral. Just like masculine nouns, 'mein' takes no ending in the nominative."
"Das sind null Eltern.","meine","(Possessive)","my (plural)","Those are my parents.","'Eltern' is plural. Plural possessives always take the '-e' ending, just like feminine nouns."
"Ist das null Vater?","dein","(Possessive)","your (masc)","Is that your father?","'Vater' is masculine, so 'dein' takes no ending."
"Wo ist null Mutter?","deine","(Possessive)","your (fem)","Where is your mother?","'Mutter' is feminine, so 'dein' gets an '-e' (deine)."
"Wo sind null Großeltern?","deine","(Possessive)","your (plural)","Where are your grandparents?","'Großeltern' is plural, so we use 'deine'."
"Das ist Peter. null Auto ist rot.","Sein","(Possessive)","His (neutral)","That is Peter. His car is red.","Use 'sein' for a male owner ('his'). 'Auto' is neutral, so there is no ending."
"Das ist Peter und das ist null Freundin.","seine","(Possessive)","his (fem)","That is Peter and that is his girlfriend.","Use 'sein' for a male owner. 'Freundin' is feminine, so we add '-e'."
"Das ist Anna. null Laptop ist neu.","Ihr","(Possessive)","Her (masc)","That is Anna. Her laptop is new.","Use 'ihr' for a female owner ('her'). 'Laptop' is masculine, so there is no ending."
"Das ist Anna und das ist null Katze.","ihre","(Possessive)","her (fem)","That is Anna and that is her cat.","Use 'ihr' for a female owner. 'Katze' is feminine, so we add '-e'."
"Das ist null Hund.","ein","(Article)","a (masc)","That is a dog.","'Hund' is masculine. The indefinite article is 'ein'."
"Das ist null Katze.","eine","(Article)","a (fem)","That is a cat.","'Katze' is feminine. The indefinite article takes an '-e' (eine)."
"Das ist null Laptop.","ein","(Article)","a (masc)","That is a laptop.","'Laptop' is masculine. The indefinite article is 'ein'."
"Nein, das ist null Hund.","kein","(Negative Article)","not a (masc)","No, that is not a dog.","To negate a noun with 'ein', simply put a 'k' in front of it: 'kein'."
"Das ist null Katze, das ist ein Hund.","keine","(Negative Article)","not a (fem)","That is not a cat, that is a dog.","To negate a feminine noun ('eine Katze'), use 'keine'."
"Ich habe null Auto.","kein","(Negative Article)","no (neutral)","I have no car.","'Auto' is neutral (ein Auto). The negation is 'kein Auto'."
"Ich habe null Geschwister.","keine","(Negative Article)","no (plural)","I have no siblings.","Plural nouns do not have an indefinite article (ein/eine), but they are negated with 'keine'."
"Ich null in Berlin.","arbeite","arbeiten","to work","I work in Berlin.","Regular present tense ending: drop -en, add -e for 'ich'."
"Wo null du?","arbeitest","arbeiten","to work","Where do you work?","Because the verb stem 'arbeit-' ends in 't', we must add an extra 'e' before the '-st' ending for pronunciation."
"Er null als Architekt.","arbeitet","arbeiten","to work","He works as an architect.","Because the stem ends in 't', we add an extra 'e' before the '-t' ending (er arbeit-e-t)."
"null ihr zusammen?","Arbeitet","arbeiten","to work","Do you (plural) work together?","The 'ihr' (you all) form also requires the extra '-e-' before the '-t' ending."
"Ich null ein Haus.","zeichne","zeichnen","to draw","I am drawing a house.","Regular present tense ending: drop -en, add -e for 'ich'."
"Du null sehr gut.","zeichnest","zeichnen","to draw","You draw very well.","Because the stem ends in 'n' (preceded by a consonant), we add an extra 'e' before the '-st' ending."
"Sie null eine Katze.","zeichnet","zeichnen","to draw","She draws a cat.","Stem ends in 'n'. Add an extra 'e' before the '-t' ending (sie zeichn-e-t)."
"Ich null eine Schwester.","habe","haben","to have","I have a sister.","Regular 'ich' form for the verb 'haben'."
"null du Geschwister?","Hast","haben","to have","Do you have siblings?","Irregular! The 'du' form of 'haben' drops the 'b'."
"Er null keine Zeit.","hat","haben","to have","He has no time.","Irregular! The 'er/sie/es' form of 'haben' drops the 'b'."
"Wir null ein Auto.","haben","haben","to have","We have a car.","The 'wir' (we) form is always identical to the infinitive (haben)."
"null ihr einen Hund?","Habt","haben","to have","Do you (plural) have a dog?","The 'ihr' (you all) form is regular: stem 'hab' + 't'."
"Sie null zwei Kinder.","haben","haben","to have","They have two children.","The 'sie' (they) form is identical to the infinitive."
"Tee null Kaffee?","oder","(Conjunction)","or","Tea or coffee?","'oder' connects two options. It does not change the word order."
"Das Auto ist alt, null gut.","aber","(Conjunction)","but","The car is old, but good.","'aber' expresses a contrast. When connecting two full sentences, it usually follows a comma."
"Ich bleibe, null ich bin müde.","denn","(Conjunction)","because","I am staying because I am tired.","'denn' provides a reason. It sits in 'Position 0', meaning the verb 'bin' still stays in Position 2."
"Bist du nicht aus Polen? null!","Doch","(Particle)","Yes (to negative)","Are you not from Poland? Yes I am!","Use 'Doch' instead of 'Ja' when you are answering 'yes' to a question that contains a negative (nicht/kein)."
"Sehen Sie die Tabelle null.","an","ansehen","to look at","Look at the table.","'ansehen' is a separable verb. In a main clause or command, the prefix 'an' gets kicked to the very end of the sentence."
"Wie null bist du?","alt","(Adjective)","old","How old are you?","In German, we ask 'How old are you?' using the exact same structure as English."
"Ich bin zwanzig null alt.","Jahre","(Noun)","years","I am twenty years old.","'Jahre' is the plural of 'das Jahr'. Notice it is capitalized because it is a noun."
"null Mädchen spielt im Park.","Das","(Definite Article)","The (neutral)","The girl is playing in the park.","Exception alert! Despite being a female person, 'Mädchen' ends in the diminutive '-chen', making it grammatically neutral (das)."
