text,question,answer,distractor1,distractor2,distractor3,translation,tip
Wie ist das Wetter heute? - Es regnet leider.	Wie ist das Wetter?	Es regnet.	Es scheint die Sonne.	Es schneit.	Es ist windig.	How is the weather today? - It is unfortunately raining.	'Es regnet' means it is raining.
Die Sonne scheint und es ist sehr warm.	Wie ist das Wetter?	Sonnig und warm	Kalt und bewölkt	Regnerisch und windig	Sonnig und kalt	The sun is shining and it is very warm.	'Sonne scheint' means sunny.
Im Winter schneit es oft in den Bergen.	Was passiert im Winter in den Bergen?	Es schneit oft.	Es regnet oft.	Die Sonne scheint immer.	Es ist sehr heiß.	In winter it often snows in the mountains.	'schneit' comes from Schnee (snow).
Es ist sehr windig heute. Wir können nicht spazieren gehen.	Warum können sie nicht spazieren gehen?	Es ist zu windig.	Es regnet.	Es ist zu heiß.	Sie haben keine Zeit.	It is very windy today. We cannot go for a walk.	'windig' means windy.
Der Himmel ist stark bewölkt. Ich glaube, es regnet gleich.	Wie ist der Himmel?	Bewölkt	Blau	Sonnig	Klar	The sky is heavily clouded. I think it will rain soon.	'bewölkt' means cloudy.
Was ist deine Lieblingsjahreszeit? - Ich liebe den Sommer.	Welche Jahreszeit liebt die Person?	Den Sommer	Den Winter	Den Frühling	Den Herbst	What is your favorite season? - I love the summer.	'Jahreszeit' means season.
Im Herbst fallen die Blätter von den Bäumen.	Was passiert im Herbst?	Die Blätter fallen.	Es schneit.	Die Blumen blühen.	Es ist immer heiß.	In autumn the leaves fall from the trees.	'Herbst' is autumn/fall.
Im Frühling ist das Wetter oft sehr schön und warm.	Wie ist das Wetter oft im Frühling?	Schön und warm	Sehr kalt	Immer regnerisch	Heiß und windig	In spring the weather is often very beautiful and warm.	'Frühling' is spring.
Kannst du schwimmen? - Ja, ich schwimme sehr gut.	Was kann die Person gut?	Schwimmen	Tanzen	Singen	Kochen	Can you swim? - Yes, I swim very well.	'Können' is the modal verb for ability.
Wir können heute leider nicht ins Kino gehen.	Können sie ins Kino gehen?	Nein, leider nicht.	Ja, natürlich.	Nur am Nachmittag.	Nur am Wochenende.	Unfortunately, we cannot go to the cinema today.	Pay attention to the negation 'nicht'.
Er kann sehr gut Klavier spielen.	Welches Instrument kann er spielen?	Klavier	Gitarre	Geige	Flöte	He can play the piano very well.	'Klavier' is piano.
Könnt ihr mir bitte helfen? - Ja, klar.	Was fragt die Person?	Ob sie helfen können.	Wie spät es ist.	Wo der Bahnhof ist.	Was das kostet.	Can you guys please help me? - Yes, of course.	'helfen' means to help.
Ich kann leider kein Deutsch sprechen.	Welche Sprache kann die Person NICHT sprechen?	Deutsch	Englisch	Französisch	Spanisch	Unfortunately, I cannot speak German.	'kein Deutsch' means no German.
Was machst du gern in deiner Freizeit? - Ich fahre gern Fahrrad.	Was macht die Person gern in der Freizeit?	Fahrrad fahren	Bücher lesen	Fernsehen	Musik hören	What do you like to do in your free time? - I like riding a bicycle.	'Freizeit' means free time.
Ich spiele jeden Samstag Fußball mit meinen Freunden.	Wann spielt die Person Fußball?	Jeden Samstag	Jeden Sonntag	Am Freitag	Am Montag	I play soccer every Saturday with my friends.	Listen to the specific day of the week.
Meine Hobbys sind Lesen und Kochen.	Was sind die Hobbys der Person?	Lesen und Kochen	Tanzen und Singen	Schwimmen und Laufen	Reisen und Fotografieren	My hobbies are reading and cooking.	Listen for the two activities mentioned.
Gehst du oft ins Kino? - Nein, ich sehe lieber fern.	Was macht die Person lieber?	Fernsehen	Ins Kino gehen	Bücher lesen	Spazieren gehen	Do you go to the cinema often? - No, I prefer watching TV.	'lieber' means prefer to.
Wir grillen heute Abend im Garten. Kommst du?	Was machen sie heute Abend?	Sie grillen im Garten.	Sie gehen ins Restaurant.	Sie kochen Suppe.	Sie spielen Karten.	We are grilling in the garden tonight. Are you coming?	'grillen' means to barbecue/grill.
Entschuldigung, wo ist hier der Bahnhof? - Immer geradeaus.	Wo ist der Bahnhof?	Immer geradeaus	Links	Rechts	Hinter dem Haus	Excuse me, where is the train station here? - Always straight ahead.	'geradeaus' means straight ahead.
Gehen Sie die erste Straße links und dann rechts.	Wie ist der Weg?	Erste Straße links, dann rechts	Erste Straße rechts, dann links	Immer geradeaus	Zweite Straße links	Take the first street on the left and then right.	Listen to the order of directions.
Die Post ist gleich hier um die Ecke.	Wo ist die Post?	Um die Ecke	Weit weg	Im Zentrum	Neben dem Bahnhof	The post office is right here around the corner.	'um die Ecke' means around the corner.
Ist das Krankenhaus weit von hier? - Nein, nur fünf Minuten zu Fuß.	Ist das Krankenhaus weit weg?	Nein, fünf Minuten zu Fuß.	Ja, sehr weit.	Nein, zwei Minuten mit dem Auto.	Ja, zehn Minuten zu Fuß.	Is the hospital far from here? - No, only five minutes on foot.	'weit' means far.
Der Supermarkt ist neben der Apotheke.	Wo ist der Supermarkt?	Neben der Apotheke	Hinter der Bank	Vor der Post	Unter dem Kino	The supermarket is next to the pharmacy.	'neben' means next to.
Wo finde ich einen Bankautomat? - Gegenüber vom Bahnhof.	Wo ist der Bankautomat?	Gegenüber vom Bahnhof	Neben der Bäckerei	In der Post	Hinter dem Café	Where can I find an ATM? - Opposite the train station.	'Gegenüber' means opposite/across from.
Es sind heute 25 Grad. Ein schöner Tag!	Wie viel Grad sind es heute?	25 Grad	15 Grad	35 Grad	5 Grad	It is 25 degrees today. A beautiful day!	'fünfundzwanzig' is 25.
Im Winter sind es oft minus fünf Grad.	Wie kalt ist es oft im Winter?	Minus 5 Grad	Plus 5 Grad	Minus 15 Grad	0 Grad	In winter it is often minus five degrees.	Listen for the word 'minus'.
Was für ein Wetter! Es blitzt und donnert.	Wie ist das Wetter?	Es blitzt und donnert (Gewitter).	Die Sonne scheint.	Es schneit.	Es ist nur leicht bewölkt.	What weather! There is lightning and thunder.	'blitzt und donnert' indicates a thunderstorm.
Nimm einen Regenschirm mit, es regnet stark.	Was soll die Person mitnehmen?	Einen Regenschirm	Eine Sonnenbrille	Einen Mantel	Einen Hut	Take an umbrella with you, it is raining heavily.	'Regenschirm' means umbrella.
Ich liebe den Schnee. Ich fahre gern Ski.	Was macht die Person gern im Schnee?	Ski fahren	Schlittschuh laufen	Einen Schneemann bauen	Zu Hause bleiben	I love the snow. I like to ski.	'Ski fahren' means to ski.
Das Wetter ist furchtbar heute. Alles ist grau.	Wie findet die Person das Wetter?	Furchtbar (schlecht)	Wunderschön	Sehr sonnig	Ein bisschen windig	The weather is terrible today. Everything is gray.	'furchtbar' means terrible.
Wir gehen heute wandern in den Bergen.	Was machen sie heute?	Wandern	Schwimmen	Grillen	Fahrrad fahren	We are going hiking in the mountains today.	'wandern' means to hike.
Können wir uns morgen treffen? - Ja, um 15 Uhr.	Wann wollen sie sich treffen?	Morgen um 15 Uhr	Heute um 15 Uhr	Morgen um 5 Uhr	Heute um 5 Uhr	Can we meet tomorrow? - Yes, at 3 PM.	Listen for 'morgen' (tomorrow) vs 'heute' (today).
Ich kann nicht kochen. Ich bestelle eine Pizza.	Warum bestellt die Person Pizza?	Sie kann nicht kochen.	Sie hat keine Zeit.	Sie hat keinen Hunger.	Die Küche ist kaputt.	I cannot cook. I am ordering a pizza.	Modal verb 'können' negated.
Können Sie das bitte wiederholen? Ich habe es nicht verstanden.	Was bittet die Person?	Dass die andere Person etwas wiederholt.	Dass die andere Person lauter spricht.	Dass die andere Person geht.	Dass die andere Person das aufschreibt.	Can you please repeat that? I did not understand it.	'wiederholen' means to repeat.
Wir können heute Nachmittag einen Ausflug machen.	Was können sie heute Nachmittag machen?	Einen Ausflug	Hausaufgaben	Einkaufen gehen	Das Auto waschen	We can take an excursion this afternoon.	'Ausflug' means excursion/trip.
Er spielt sehr gut Schach. Das ist sein Hobby.	Welches Spiel spielt er sehr gut?	Schach	Karten	Monopoly	Tennis	He plays chess very well. That is his hobby.	'Schach' means chess.
Sie malt sehr schöne Bilder in ihrer Freizeit.	Was macht sie in ihrer Freizeit?	Bilder malen	Bücher schreiben	Fotos machen	Musik hören	She paints very beautiful pictures in her free time.	'malen' means to paint.
Wir gehen am Sonntag oft in den Zoo.	Wo gehen sie am Sonntag oft hin?	In den Zoo	In den Park	Ins Museum	Ins Schwimmbad	We often go to the zoo on Sunday.	Listen for the location.
