text,question,answer,distractor1,distractor2,distractor3,translation,tip
"Eine Fahrkarte nach München, bitte. - Einfach oder hin und zurück? - Einfach, bitte.","Was für eine Fahrkarte kauft die Person?","Einfach nach München","Hin und zurück nach München","Einfach nach Berlin","Hin und zurück nach Berlin","A ticket to Munich, please. - Single or round trip? - Single, please.","Listen to the confirmation 'Einfach, bitte'."
"Fahren Sie nach Berlin? - Nein, ich muss nach Hamburg.","Wohin fährt die Person?","Nach Hamburg","Nach Berlin","Nach München","Nach Köln","Are you traveling to Berlin? - No, I have to go to Hamburg.","Listen to the correction after 'Nein'."
"Fährst du mit dem Auto zur Arbeit? - Nein, ich fahre immer mit dem Fahrrad.","Wie fährt die Person zur Arbeit?","Mit dem Fahrrad","Mit dem Auto","Mit dem Bus","Mit der U-Bahn","Do you drive to work by car? - No, I always ride my bicycle.","Listen to the vehicle after 'mit dem'."
"Achtung an Gleis 3: Der Zug nach Köln fährt ab. Bitte zurückbleiben.","Auf welchem Gleis fährt der Zug ab?","Gleis 3","Gleis 2","Gleis 4","Gleis 5","Attention on track 3: The train to Cologne is departing. Please stand back.","Listen to the number after 'Gleis'."
"Fährt dieser Zug direkt nach Frankfurt? - Nein, Sie müssen in Mannheim umsteigen.","Muss die Person umsteigen?","Ja, in Mannheim.","Nein, der Zug fährt direkt.","Ja, in Frankfurt.","Nein, in Köln.","Does this train go directly to Frankfurt? - No, you must transfer in Mannheim.","Listen to the city where the transfer happens."
"Entschuldigung, der Ticketautomat ist kaputt. Wo kann ich eine Fahrkarte kaufen? - Am Schalter dort drüben.","Wo kann die Person eine Fahrkarte kaufen?","Am Schalter","Am Ticketautomat","Im Zug","Im Bus","Excuse me, the ticket machine is broken. Where can I buy a ticket? - At the counter over there.","'Schalter' means the ticket window/counter."
"Wir wollen nach Spanien. Wir fliegen am Montag vom Frankfurter Flughafen.","Wie reisen sie nach Spanien?","Mit dem Flugzeug (sie fliegen)","Mit dem Auto","Mit dem Zug","Mit dem Bus","We want to go to Spain. We are flying on Monday from Frankfurt airport.","'fliegen' and 'Flughafen' indicate airplane."
"Wann kommt der Bus an? - Laut Fahrplan um 14:15 Uhr.","Wann kommt der Bus an?","Um 14:15 Uhr","Um 14:50 Uhr","Um 15:15 Uhr","Um 14:00 Uhr","When does the bus arrive? - According to the schedule at 14:15.","Listen to the exact time."
"Der ICE nach Berlin hat heute leider 30 Minuten Verspätung.","Was ist das Problem?","Der Zug hat 30 Minuten Verspätung.","Der Zug fällt aus.","Der Zug fährt auf einem anderen Gleis.","Der Zug ist pünktlich.","The ICE to Berlin unfortunately has a 30-minute delay today.","Listen to the word 'Verspätung'."
"Nimmst du ein Taxi? - Nein, die U-Bahn ist viel schneller und billiger.","Warum nimmt die Person die U-Bahn?","Sie ist schneller und billiger.","Das Taxi ist kaputt.","Sie hat kein Geld.","Die U-Bahn ist teuer.","Are you taking a taxi? - No, the subway is much faster and cheaper.","Listen to the comparative adjectives 'schneller und billiger'."
"Haben Sie Gepäck? - Ja, einen großen Koffer und einen Rucksack.","Was für Gepäck hat die Person?","Einen Koffer und einen Rucksack","Nur einen Koffer","Zwei Taschen","Kein Gepäck","Do you have luggage? - Yes, a large suitcase and a backpack.","Listen to the items listed."
"Wann fährst du ab? - Mein Zug fährt um Viertel vor acht ab. Ich muss jetzt gehen!","Wie spät ist die Abfahrt?","7:45 (Viertel vor acht)","8:15 (Viertel nach acht)","8:00 (acht)","7:15 (Viertel nach sieben)","When are you leaving? - My train departs at a quarter to eight. I have to go now!","Viertel vor acht is 7:45."
"Wo hält die Straßenbahn Nummer 4? - An der nächsten Haltestelle, vor der Bank.","Wo ist die Haltestelle?","Vor der Bank","Vor dem Bahnhof","Vor der Post","Vor dem Kino","Where does tram number 4 stop? - At the next stop, in front of the bank.","Listen to the location 'vor der Bank'."
"Ich will ein Auto mieten. Was kostet das für einen Tag? - 50 Euro.","Was will die Person machen?","Ein Auto mieten","Ein Auto kaufen","Ein Fahrrad mieten","Ein Taxi rufen","I want to rent a car. What does that cost for one day? - 50 euros.","'mieten' means to rent."
"Bitte zeigen Sie Ihren Pass oder Ausweis. - Hier ist mein Ausweis.","Was zeigt die Person?","Ihren Ausweis","Ihren Pass","Ihr Ticket","Ihr Gepäck","Please show your passport or ID. - Here is my ID.","Listen to what is actually handed over: 'Hier ist mein Ausweis'."
"Achtung, Passagiere nach London. Der Abflug ist heute am Gate B12.","Wo ist der Abflug nach London?","Gate B12","Gleis 12","Gate A12","Gate B20","Attention, passengers to London. The departure today is at Gate B12.","Listen for 'Gate B12'."
"Gute Fahrt! Und ruf an, wenn du ankommst! - Ja, mache ich. Tschüs!","Wann soll die Person anrufen?","Wenn sie ankommt","Sofort","Morgen","Gar nicht","Have a good trip! And call when you arrive! - Yes, I will. Bye!","'ankommen' means to arrive."
"Ist es noch weit zum Hauptbahnhof? - Nein, nur fünf Minuten zu Fuß. Es ist ganz nah.","Wie ist der Weg zum Bahnhof?","Ganz nah (fünf Minuten)","Sehr weit","Er muss ein Taxi nehmen.","Er muss den Bus nehmen.","Is it still far to the main train station? - No, only five minutes on foot. It is very close.","Listen to the phrase 'ganz nah'."
"Wir müssen umsteigen. Haben wir sofort Anschluss? - Ja, der Anschlusszug wartet auf Gleis 2.","Wo wartet der Anschlusszug?","Auf Gleis 2","Auf Gleis 3","Er wartet nicht.","Auf Gleis 1","We have to transfer. Do we have an immediate connection? - Yes, the connecting train is waiting on track 2.","Listen to the platform number."
"Ich hole dich am Flughafen ab. Wann landest du? - Um 18:30 Uhr.","Wo holt die erste Person den Freund ab?","Am Flughafen","Am Bahnhof","Zuhause","An der Bushaltestelle","I will pick you up at the airport. When do you land? - At 18:30.","'Flughafen' means airport."
"Wie kommst du zur Arbeit? - Meistens mit der S-Bahn. Manchmal mit dem Motorrad.","Womit fährt die Person meistens?","Mit der S-Bahn","Mit dem Motorrad","Mit dem Auto","Mit dem Bus","How do you get to work? - Mostly by S-Bahn. Sometimes by motorcycle.","'Meistens' means mostly/usually."
"Zweite Klasse, hin und zurück nach Stuttgart. - Haben Sie eine BahnCard?","Was möchte der Verkäufer wissen?","Ob die Person eine BahnCard hat.","Ob die Person Student ist.","Wo Stuttgart ist.","Ob sie erste Klasse möchte.","Second class, round trip to Stuttgart. - Do you have a BahnCard?","Listen to the question 'Haben Sie eine BahnCard?'"
"Achtung an Gleis 1! Der Zug fährt durch. Bitte zurückbleiben!","Was macht der Zug an Gleis 1?","Er fährt durch (er hält nicht).","Er hält an.","Er hat Verspätung.","Er ist pünktlich.","Attention on track 1! The train is passing through. Please stand back!","'fährt durch' means it passes without stopping."
"Ich nehme lieber das Fahrrad. Das Wetter ist so schön!","Warum nimmt die Person das Fahrrad?","Das Wetter ist schön.","Das Auto ist kaputt.","Sie hat kein Geld für den Bus.","Das Fahrrad ist neu.","I prefer taking the bicycle. The weather is so beautiful!","Listen to the reason 'Das Wetter ist so schön'."
"Wo ist die Information? - Gehen Sie hier geradeaus, dann links. Neben dem Schalter.","Wo ist die Information?","Neben dem Schalter (geradeaus, dann links)","Vor dem Bahnhof","Neben dem Café","Am Gleis 2","Where is the information desk? - Go straight here, then left. Next to the ticket counter.","Listen to the directions given."
"Wir wollen heute Nachmittag in die Stadt fahren. - Nehmt ihr das Auto? - Nein, den Bus.","Wie fahren sie in die Stadt?","Mit dem Bus","Mit dem Auto","Mit dem Taxi","Mit dem Fahrrad","We want to go into the city this afternoon. - Are you taking the car? - No, the bus.","Listen to the final decision."
"Wann kommt dein Zug an? - Pünktlich um 11 Uhr. Ich bin dann um 11:15 Uhr da.","Wann ist der Zug am Bahnhof?","Um 11:00 Uhr","Um 11:15 Uhr","Um 10:45 Uhr","Er hat Verspätung.","When does your train arrive? - On time at 11 o'clock. I will be there at 11:15.","The arrival of the train is at 11:00."
"Wir müssen uns beeilen! Der Abflug ist schon in 40 Minuten.","Wie viel Zeit haben sie noch bis zum Abflug?","40 Minuten","14 Minuten","Eine Stunde","4 Minuten","We have to hurry! Departure is in 40 minutes already.","Listen to the number 'vierzig'."
