pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
verb,abfahren,,,,,to depart / to leave,"Der Zug fährt um acht ab.","The train departs at eight.","Wann fahren wir ab?","When do we leave?","Bitte rechtzeitig abfahren.","Please depart on time."
noun,Abfahrt,die,f,Ends in -fahrt (die Fahrt) -> always feminine.,Abfahrten,departure,"Die Abfahrt ist um 10 Uhr.","The departure is at 10 o'clock.","Wir warten auf die Abfahrt.","We are waiting for the departure.","Wann ist die nächste Abfahrt?","When is the next departure?"
noun,Altstadt,die,f,Compound: die Stadt (feminine).,Altstädte,old town / historic center,"Die Altstadt ist sehr schön.","The old town is very beautiful.","Wir gehen in die Altstadt.","We are going into the old town.","Ein Hotel in der Altstadt.","A hotel in the old town."
verb,ankommen,,,,,to arrive,"Der Zug kommt bald an.","The train is arriving soon.","Wann kommen Sie an?","When do you arrive?","Ich bin gestern angekommen.","I arrived yesterday."
noun,Ankunft,die,f,Feminine by convention.,Ankünfte,arrival,"Die Ankunft ist um 12 Uhr.","The arrival is at 12 o'clock.","Wir warten in der Ankunftshalle.","We wait in the arrival hall.","Gute Ankunft!","Have a good arrival!"
adj,bequem,,,,,comfortable,"Der Sessel ist sehr bequem.","The armchair is very comfortable.","Eine bequeme Couch.","A comfortable couch.","Machen Sie es sich bequem.","Make yourself comfortable."
verb,bleiben,,,,,to stay / to remain,"Ich bleibe zu Hause.","I am staying at home.","Wie lange bleiben Sie?","How long are you staying?","Wir bleiben in Berlin.","We are staying in Berlin."
noun,Bushaltestelle,die,f,Compound: die Stelle (feminine).,Bushaltestellen,bus stop,"Wo ist die Bushaltestelle?","Where is the bus stop?","Ich warte an der Bushaltestelle.","I wait at the bus stop.","Die nächste Bushaltestelle.","The next bus stop."
noun,Carsharing,das,n,English gerunds are typically neutral.,-,carsharing,"Wir nutzen Carsharing.","We use carsharing.","Carsharing ist praktisch.","Carsharing is practical.","Eine App für Carsharing.","An app for carsharing."
noun,Cocktail,der,m,English loanword.,Cocktails,cocktail,"Ich trinke einen Cocktail.","I drink a cocktail.","Der Cocktail schmeckt gut.","The cocktail tastes good.","Wir mixen Cocktails.","We mix cocktails."
noun,Crêpe,die/der,f/m,French loanword.,Crêpes,crepe,"Ich esse einen Crêpe.","I am eating a crepe.","Crêpe mit Schokolade.","Crepe with chocolate.","Zwei Crêpes, bitte.","Two crepes, please."
