test_text,answer,test_verb,tip,meaning,grammar_tip
"Ich null Deutsch.","lerne","lernen","to learn","I am learning German.","Present tense: ich = -e ending"
"Du null in Hamburg.","wohnst","wohnen","to live","You live in Hamburg.","Present tense: du = -st ending"
"Er null Kaffee.","trinkt","trinken","to drink","He drinks coffee.","Present tense: er/sie/es = -t ending"
"Sie null heute.","arbeitet","arbeiten","to work","She is working today.","Present tense: er/sie/es = -t ending"
"Wir null Pizza.","essen","essen","to eat","We are eating pizza.","Present tense: wir = -en ending"
"Ihr null Fußball.","spielt","spielen","to play","You (plural) play football.","Present tense: ihr = -t ending"
"Sie null morgen.","kommen","kommen","to come","They are coming tomorrow.","Present tense: sie (they) = -en ending"
"Ich null Maria.","heiße","heißen","to be called","My name is Maria.","heißen is irregular: ich heiße"
"null ihr Zeit?","Habt","haben","to have","Do you (plural) have time?","Yes/no question: verb first"
"Er null 20 Jahre alt.","ist","sein","to be","He is 20 years old.","sein is irregular: er ist"
"Wir null müde.","sind","sein","to be","We are tired.","sein is irregular: wir sind"
"Du null einen Bruder.","hast","haben","to have","You have a brother.","haben is irregular: du hast"
"Ich null um sieben Uhr auf.","stehe","aufstehen","to get up","I get up at seven o’clock.","Separable verb: auf goes to the end"
"Sie null ihre Mutter an.","ruft","anrufen","to call (phone)","She calls her mother.","Separable verb: an goes to the end"
"Wir null am Samstag ein.","kaufen","einkaufen","to shop","We shop on Saturday.","Separable verb: ein goes to the end"
"Ich null jetzt nach Hause.","gehe","gehen","to go","I am going home now.","Present tense: ich gehe"
"Du null sehr gut Deutsch.","sprichst","sprechen","to speak","You speak German very well.","Irregular: du sprichst (i → i)"
"Er null jeden Tag.","läuft","laufen","to run","He runs every day.","Irregular: er läuft (au → äu)"
"Ich null morgen nach Wien.","fliege","fliegen","to fly","I fly to Vienna tomorrow.","Present tense: ich = -e ending"
"Wir null heute Abend fern.","sehen","fernsehen","to watch TV","We watch TV tonight.","Separable verb: fern goes to the end"
"Du null heute nicht.","kommst","kommen","to come","You are not coming today.","Negation: nicht usually near the end"
"Ich null keinen Zucker.","nehme","nehmen","to take","I take no sugar.","kein + noun; nehmen: ich nehme"
"Er null das Auto.","fährt","fahren","to drive/go","He drives the car.","Irregular: er fährt (a → ä)"
"Wir null ins Kino.","gehen","gehen","to go","We are going to the cinema.","Present tense: wir gehen"
"null du mir helfen?","Kannst","können","can / to be able to","Can you help me?","Question: verb first, then subject"
"Ich null heute lernen.","muss","müssen","must / to have to","I have to study today.","Modal verb: main verb infinitive at end"
