sentence,words,tip,translation_en
"Ich möchte ein Doppelzimmer buchen.","Ich|möchte|ein|Doppelzimmer|buchen|.","'buchen' means to book/reserve and goes to the end with a modal verb.","I would like to book a double room."
"Haben Sie ein Einzelzimmer frei?","Haben|Sie|ein|Einzelzimmer|frei|?","'frei haben' means to have available/vacant.","Do you have a single room available?"
"Wir buchen eine Suite im Hotel.","Wir|buchen|eine|Suite|im|Hotel|.","'Suite' is a feminine loanword.","We are booking a suite in the hotel."
"Ist das Frühstücksbuffet inklusive?","Ist|das|Frühstücksbuffet|inklusive|?","'inklusive' means included.","Is the breakfast buffet included?"
"Ich brauche ein Zimmer mit Meerblick.","Ich|brauche|ein|Zimmer|mit|Meerblick|.","'Meerblick' (sea view) is a highly useful compound noun.","I need a room with a sea view."
"Wie viel kostet die Übernachtung?","Wie|viel|kostet|die|Übernachtung|?","'Übernachtung' (overnight stay) is feminine.","How much does the overnight stay cost?"
"Wir bleiben drei Übernachtungen hier.","Wir|bleiben|drei|Übernachtungen|hier|.","Plural of Übernachtung takes -en.","We are staying three nights here."
"Haben Sie unser Zimmer gebucht?","Haben|Sie|unser|Zimmer|gebucht|?","Perfekt tense of 'buchen'.","Did you book our room?"
"Der Hotelgast möchte jetzt zahlen.","Der|Hotelgast|möchte|jetzt|zahlen|.","'Hotelgast' (hotel guest) is masculine.","The hotel guest would like to pay now."
"Wir übernachten in einer Pension.","Wir|übernachten|in|einer|Pension|.","'in einer' (dative feminine) because there is no movement.","We are staying overnight in a guesthouse."
"Im Badezimmer fehlt ein Handtuch.","Im|Badezimmer|fehlt|ein|Handtuch|.","'fehlen' means to be missing/lacking.","A towel is missing in the bathroom."
"Mir fehlt leider die Seife.","Mir|fehlt|leider|die|Seife|.","'fehlen' takes the dative for the person (mir).","Unfortunately, I am missing the soap."
"Das Zimmer ist leider sehr laut.","Das|Zimmer|ist|leider|sehr|laut|.","'laut' means loud/noisy.","The room is unfortunately very loud."
"Der Fernseher ist leider kaputt.","Der|Fernseher|ist|leider|kaputt|.","'kaputt' means broken.","The TV is unfortunately broken."
"Können Sie bitte nachsehen?","Können|Sie|bitte|nachsehen|?","'nachsehen' means to go check/look up.","Can you please go check?"
"Das Bett ist nicht sehr bequem.","Das|Bett|ist|nicht|sehr|bequem|.","'bequem' means comfortable.","The bed is not very comfortable."
"Wir haben einen schönen Blick.","Wir|haben|einen|schönen|Blick|.","'Blick' (view) is masculine accusative here.","We have a beautiful view."
"Das Appartement ist sehr modern.","Das|Appartement|ist|sehr|modern|.","'Appartement' is neutral.","The apartment is very modern."
"Wir trinken Kaffee auf der Terrasse.","Wir|trinken|Kaffee|auf|der|Terrasse|.","'auf der' (dative feminine) for a static location.","We are drinking coffee on the terrace."
"Ich bin mit dem Hotel zufrieden.","Ich|bin|mit|dem|Hotel|zufrieden|.","'zufrieden mit' means satisfied with.","I am satisfied with the hotel."
"Wie ist das Wetter heute?","Wie|ist|das|Wetter|heute|?","Standard phrase to ask about the weather.","How is the weather today?"
"Das Wetter ist heute wunderschön.","Das|Wetter|ist|heute|wunderschön|.","'wunderschön' means gorgeous/beautiful.","The weather is gorgeous today."
"Die Sonne scheint den ganzen Tag.","Die|Sonne|scheint|den|ganzen|Tag|.","'scheinen' means to shine.","The sun is shining all day."
"Leider regnet es heute sehr viel.","Leider|regnet|es|heute|sehr|viel|.","Adverb 'Leider' in pos 1 puts the verb 'regnet' in pos 2.","Unfortunately it is raining a lot today."
"Der Himmel ist stark bewölkt.","Der|Himmel|ist|stark|bewölkt|.","'bewölkt' means cloudy.","The sky is heavily cloudy."
"Es sind heute zwanzig Grad.","Es|sind|heute|zwanzig|Grad|.","Standard way to give the temperature.","It is twenty degrees today."
"Der Wind an der Nordsee ist stark.","Der|Wind|an|der|Nordsee|ist|stark|.","'Nordsee' is the North Sea.","The wind at the North Sea is strong."
"Im Sommer ist es oft heiß.","Im|Sommer|ist|es|oft|heiß|.","'heiß' means hot. Use 'im' for seasons.","In summer it is often hot."
"Im Winter schneit es in den Bergen.","Im|Winter|schneit|es|in|den|Bergen|.","'schneien' means to snow.","In winter it snows in the mountains."
"Der Frühling ist meine liebste Jahreszeit.","Der|Frühling|ist|meine|liebste|Jahreszeit|.","'Jahreszeit' means season.","Spring is my favorite season."
"Im Herbst fallen die Blätter.","Im|Herbst|fallen|die|Blätter|.","'Herbst' is autumn/fall.","In autumn the leaves fall."
"Das Wetter in Irland ist oft nass.","Das|Wetter|in|Irland|ist|oft|nass|.","'nass' means wet.","The weather in Ireland is often wet."
"Das ist perfektes Wetter für Urlaub.","Das|ist|perfektes|Wetter|für|Urlaub|.","Adjective declension without article (perfektes Wetter).","That is perfect weather for a vacation."
"Heute ist es kühl und windig.","Heute|ist|es|kühl|und|windig|.","'kühl' means cool.","Today it is cool and windy."
"Morgen wird das Wetter besser.","Morgen|wird|das|Wetter|besser|.","'wird' (becomes) indicates the future change.","Tomorrow the weather will get better."
"Wir machen Urlaub am Meer.","Wir|machen|Urlaub|am|Meer|.","'am' (an dem) Meer is the fixed phrase for 'at the sea'.","We are taking a vacation by the sea."
"Ich reise sehr gerne auf eine Insel.","Ich|reise|sehr|gerne|auf|eine|Insel|.","'auf eine Insel' uses accusative for movement to an island.","I really like traveling to an island."
"Mallorca ist eine bekannte Urlaubsinsel.","Mallorca|ist|eine|bekannte|Urlaubsinsel|.","'bekannte' means well-known.","Mallorca is a well-known vacation island."
"Wir fliegen dieses Jahr auf die Malediven.","Wir|fliegen|dieses|Jahr|auf|die|Malediven|.","'Malediven' is always plural.","We are flying to the Maldives this year."
"Unser Lieblingsort ist Südtirol.","Unser|Lieblingsort|ist|Südtirol|.","'Lieblingsort' means favorite place.","Our favorite place is South Tyrol."
"Wir fahren nach Holland ans Meer.","Wir|fahren|nach|Holland|ans|Meer|.","'ans' is short for 'an das' (accusative motion).","We are driving to Holland to the sea."
"Ungarn ist ein schönes Land.","Ungarn|ist|ein|schönes|Land|.","Country names without articles are neutral.","Hungary is a beautiful country."
"Belgien ist ein deutschsprachiges Land.","Belgien|ist|ein|deutschsprachiges|Land|.","'deutschsprachig' means German-speaking.","Belgium is a German-speaking country."
"Wir wandern gerne im Wald.","Wir|wandern|gerne|im|Wald|.","'Wald' means forest (im = in dem).","We like to hike in the forest."
"Die Fahrt zum See ist nicht weit.","Die|Fahrt|zum|See|ist|nicht|weit|.","'See' (masculine) means lake.","The drive to the lake is not far."
"Das ist ein sehr berühmter Urlaubsort.","Das|ist|ein|sehr|berühmter|Urlaubsort|.","'berühmt' means famous.","That is a very famous vacation resort."
"Die Anfahrt dauert exakt drei Stunden.","Die|Anfahrt|dauert|exakt|drei|Stunden|.","'Anfahrt' is the journey getting there.","The journey takes exactly three hours."
"Berlin ist eine riesige Großstadt.","Berlin|ist|eine|riesige|Großstadt|.","'Großstadt' is a metropolis/big city.","Berlin is a huge metropolis."
"Der Campingurlaub war ein tolles Event.","Der|Campingurlaub|war|ein|tolles|Event|.","'Campingurlaub' is a camping trip.","The camping holiday was a great event."
"Die Jugendherberge liegt direkt am Strand.","Die|Jugendherberge|liegt|direkt|am|Strand|.","'Jugendherberge' is a youth hostel.","The youth hostel is located directly on the beach."
"Ich möchte mich im Urlaub entspannen.","Ich|möchte|mich|im|Urlaub|entspannen|.","'sich entspannen' is reflexive.","I would like to relax on vacation."
"Wir liegen den ganzen Tag am Strand.","Wir|liegen|den|ganzen|Tag|am|Strand|.","'liegen' means to lie flat.","We lie on the beach all day."
"Im Winter gehen wir oft skifahren.","Im|Winter|gehen|wir|oft|skifahren|.","'skifahren' acts like a separable infinitive with 'gehen'.","In winter we often go skiing."
"Auf dem See können wir segeln.","Auf|dem|See|können|wir|segeln|.","'segeln' means to sail.","On the lake we can sail."
"Wir machen eine lange Wanderung.","Wir|machen|eine|lange|Wanderung|.","'Wanderung' is a hike.","We are taking a long hike."
"Morgen besichtigen wir das Museum.","Morgen|besichtigen|wir|das|Museum|.","'besichtigen' means to visit (a sight/place).","Tomorrow we will visit the museum."
"Wir besuchen das Brandenburger Tor.","Wir|besuchen|das|Brandenburger|Tor|.","Famous landmark in Berlin.","We are visiting the Brandenburg Gate."
"Abends essen wir im Fischrestaurant.","Abends|essen|wir|im|Fischrestaurant|.","'Abends' forces inversion.","In the evenings we eat at the seafood restaurant."
"Er macht viele Urlaubsfotos am Strand.","Er|macht|viele|Urlaubsfotos|am|Strand|.","'Urlaubsfoto' is a vacation photo.","He takes many vacation photos on the beach."
"Fotografieren ist meine Lieblingsaktivität.","Fotografieren|ist|meine|Lieblingsaktivität|.","Verbs as nouns are capitalized.","Photography is my favorite activity."
"Im Urlaub bin ich völlig entspannt.","Im|Urlaub|bin|ich|völlig|entspannt|.","'entspannt' means relaxed.","On vacation I am completely relaxed."
"Ich trage im Sommer leichte Kleidung.","Ich|trage|im|Sommer|leichte|Kleidung|.","'tragen' means to wear/carry.","I wear light clothing in the summer."
"Wir nutzen das gute Wetter heute.","Wir|nutzen|das|gute|Wetter|heute|.","'nutzen' means to use/take advantage of.","We are using the good weather today."
"Ich lese ein gutes Buch am Strand.","Ich|lese|ein|gutes|Buch|am|Strand|.","Accusative neutral ending (gutes Buch).","I read a good book on the beach."
"Wir buchen den Urlaub über ein Reiseportal.","Wir|buchen|den|Urlaub|über|ein|Reiseportal|.","'Reiseportal' is a travel website.","We book the vacation via a travel portal."
"Der Alltag ist oft sehr stressig.","Der|Alltag|ist|oft|sehr|stressig|.","'Alltag' means daily routine/everyday life.","Everyday life is often very stressful."
"Ich fühle mich heute nicht gut.","Ich|fühle|mich|heute|nicht|gut|.","Reflexive verb 'sich fühlen' (to feel).","I do not feel well today."
"Ich bin leider schwer erkältet.","Ich|bin|leider|schwer|erkältet|.","'erkältet' means having a cold.","I unfortunately have a severe cold."
"Er reist oft ganz allein.","Er|reist|oft|ganz|allein|.","'allein' means alone.","He often travels completely alone."
"Wir arbeiten regelmäßig jeden Wochentag.","Wir|arbeiten|regelmäßig|jeden|Wochentag|.","'regelmäßig' means regularly.","We work regularly every weekday."
"Der Geschäftsmann reist sehr viel.","Der|Geschäftsmann|reist|sehr|viel|.","'Geschäftsmann' is businessman.","The businessman travels a lot."
"Eine Übernachtung kostet fünfzig Euro.","Eine|Übernachtung|kostet|fünfzig|Euro|.","'Übernachtung' is an overnight stay.","One overnight stay costs fifty euros."
"Erwachsene zahlen mehr als Kinder.","Erwachsene|zahlen|mehr|als|Kinder|.","'Erwachsene' means adults.","Adults pay more than children."
"Er ist ein armer Mann.","Er|ist|ein|armer|Mann|.","'arm' means poor.","He is a poor man."
"Diese Region ist sehr spektakulär.","Diese|Region|ist|sehr|spektakulär|.","'spektakulär' means spectacular.","This region is very spectacular."
"Wie lange dauert der Flug genau?","Wie|lange|dauert|der|Flug|genau|?","'Wie lange' asks for duration.","How long does the flight take exactly?"
"Der Urlaub dauert bis zu zwei Wochen.","Der|Urlaub|dauert|bis|zu|zwei|Wochen|.","'bis zu' means up to.","The vacation lasts up to two weeks."
"Das ist eine große Portion Pommes.","Das|ist|eine|große|Portion|Pommes|.","'Portion' is feminine.","That is a large portion of fries."
"Das ist wirklich ein tolles Event.","Das|ist|wirklich|ein|tolles|Event|.","'Event' is a neutral loanword.","That is really a great event."
"Wir wünschen Ihnen einen schönen Urlaub.","Wir|wünschen|Ihnen|einen|schönen|Urlaub|.","Standard polite phrase.","We wish you a nice vacation."
"Das Hotel bietet viel Exklusivität.","Das|Hotel|bietet|viel|Exklusivität|.","'Exklusivität' is feminine.","The hotel offers much exclusivity."
"Gibt es ein gutes Online-Wörterbuch?","Gibt|es|ein|gutes|Online-Wörterbuch|?","'Online-Wörterbuch' is neutral.","Is there a good online dictionary?"
"Ich möchte diesen Ort genau beschreiben.","Ich|möchte|diesen|Ort|genau|beschreiben|.","'beschreiben' goes to the end.","I would like to describe this place exactly."
"Das ist ein sehr bekanntes Business-Modell.","Das|ist|ein|sehr|bekanntes|Business-Modell|.","'Business-Modell' is neutral.","That is a very well-known business model."
"Er arbeitet als Butler im Hotel.","Er|arbeitet|als|Butler|im|Hotel|.","'Butler' is masculine.","He works as a butler in the hotel."
"Der Tennisspieler trainiert jeden Tag.","Der|Tennisspieler|trainiert|jeden|Tag|.","'Tennisspieler' is masculine.","The tennis player trains every day."
"Manche Leute mögen keinen Schnee.","Manche|Leute|mögen|keinen|Schnee|.","'Manche' means some.","Some people do not like snow."
"Jeden Tag scheint hier die Sonne.","Jeden|Tag|scheint|hier|die|Sonne|.","'Jeden Tag' forces verb to pos 2.","The sun shines here every day."
"Wir machen regelmäßig Sport im Urlaub.","Wir|machen|regelmäßig|Sport|im|Urlaub|.","'regelmäßig' = regularly.","We do sports regularly on vacation."
"Er sucht den Ort auf der Weltkarte.","Er|sucht|den|Ort|auf|der|Weltkarte|.","'Weltkarte' means world map.","He searches for the place on the world map."
"Wir gehen im Sommer oft windsurfen.","Wir|gehen|im|Sommer|oft|windsurfen|.","'windsurfen' is a leisure activity verb.","We often go windsurfing in the summer."
"Das ist mein persönlicher Lieblingsort.","Das|ist|mein|persönlicher|Lieblingsort|.","'Lieblingsort' is favorite place.","That is my personal favorite place."
"Ich stehe im Urlaub nicht früh auf.","Ich|stehe|im|Urlaub|nicht|früh|auf|.","Separable verb 'aufstehen'.","I do not get up early on vacation."
"Das Wetter ändert sich hier täglich.","Das|Wetter|ändert|sich|hier|täglich|.","'täglich' means daily.","The weather changes here daily."
"Welche Jahreszeit magst du am liebsten?","Welche|Jahreszeit|magst|du|am|liebsten|?","'Welche' means which.","Which season do you like best?"
"Das ist ein legendäres Fischrestaurant.","Das|ist|ein|legendäres|Fischrestaurant|.","'legendär' means legendary.","That is a legendary seafood restaurant."
"Wir haben direkt am Meer geparkt.","Wir|haben|direkt|am|Meer|geparkt|.","'direkt' means directly.","We parked directly by the sea."
"Der Hotelier ist sehr freundlich.","Der|Hotelier|ist|sehr|freundlich|.","'Hotelier' is the hotel manager/owner.","The hotel manager is very friendly."
"Das Ticket gilt für zwei Erwachsene.","Das|Ticket|gilt|für|zwei|Erwachsene|.","'Erwachsene' is plural for adults.","The ticket is valid for two adults."
"Mir fehlt noch ein warmer Pullover.","Mir|fehlt|noch|ein|warmer|Pullover|.","'fehlen' + dative for the person it is missing from.","I am still missing a warm sweater."
