pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Hunger,der,m,der Hunger.,-,hunger,"Ich habe Hunger.","I am hungry.","Hast du großen Hunger?","Are you very hungry?"
noun,Durst,der,m,der Durst.,-,thirst,"Er hat Durst.","He is thirsty.","Ich habe keinen Durst.","I am not thirsty."
noun,Frühstück,das,n,das Frühstück.,Frühstücke,breakfast,"Zum Frühstück esse ich Brot.","For breakfast I eat bread.","Das Frühstück ist fertig.","Breakfast is ready."
noun,Mittagessen,das,n,das Mittagessen.,Mittagessen,lunch,"Was gibt es zum Mittagessen?","What is there for lunch?","Das Mittagessen ist um 12 Uhr.","Lunch is at 12 o'clock."
noun,Abendessen,das,n,das Abendessen.,Abendessen,dinner / supper,"Wir kochen das Abendessen.","We are cooking dinner.","Zum Abendessen trinke ich Wein.","For dinner I drink wine."
noun,Brot,das,n,das Brot.,Brote,bread,"Ich kaufe ein Brot.","I am buying a loaf of bread.","Isst du gern Brot?","Do you like eating bread?"
noun,Brötchen,das,n,das Brötchen — ends in -chen (diminutive).,Brötchen,bread roll,"Ich möchte zwei Brötchen.","I would like two rolls.","Das Brötchen ist frisch.","The roll is fresh."
noun,Butter,die,f,die Butter.,-,butter,"Ich brauche Butter.","I need butter.","Ein Brötchen mit Butter.","A roll with butter."
noun,Käse,der,m,der Käse — ends in -e but is masculine (exception).,Käse,cheese,"Ich mag keinen Käse.","I don't like cheese.","Der Käse ist aus der Schweiz.","The cheese is from Switzerland."
noun,Wurst,die,f,die Wurst.,Würste,sausage,"Ein Brot mit Wurst.","A sandwich with sausage.","Die Wurst ist lecker.","The sausage is delicious."
noun,Schinken,der,m,der Schinken.,Schinken,ham,"Ich esse gern Schinken.","I like eating ham.","Möchtest du Schinken?","Would you like ham?"
noun,Ei,das,n,das Ei.,Eier,egg,"Ich koche ein Ei.","I am boiling an egg.","Zwei Eier zum Frühstück.","Two eggs for breakfast."
noun,Marmelade,die,f,die Marmelade — ends in -e.,Marmeladen,jam / marmalade,"Brot mit Butter und Marmelade.","Bread with butter and jam.","Die Marmelade ist süß.","The jam is sweet."
noun,Honig,der,m,der Honig.,Honige,honey,"Tee mit Honig.","Tea with honey.","Der Honig ist gut.","The honey is good."
noun,Müsli,das,n,das Müsli.,Müslis,muesli / cereal,"Er isst Müsli mit Milch.","He eats muesli with milk.","Das Müsli ist gesund.","Muesli is healthy."
noun,Obst,das,n,das Obst.,-,fruit,"Essen Sie viel Obst?","Do you eat a lot of fruit?","Obst ist sehr gesund.","Fruit is very healthy."
noun,Gemüse,das,n,das Gemüse — starts with Ge-.,Gemüse,vegetables,"Wir brauchen noch Gemüse.","We still need vegetables.","Ich liebe Gemüse.","I love vegetables."
noun,Apfel,der,m,der Apfel.,Äpfel,apple,"Ich esse einen Apfel.","I am eating an apple.","Der Apfel ist rot.","The apple is red."
noun,Orange,die,f,die Orange — ends in -e.,Orangen,orange,"Ich brauche drei Orangen.","I need three oranges.","Die Orange ist süß.","The orange is sweet."
noun,Banane,die,f,die Banane — ends in -e.,Bananen,banana,"Affen essen gern Bananen.","Monkeys like to eat bananas.","Die Banane ist gelb.","The banana is yellow."
noun,Tomate,die,f,die Tomate — ends in -e.,Tomaten,tomato,"Ich kaufe Tomaten.","I am buying tomatoes.","Die Tomate ist rot.","The tomato is red."
noun,Kartoffel,die,f,die Kartoffel.,Kartoffeln,potato,"Wir kochen Kartoffeln.","We are boiling potatoes.","Ich mag keine Kartoffeln.","I don't like potatoes."
noun,Zwiebel,die,f,die Zwiebel.,Zwiebeln,onion,"Ich schneide die Zwiebel.","I am cutting the onion.","Eine Pizza ohne Zwiebeln.","A pizza without onions."
noun,Salat,der,m,der Salat.,Salate,salad / lettuce,"Ich mache einen Salat.","I am making a salad.","Der Salat ist frisch.","The salad is fresh."
noun,Fleisch,das,n,das Fleisch.,-,meat,"Essen Sie Fleisch?","Do you eat meat?","Das Fleisch ist teuer.","The meat is expensive."
noun,Hähnchen,das,n,das Hähnchen — ends in -chen.,Hähnchen,chicken,"Wir essen Hähnchen mit Reis.","We are eating chicken with rice.","Das Hähnchen schmeckt gut.","The chicken tastes good."
noun,Fisch,der,m,der Fisch.,Fische,fish,"Am Freitag gibt es Fisch.","On Friday there is fish.","Ich esse keinen Fisch.","I don't eat fish."
noun,Nudel,die,f,die Nudel (often plural: Nudeln).,Nudeln,noodle / pasta,"Die Kinder lieben Nudeln.","The children love pasta.","Nudeln mit Tomatensoße.","Pasta with tomato sauce."
noun,Reis,der,m,der Reis.,-,rice,"Ich esse gern Reis.","I like eating rice.","Der Reis ist noch heiß.","The rice is still hot."
noun,Suppe,die,f,die Suppe — ends in -e.,Suppen,soup,"Ich koche eine Suppe.","I am cooking a soup.","Die Suppe ist heiß.","The soup is hot."
noun,Pizza,die,f,die Pizza.,Pizzas,pizza,"Wir bestellen eine Pizza.","We are ordering a pizza.","Eine Pizza mit Käse.","A pizza with cheese."
noun,Kuchen,der,m,der Kuchen.,Kuchen,cake,"Wer möchte Kuchen?","Who would like cake?","Ich backe einen Kuchen.","I am baking a cake."
noun,Eis,das,n,das Eis.,-,ice cream / ice,"Die Kinder essen Eis.","The children are eating ice cream.","Ein Eis mit Schokolade.","An ice cream with chocolate."
noun,Getränk,das,n,das Getränk — starts with Ge-.,Getränke,beverage / drink,"Was sind Ihre Lieblingsgetränke?","What are your favorite drinks?","Wir brauchen noch Getränke.","We still need drinks."
noun,Wasser,das,n,das Wasser.,Wässer,water,"Ich trinke viel Wasser.","I drink a lot of water.","Ein Glas Wasser, bitte.","A glass of water, please."
noun,Mineralwasser,das,n,das Mineralwasser.,-,mineral water,"Ein Mineralwasser, bitte.","A mineral water, please.","Trinkst du Mineralwasser?","Do you drink mineral water?"
noun,Saft,der,m,der Saft.,Säfte,juice,"Ich trinke einen Saft.","I am drinking a juice.","Der Saft ist süß.","The juice is sweet."
noun,Apfelsaft,der,m,der Apfelsaft.,Apfelsäfte,apple juice,"Ein Glas Apfelsaft.","A glass of apple juice.","Ich liebe Apfelsaft.","I love apple juice."
noun,Milch,die,f,die Milch.,-,milk,"Trinkst du Kaffee mit Milch?","Do you drink coffee with milk?","Die Milch ist kalt.","The milk is cold."
noun,Kaffee,der,m,der Kaffee.,Kaffees,coffee,"Ich brauche jetzt einen Kaffee.","I need a coffee now.","Trinkst du viel Kaffee?","Do you drink a lot of coffee?"
noun,Tee,der,m,der Tee.,Tees,tea,"Tee mit Honig.","Tea with honey.","Ich trinke lieber Tee.","I prefer to drink tea."
noun,Bier,das,n,das Bier.,Biere,beer,"Ein Bier, bitte.","One beer, please.","Deutsches Bier ist bekannt.","German beer is famous."
noun,Wein,der,m,der Wein.,Weine,wine,"Trinken wir ein Glas Wein?","Shall we drink a glass of wine?","Der Wein ist aus Italien.","The wine is from Italy."
noun,Supermarkt,der,m,der Supermarkt.,Supermärkte,supermarket,"Ich gehe in den Supermarkt.","I am going to the supermarket.","Wir kaufen im Supermarkt ein.","We shop in the supermarket."
noun,Kühlschrank,der,m,der Kühlschrank.,Kühlschränke,refrigerator,"Die Milch ist im Kühlschrank.","The milk is in the fridge.","Der Kühlschrank ist leer.","The fridge is empty."
noun,Rezept,das,n,das Rezept.,Rezepte,recipe,"Das Rezept ist einfach.","The recipe is simple.","Ich koche nach Rezept.","I am cooking following a recipe."
verb,essen,-,-,-,-,to eat,"Was isst du gern?","What do you like to eat?","Ich esse eine Pizza.","I am eating a pizza."
verb,trinken,-,-,-,-,to drink,"Wir trinken Tee.","We are drinking tea.","Was möchtest du trinken?","What would you like to drink?"
verb,schmecken,-,-,-,-,to taste (good),"Der Kuchen schmeckt sehr gut.","The cake tastes very good.","Schmeckt es dir?","Does it taste good to you?"
verb,mögen,-,-,-,-,to like,"Ich mag keinen Käse.","I don't like cheese.","Magst du Fisch?","Do you like fish?"
verb,möchten,-,-,-,-,would like (to),"Ich möchte ein Wasser.","I would like a water.","Möchten Sie noch etwas?","Would you like anything else?"
adjective,lecker,-,-,-,-,delicious / tasty,"Das Essen ist sehr lecker.","The food is very delicious.","Ein leckerer Apfel.","A tasty apple."
adjective,kalt,-,-,-,-,cold,"Das Wasser ist kalt.","The water is cold.","Ich mag kalten Tee.","I like cold tea."
adjective,warm,-,-,-,-,warm,"Ich esse gern warm.","I like to eat a warm meal.","Der Tee ist warm.","The tea is warm."
adjective,heiß,-,-,-,-,hot,"Die Suppe ist sehr heiß.","The soup is very hot.","Vorsicht, heiß!","Careful, hot!"
adjective,gesund,-,-,-,-,healthy,"Obst ist gesund.","Fruit is healthy.","Eine gesunde Mahlzeit.","A healthy meal."
adjective,süß,-,-,-,-,sweet,"Der Kuchen ist sehr süß.","The cake is very sweet.","Ich mag nichts Süßes.","I don't like anything sweet."
adverb,lieber,-,-,-,-,rather / prefer,"Ich trinke lieber Tee als Kaffee.","I prefer to drink tea over coffee.","Was machst du lieber?","What do you prefer to do?"
adverb,viel,-,-,-,-,a lot / much,"Ich trinke viel Wasser.","I drink a lot of water.","Das ist zu viel.","That is too much."
adverb,wenig,-,-,-,-,little / not much,"Er isst sehr wenig.","He eats very little.","Wir haben wenig Zeit.","We have little time."
