pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Familie,die,f,"die Familie — feminine.",Familien,"family","Meine Familie ist groß.","My family is large.","Er hat eine tolle Familie.","He has a great family."
noun,Patchworkfamilie,die,f,"die Patchworkfamilie — feminine.",Patchworkfamilien,"blended family","Wir sind eine Patchworkfamilie.","We are a blended family.","Leben Sie in einer Patchworkfamilie?","Do you live in a blended family?"
noun,Großfamilie,die,f,"die Großfamilie — feminine.",Großfamilien,"extended family / large family","Früher gab es viele Großfamilien.","In the past there were many large families.","Er lebt in einer Großfamilie.","He lives in an extended family."
noun,Verwandte,der/die,m/f,"weak noun, adjectival declension.",Verwandten,"relative","Wir besuchen unsere Verwandten.","We are visiting our relatives.","Er ist ein Verwandter von mir.","He is a relative of mine."
noun,Eltern,die,pl,"die Eltern — plural only.",-,"parents","Meine Eltern leben in Berlin.","My parents live in Berlin.","Ich liebe meine Eltern.","I love my parents."
noun,Großeltern,die,pl,"die Großeltern — plural only.",-,"grandparents","Die Großeltern kommen heute.","The grandparents are coming today.","Wo wohnen deine Großeltern?","Where do your grandparents live?"
noun,Oma,die,f,"die Oma — feminine.",Omas,"grandma","Meine Oma ist sehr nett.","My grandma is very nice.","Ich besuche meine Oma.","I am visiting my grandma."
noun,Opa,der,m,"der Opa — masculine.",Opas,"grandpa","Mein Opa heißt Heinz.","My grandpa is named Heinz.","Der Opa spielt mit dem Kind.","The grandpa plays with the child."
noun,Geschwister,die,pl,"die Geschwister — plural only.",-,"siblings","Hast du Geschwister?","Do you have siblings?","Ich habe keine Geschwister.","I have no siblings."
noun,Onkel,der,m,"der Onkel — masculine.",Onkel,"uncle","Mein Onkel arbeitet in Spanien.","My uncle works in Spain.","Das ist mein Onkel.","That is my uncle."
noun,Tante,die,f,"die Tante — feminine.",Tanten,"aunt","Meine Tante kommt zu Besuch.","My aunt is coming for a visit.","Ich rufe meine Tante an.","I am calling my aunt."
noun,Cousin,der,m,"der Cousin — masculine.",Cousins,"cousin (male)","Mein Cousin ist sportlich.","My cousin is athletic.","Ich spiele mit meinem Cousin.","I play with my cousin."
noun,Cousine,die,f,"die Cousine — feminine.",Cousinen,"cousin (female)","Meine Cousine wohnt hier.","My cousin lives here.","Er liebt seine Cousine.","He loves his cousin."
noun,Neffe,der,m,"der Neffe — masculine (weak noun).",Neffen,"nephew","Ich habe einen Neffen.","I have a nephew.","Der Neffe ist acht Jahre alt.","The nephew is eight years old."
noun,Nichte,die,f,"die Nichte — feminine.",Nichten,"niece","Meine Nichte ist süß.","My niece is sweet.","Ich kaufe ein Geschenk für meine Nichte.","I am buying a gift for my niece."
noun,Schwiegermutter,die,f,"die Schwiegermutter — feminine.",Schwiegermütter,"mother-in-law","Meine Schwiegermutter ist freundlich.","My mother-in-law is friendly.","Er besucht die Schwiegermutter.","He visits the mother-in-law."
noun,Schwiegervater,der,m,"der Schwiegervater — masculine.",Schwiegerväter,"father-in-law","Der Schwiegervater kocht gut.","The father-in-law cooks well.","Mein Schwiegervater ist lustig.","My father-in-law is funny."
noun,Enkel,der,m,"der Enkel — masculine.",Enkel,"grandson","Der Enkel spielt im Garten.","The grandson plays in the garden.","Sie liebt ihren Enkel.","She loves her grandson."
noun,Enkelin,die,f,"die Enkelin — feminine.",Enkelinnen,"granddaughter","Das ist meine Enkelin.","That is my granddaughter.","Die Enkelin lernt Deutsch.","The granddaughter is learning German."
noun,Ehemann,der,m,"der Ehemann — masculine.",Ehemänner,"husband","Das ist mein Ehemann.","That is my husband.","Ihr Ehemann ist Arzt.","Her husband is a doctor."
noun,Ehefrau,die,f,"die Ehefrau — feminine.",Ehefrauen,"wife","Seine Ehefrau kommt aus Italien.","His wife comes from Italy.","Sie ist eine tolle Ehefrau.","She is a great wife."
noun,Paar,das,n,"das Paar — neuter.",Paare,"couple","Sie sind ein glückliches Paar.","They are a happy couple.","Das Paar tanzt.","The couple is dancing."
noun,Single,der,m,"der Single — masculine.",Singles,"single person","Er ist glücklicher Single.","He is a happy single.","Viele Singles leben in Berlin.","Many singles live in Berlin."
noun,Hochzeit,die,f,"die Hochzeit — feminine.",Hochzeiten,"wedding","Wir feiern eine Hochzeit.","We are celebrating a wedding.","Die Hochzeit war sehr romantisch.","The wedding was very romantic."
noun,Ehe,die,f,"die Ehe — feminine.",Ehen,"marriage","Ihre Ehe ist glücklich.","Their marriage is happy.","Sie sprechen über ihre Ehe.","They are talking about their marriage."
noun,Freundschaft,die,f,"die Freundschaft — feminine.",Freundschaften,"friendship","Unsere Freundschaft ist wichtig.","Our friendship is important.","Sie feiern ihre Freundschaft.","They are celebrating their friendship."
noun,Streit,der,m,"der Streit — masculine.",Streite,"argument / dispute","Sie hatten einen Streit.","They had an argument.","Der Streit war dumm.","The argument was stupid."
verb,streiten (sich),-,-,-,-,"to argue (reciprocal)","Wir streiten uns selten.","We rarely argue.","Sie haben sich gestern gestritten.","They argued yesterday."
verb,verstehen (sich),-,-,-,-,"to understand each other / get along","Wir verstehen uns super.","We get along great.","Versteht ihr euch gut?","Do you guys get along well?"
verb,treffen (sich),-,-,-,-,"to meet (reciprocal)","Wir treffen uns im Café.","We are meeting at the café.","Wann treffen wir uns?","When are we meeting?"
verb,lieben (sich),-,-,-,-,"to love each other (reciprocal)","Sie lieben sich sehr.","They love each other very much.","Romeo und Julia liebten sich.","Romeo and Juliet loved each other."
verb,kennenlernen,-,-,-,-,"to get to know / meet","Wir lernten uns in Berlin kennen.","We met in Berlin.","Wo hast du sie kennengelernt?","Where did you meet her?"
verb,heiraten,-,-,-,-,"to marry","Wir heiraten im Sommer.","We are getting married in the summer.","Sie haben letztes Jahr geheiratet.","They got married last year."
verb,trennen (sich),-,-,-,-,"to separate","Sie trennten sich im Januar.","They separated in January.","Warum habt ihr euch getrennt?","Why did you separate?"
verb,scheiden (sich lassen),-,-,-,-,"to divorce","Sie lassen sich scheiden.","They are getting divorced.","Meine Eltern sind geschieden.","My parents are divorced."
verb,aufwachsen,-,-,-,-,"to grow up","Ich wuchs in München auf.","I grew up in Munich.","Er ist in einem Dorf aufgewachsen.","He grew up in a village."
verb,studieren,-,-,-,-,"to study (at university)","Ich studierte in Wien.","I studied in Vienna.","Was hast du studiert?","What did you study?"
verb,leben,-,-,-,-,"to live","Wir lebten in Spanien.","We lived in Spain.","Er lebt jetzt in Köln.","He lives in Cologne now."
adj,freundlich,-,-,-,-,"friendly","Sie ist sehr freundlich.","She is very friendly.","Ein freundlicher Mann half mir.","A friendly man helped me."
adj,unfreundlich,-,-,-,-,"unfriendly","Der Kellner war unfreundlich.","The waiter was unfriendly.","Sei nicht so unfreundlich.","Don't be so unfriendly."
adj,glücklich,-,-,-,-,"happy","Wir waren sehr glücklich.","We were very happy.","Das ist ein glückliches Paar.","That is a happy couple."
adj,unglücklich,-,-,-,-,"unhappy","Warum bist du unglücklich?","Why are you unhappy?","Er sah unglücklich aus.","He looked unhappy."
adj,sympathisch,-,-,-,-,"likeable / nice","Ich finde ihn sympathisch.","I find him nice/likeable.","Sie ist eine sympathische Frau.","She is a nice woman."
adj,unsympathisch,-,-,-,-,"unlikeable / unpleasant","Der Typ ist mir unsympathisch.","That guy is unlikeable to me.","Das war ein unsympathischer Kommentar.","That was an unpleasant comment."
adj,sportlich,-,-,-,-,"athletic / sporty","Meine Familie ist sportlich.","My family is sporty.","Er treibt viel Sport, er ist sportlich.","He does a lot of sports, he is athletic."
adj,unsportlich,-,-,-,-,"unathletic","Ich bin total unsportlich.","I am totally unathletic.","Sie mag keinen Sport, sie ist unsportlich.","She doesn't like sports, she is unathletic."
adj,romantisch,-,-,-,-,"romantic","Der Abend war romantisch.","The evening was romantic.","Das ist ein romantischer Film.","That is a romantic movie."
adj,unromantisch,-,-,-,-,"unromantic","Mein Mann ist unromantisch.","My husband is unromantic.","Das Restaurant war unromantisch.","The restaurant was unromantic."
adj,pünktlich,-,-,-,-,"punctual / on time","Sei bitte pünktlich!","Please be on time!","Er ist immer pünktlich.","He is always punctual."
adj,unpünktlich,-,-,-,-,"unpunctual / late","Sie ist leider oft unpünktlich.","Unfortunately, she is often unpunctual.","Das ist sehr unpünktlich.","That is very late/unpunctual."
adj,ehrlich,-,-,-,-,"honest","Er ist ein ehrlicher Mensch.","He is an honest person.","Sag mir deine ehrliche Meinung.","Tell me your honest opinion."
adj,treu,-,-,-,-,"faithful / loyal","Ein treuer Freund ist wichtig.","A loyal friend is important.","Hunde sind sehr treu.","Dogs are very faithful."
adj,lustig,-,-,-,-,"funny","Die Geschichte war lustig.","The story was funny.","Wir hatten einen lustigen Abend.","We had a funny evening."
adj,ernst,-,-,-,-,"serious","Das ist ein ernstes Problem.","That is a serious problem.","Er schaut sehr ernst.","He looks very serious."
adj,hübsch,-,-,-,-,"pretty","Deine Cousine ist hübsch.","Your cousin is pretty.","Das ist ein hübsches Kleid.","That is a pretty dress."
adj,hässlich,-,-,-,-,"ugly","Das Haus war hässlich.","The house was ugly.","Ich finde das Sofa hässlich.","I find the sofa ugly."
adj,klug,-,-,-,-,"smart / clever","Sie ist sehr klug.","She is very smart.","Das war eine kluge Antwort.","That was a clever answer."
adj,dumm,-,-,-,-,"stupid / dumb","Das war dumm von mir.","That was stupid of me.","Ein dummer Fehler.","A stupid mistake."
noun,Netzwerk,das,n,"das Netzwerk — neuter.",Netzwerke,"network","Soziale Netzwerke sind beliebt.","Social networks are popular.","Ich habe ein großes Netzwerk.","I have a large network."
noun,Internet,das,n,"das Internet — neuter.",-,"internet","Wir lernten uns im Internet kennen.","We met on the internet.","Das Internet ist manchmal langsam.","The internet is sometimes slow."
noun,Nachricht,die,f,"die Nachricht — feminine.",Nachrichten,"message","Ich habe eine Nachricht geschrieben.","I wrote a message.","Hast du meine Nachricht gelesen?","Did you read my message?"
noun,Kommentar,der,m,"der Kommentar — masculine.",Kommentare,"comment","Schreibe einen Kommentar.","Write a comment.","Das ist ein blöder Kommentar.","That is a stupid comment."
noun,Foto,das,n,"das Foto — neuter.",Fotos,"photo / picture","Er postet ein Foto.","He posts a photo.","Das Foto ist sehr schön.","The photo is very beautiful."
noun,Profil,das,n,"das Profil — neuter.",Profile,"profile","Sein Profil ist interessant.","His profile is interesting.","Ich lösche mein Profil.","I am deleting my profile."
verb,chatten,-,-,-,-,"to chat (online)","Wir chatteten stundenlang.","We chatted for hours.","Ich chatte oft mit Freunden.","I chat often with friends."
verb,posten,-,-,-,-,"to post (online)","Er postete ein Bild.","He posted a picture.","Was hast du heute gepostet?","What did you post today?"
verb,teilen,-,-,-,-,"to share","Wir teilten das Foto.","We shared the photo.","Kannst du den Link teilen?","Can you share the link?"
verb,kommentieren,-,-,-,-,"to comment","Sie kommentierte mein Bild.","She commented on my picture.","Bitte kommentieren Sie den Beitrag.","Please comment on the post."
verb,sollen,-,-,-,-,"should / supposed to","Du solltest mehr lernen.","You should study more.","Er sollte pünktlich sein.","He should be on time."
verb,erzählen,-,-,-,-,"to tell / narrate","Erzähl mir von früher.","Tell me about the past.","Sie erzählte eine Geschichte.","She told a story."
adv,damals,-,-,-,-,"back then / at that time","Damals war alles anders.","Back then everything was different.","Wir waren damals jung.","We were young at that time."
adv,früher,-,-,-,-,"earlier / in the past","Früher gab es kein Internet.","In the past there was no internet.","Früher lebten wir in Berlin.","Earlier we lived in Berlin."
adv,gestern,-,-,-,-,"yesterday","Gestern war ich im Kino.","Yesterday I was at the movies.","Was hast du gestern gemacht?","What did you do yesterday?"
adv,letzt-,-,-,-,-,"last (e.g., last year)","Letztes Jahr waren wir in Rom.","Last year we were in Rome.","Letzte Woche war ich krank.","Last week I was sick."
noun,Charakter,der,m,"der Charakter — masculine.",Charaktere,"character / personality","Sie hat einen guten Charakter.","She has a good character.","Der Charakter ist wichtig.","The character is important."
noun,Humor,der,m,"der Humor — masculine.",-,"humor","Er hat viel Humor.","He has a lot of humor.","Ich mag seinen Humor.","I like his humor."
