pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Möbel,das,n,das Möbel (often used in plural).,Möbel,piece of furniture,"Das Möbel ist alt.","The piece of furniture is old.","Die Möbel sind neu.","The furniture is new."
noun,Tisch,der,m,der Tisch.,Tische,table,"Das ist ein Tisch.","That is a table.","Der Tisch ist groß.","The table is big."
noun,Stuhl,der,m,der Stuhl.,Stühle,chair,"Hier ist ein Stuhl.","Here is a chair.","Der Stuhl ist bequem.","The chair is comfortable."
noun,Schrank,der,m,der Schrank.,Schränke,closet / cabinet / wardrobe,"Der Schrank ist sehr groß.","The closet is very big.","Das ist ein Schrank.","That is a wardrobe."
noun,Sessel,der,m,der Sessel.,Sessel,armchair,"Der Sessel ist sehr bequem.","The armchair is very comfortable.","Ich brauche einen Sessel.","I need an armchair."
noun,Teppich,der,m,der Teppich.,Teppiche,carpet / rug,"Der Teppich ist rot.","The carpet is red.","Das ist ein Teppich.","That is a rug."
noun,Bett,das,n,das Bett.,Betten,bed,"Das Bett ist billig.","The bed is cheap.","Das ist ein Bett.","That is a bed."
noun,Sofa,das,n,das Sofa — ends in -a.,Sofas,sofa / couch,"Das Sofa ist modern.","The sofa is modern.","Das ist ein Sofa.","That is a sofa."
noun,Bild,das,n,das Bild.,Bilder,picture / painting,"Das Bild ist schön.","The picture is beautiful.","Das ist ein Bild.","That is a picture."
noun,Lampe,die,f,die Lampe — ends in -e.,Lampen,lamp,"Die Lampe ist hell.","The lamp is bright.","Das ist eine Lampe.","That is a lamp."
noun,Zimmer,das,n,das Zimmer — ends in -er.,Zimmer,room,"Das Zimmer ist klein.","The room is small.","Das ist mein Zimmer.","That is my room."
noun,Preis,der,m,der Preis.,Preise,price,"Der Preis ist gut.","The price is good.","Was ist der Preis?","What is the price?"
noun,Angebot,das,n,das Angebot.,Angebote,offer / special offer,"Das ist ein Angebot!","That is a special offer!","Das Angebot ist super.","The offer is super."
noun,Prospekt,der,m,der Prospekt.,Prospekte,brochure / flyer,"Lesen Sie den Prospekt.","Read the flyer.","Der Prospekt ist hier.","The brochure is here."
noun,Euro,der,m,der Euro (plural is usually Euro with amounts).,Euros,Euro,"Das kostet hundert Euro.","That costs one hundred euros.","Ein Euro ist nicht viel.","One Euro is not much."
noun,Cent,der,m,der Cent.,Cents,Cent,"99 Cent.","99 Cents.","Das kostet 50 Cent.","That costs 50 cents."
adjective,groß,-,-,-,-,big / large / tall,"Der Schrank ist groß.","The closet is big.","Ein großes Bett.","A big bed."
adjective,klein,-,-,-,-,small / short,"Der Tisch ist klein.","The table is small.","Ein kleines Zimmer.","A small room."
adjective,schön,-,-,-,-,beautiful / nice,"Die Lampe ist schön.","The lamp is beautiful.","Das ist sehr schön.","That is very nice."
adjective,hässlich,-,-,-,-,ugly,"Der Teppich ist hässlich.","The carpet is ugly.","Das Sofa ist wirklich hässlich.","The sofa is really ugly."
adjective,teuer,-,-,-,-,expensive,"Das Bett ist zu teuer.","The bed is too expensive.","Ist das teuer?","Is that expensive?"
adjective,billig,-,-,-,-,cheap,"Der Stuhl ist billig.","The chair is cheap.","Das ist sehr billig.","That is very cheap."
adjective,günstig,-,-,-,-,favorable / well-priced / cheap,"Das Angebot ist günstig.","The offer is well-priced.","Der Preis ist günstig.","The price is reasonable."
adjective,praktisch,-,-,-,-,practical,"Der Tisch ist praktisch.","The table is practical.","Das ist sehr praktisch.","That is very practical."
adjective,modern,-,-,-,-,modern,"Das Sofa ist modern.","The sofa is modern.","Die Möbel sind modern.","The furniture is modern."
adjective,bequem,-,-,-,-,comfortable,"Der Sessel ist bequem.","The armchair is comfortable.","Das Bett ist sehr bequem.","The bed is very comfortable."
adjective,hell,-,-,-,-,bright / light,"Das Zimmer ist hell.","The room is bright.","Hellblau.","Light blue."
adjective,dunkel,-,-,-,-,dark,"Die Lampe ist dunkel.","The lamp is dark.","Dunkelgrün.","Dark green."
adjective,rot,-,-,-,-,red,"Der Teppich ist rot.","The carpet is red.","Rot ist eine Farbe.","Red is a color."
adjective,blau,-,-,-,-,blue,"Das Sofa ist blau.","The sofa is blue.","Das Wasser ist blau.","The water is blue."
adjective,gelb,-,-,-,-,yellow,"Der Stuhl ist gelb.","The chair is yellow.","Die Sonne ist gelb.","The sun is yellow."
adjective,grün,-,-,-,-,green,"Der Schrank ist grün.","The closet is green.","Hellgrün.","Light green."
adjective,schwarz,-,-,-,-,black,"Das Bett ist schwarz.","The bed is black.","Schwarz und weiß.","Black and white."
