pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Apotheke,die,f,die Apotheke — ends in -e.,Apotheken,pharmacy / chemist,"Die Apotheke ist um die Ecke.","The pharmacy is around the corner.","Ich suche eine Apotheke.","I am looking for a pharmacy."
noun,Bank,die,f,die Bank.,Banken,bank,"Wo ist die Bank?","Where is the bank?","Die Bank ist neben der Post.","The bank is next to the post office."
noun,Post,die,f,die Post.,-,post office / mail,"Ich muss zur Post.","I have to go to the post office.","Die Post ist gleich hier.","The post office is right here."
noun,Bahnhof,der,m,der Bahnhof — compound ending in -hof.,Bahnhöfe,train station,"Wie komme ich zum Bahnhof?","How do I get to the train station?","Der Bahnhof ist weit weg.","The train station is far away."
noun,Hotel,das,n,das Hotel.,Hotels,hotel,"Das Hotel liegt im Zentrum.","The hotel is located in the center.","Suchen Sie ein Hotel?","Are you looking for a hotel?"
noun,Museum,das,n,das Museum.,Museen,museum,"Das Museum ist sehr interessant.","The museum is very interesting.","Wir gehen ins Museum.","We are going to the museum."
noun,Kino,das,n,das Kino.,Kinos,cinema / movie theater,"Das Kino ist vor dem Park.","The cinema is in front of the park.","Wir treffen uns vor dem Kino.","We meet in front of the cinema."
noun,Polizei,die,f,die Polizei.,-,police / police station,"Rufen Sie die Polizei!","Call the police!","Die Polizei ist in der Nähe.","The police station is nearby."
noun,Krankenhaus,das,n,das Krankenhaus — compound ending in -haus.,Krankenhäuser,hospital,"Das Krankenhaus ist groß.","The hospital is big.","Fahren Sie zum Krankenhaus.","Drive to the hospital."
noun,Bäckerei,die,f,die Bäckerei — ends in -ei.,Bäckereien,bakery,"Ich kaufe Brot in der Bäckerei.","I buy bread in the bakery.","Die Bäckerei öffnet früh.","The bakery opens early."
noun,Metzgerei,die,f,die Metzgerei — ends in -ei.,Metzgereien,butcher's shop,"Die Metzgerei ist am Platz.","The butcher is at the square.","Ich gehe zur Metzgerei.","I am going to the butcher."
noun,Supermarkt,der,m,der Supermarkt.,Supermärkte,supermarket,"Der Supermarkt ist hinter der Post.","The supermarket is behind the post office.","Wir kaufen im Supermarkt ein.","We shop at the supermarket."
noun,Kirche,die,f,die Kirche — ends in -e.,Kirchen,church,"Die Kirche ist alt.","The church is old.","Neben der Kirche ist ein Café.","Next to the church is a cafe."
noun,Rathaus,das,n,das Rathaus — compound ending in -haus.,Rathäuser,town hall / city hall,"Das Rathaus ist im Zentrum.","The town hall is in the center.","Gehen Sie am Rathaus vorbei.","Go past the town hall."
noun,Stadt,die,f,die Stadt.,Städte,city / town,"Ich wohne in der Stadt.","I live in the city.","Die Stadt ist sehr schön.","The city is very beautiful."
noun,Zentrum,das,n,das Zentrum.,Zentren,center / downtown,"Wir fahren ins Zentrum.","We are driving downtown.","Im Zentrum gibt es viele Geschäfte.","In the center there are many stores."
noun,Platz,der,m,der Platz.,Plätze,square / place / seat,"Der Marktplatz ist groß.","The market square is big.","Nehmen Sie Platz.","Take a seat."
noun,Straße,die,f,die Straße — ends in -e.,Straßen,street / road,"Gehen Sie die Straße geradeaus.","Go straight down the street.","Wo ist die Goethestraße?","Where is Goethe Street?"
noun,Weg,der,m,der Weg.,Wege,path / way,"Können Sie mir den Weg beschreiben?","Can you describe the way to me?","Das ist der richtige Weg.","That is the right way."
noun,Ampel,die,f,die Ampel.,Ampeln,traffic light,"An der Ampel gehen Sie rechts.","At the traffic light go right.","Die Ampel ist rot.","The traffic light is red."
noun,Brücke,die,f,die Brücke — ends in -e.,Brücken,bridge,"Fahren Sie über die Brücke.","Drive over the bridge.","Die Brücke ist sehr lang.","The bridge is very long."
noun,Ecke,die,f,die Ecke — ends in -e.,Ecken,corner,"Die Bank ist an der Ecke.","The bank is at the corner.","Gehen Sie um die Ecke.","Go around the corner."
noun,Nähe,die,f,die Nähe — ends in -e.,-,vicinity / nearness,"Ist hier eine Apotheke in der Nähe?","Is there a pharmacy nearby here?","Ganz in der Nähe.","Very close by."
noun,Fußgänger,der,m,der Fußgänger — ends in -er.,Fußgänger,pedestrian,"Der Weg ist für Fußgänger.","The path is for pedestrians.","Der Fußgänger wartet.","The pedestrian is waiting."
