pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
adv,abwechselnd,,,,,alternately / taking turns,"Wir lesen abwechselnd.","We take turns reading.","Abwechselnd links und rechts.","Alternately left and right.","Sie spielen abwechselnd.","They play by turns."
noun,Aktivität,die,f,Ends in -tät -> always feminine.,Aktivitäten,activity,"Das ist eine tolle Aktivität.","That is a great activity.","Wir planen unsere Aktivitäten.","We are planning our activities.","Sportliche Aktivitäten.","Sports activities."
pron,alles,,,,,everything / all,"Alles ist gut.","Everything is good.","Ich verstehe alles.","I understand everything.","Alles oder nichts.","All or nothing."
adv,also,,,,,so / well then,"Also, was machen wir jetzt?","So, what are we doing now?","Also wirklich!","Well really!","Also gehen wir!","So let's go!"
adj,alternativ,,,,,alternative,"Gibt es einen alternativen Plan?","Is there an alternative plan?","Das ist alternativ.","That is alternative.","Alternative Energie.","Alternative energy."
noun,Anfang,der,m,Masculine by convention.,Anfänge,beginning,"Aller Anfang ist schwer.","Every beginning is hard.","Am Anfang des Jahres.","At the beginning of the year.","Wir stehen am Anfang.","We are at the beginning."
noun,Angestellte,der/die,m/f,Declined like an adjective.,Angestellten,employee,"Er ist ein Angestellter.","He is an employee.","Die Angestellte arbeitet hier.","The female employee works here.","Ein Fest für die Angestellten.","A party for the employees."
noun,Antwort,die,f,Feminine by convention.,Antworten,answer,"Die Antwort ist richtig.","The answer is correct.","Ich warte auf eine Antwort.","I wait for an answer.","Was ist Ihre Antwort?","What is your answer?"
noun,Apparat,der,m,Ends in -at -> mostly masculine.,Apparate,device / apparatus,"Der Apparat ist kaputt.","The device is broken.","Ein medizinischer Apparat.","A medical device.","Bleiben Sie am Apparat.","Stay on the line (phone)."
verb,aufbauen,,,,,to build up / to set up,"Wir bauen das Zelt auf.","We set up the tent.","Ich baue ein Netzwerk auf.","I build up a network.","Bitte das Regal aufbauen.","Please set up the shelf."
noun,Ausflug,der,m,Nouns starting with Aus- and derived from verbs are often masculine.,Ausflüge,excursion / trip,"Wir machen einen Ausflug.","We are taking an excursion.","Ein Ausflug in die Berge.","A trip to the mountains.","Der Ausflug war schön.","The excursion was nice."
noun,Ausland,das,n,Compound: das Land (neutral).,-,foreign country / abroad,"Er studiert im Ausland.","He studies abroad.","Wir reisen ins Ausland.","We travel abroad.","Er kommt aus dem Ausland.","He comes from abroad."
adv,auswendig,,,,,by heart,"Ich lerne den Text auswendig.","I learn the text by heart.","Kannst du das auswendig?","Do you know that by heart?","Ein Gedicht auswendig lernen.","To learn a poem by heart."
