pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en,ex4_de,ex4_en,ex5_de,ex5_en
noun,Mann,der,m,Natural gender: male person → usually der.,Männer,man,Der Mann ist hier.,The man is here.,,,,,,,,
noun,Frau,die,f,Natural gender: female person → usually die.,Frauen,woman,Die Frau ist nett.,The woman is nice.,,,,,,,,
noun,Kind,das,n,Many young beings are neuter in German (das Kind).,Kinder,child,Das Kind spielt.,The child is playing.,,,,,,,,
noun,Mädchen,das,n,Diminutive suffix -chen → always neuter (das).,Mädchen,girl,Das Mädchen lernt Deutsch.,The girl is learning German.,,,,,,,,
noun,Haus,das,n,Learn as fixed pair: das Haus.,Häuser,house,Das Haus ist groß.,The house is big.,,,,,,,,
noun,Schule,die,f,Many nouns ending in -e are feminine (die).,Schulen,school,Die Schule ist nah.,The school is near.,,,,,,,,
noun,Name,der,m,Exception: der Name (masculine).,Namen,name,Wie ist dein Name?,What is your name?,,,,,,,,
noun,Zeit,die,f,Abstract noun; learn as chunk: die Zeit.,Zeiten,time,Ich habe keine Zeit.,I have no time.,,,,,,,,
noun,Wasser,das,n,Mass noun; often neuter: das Wasser.,,water,Ich trinke Wasser.,I drink water.,,,,,,,,
noun,Kaffee,der,m,Many drinks are masculine: der Kaffee.,,coffee,Ich trinke Kaffee.,I drink coffee.,,,,,,,,
noun,Tee,der,m,Many drinks are masculine: der Tee.,,tea,Er trinkt Tee.,He drinks tea.,,,,,,,,
noun,Milch,die,f,Common exception: die Milch (feminine).,,milk,Ich kaufe Milch.,I buy milk.,,,,,,,,
noun,Brot,das,n,Food item learned as chunk: das Brot.,Brote,bread,Wir essen Brot.,We eat bread.,,,,,,,,
noun,Apfel,der,m,Many fruits are masculine: der Apfel.,Äpfel,apple,Der Apfel ist rot.,The apple is red.,,,,,,,,
noun,Banane,die,f,Ending -e → usually feminine (die Banane).,Bananen,banana,Die Banane ist gelb.,The banana is yellow.,,,,,,,,
noun,Zug,der,m,Vehicle noun commonly masculine: der Zug.,Züge,train,Der Zug kommt gleich.,The train is coming soon.,,,,,,,,
noun,Bus,der,m,Vehicle noun commonly masculine: der Bus.,Busse,bus,Der Bus ist voll.,The bus is full.,,,,,,,,
