pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Monat,der,m,der Monat.,Monate,month,"Ein Jahr hat zwölf Monate.","A year has twelve months.","Welcher Monat ist jetzt?","Which month is it now?"
noun,Januar,der,m,All months are masculine.,-,January,"Im Januar ist es kalt.","In January it is cold.","Mein Geburtstag ist im Januar.","My birthday is in January."
noun,Februar,der,m,All months are masculine.,-,February,"Karneval ist oft im Februar.","Carnival is often in February.","Im Februar fahre ich Ski.","In February I go skiing."
noun,März,der,m,All months are masculine.,-,March,"Der Frühling beginnt im März.","Spring begins in March.","Im März ist das Wetter schön.","In March the weather is nice."
noun,April,der,m,All months are masculine.,-,April,"Im April regnet es oft.","In April it rains often.","Er kommt im April.","He is coming in April."
noun,Mai,der,m,All months are masculine.,-,May,"Im Mai blühen die Blumen.","In May the flowers bloom.","Der erste Mai ist ein Feiertag.","The first of May is a holiday."
noun,Juni,der,m,All months are masculine.,-,June,"Im Juni beginnt der Sommer.","In June summer begins.","Wir heiraten im Juni.","We are getting married in June."
noun,Juli,der,m,All months are masculine.,-,July,"Im Juli haben wir Urlaub.","In July we have vacation.","Es ist heiß im Juli.","It is hot in July."
noun,August,der,m,All months are masculine.,-,August,"Im August reisen wir nach Italien.","In August we travel to Italy.","Im August sind Ferien.","In August there are school holidays."
noun,September,der,m,All months are masculine.,-,September,"Im September beginnt der Herbst.","In September autumn begins.","Der Kurs startet im September.","The course starts in September."
noun,Oktober,der,m,All months are masculine.,-,October,"Das Oktoberfest ist im Oktober.","The Oktoberfest is in October.","Im Oktober ist es windig.","In October it is windy."
noun,November,der,m,All months are masculine.,-,November,"Im November ist das Wetter schlecht.","In November the weather is bad.","Ich mag den November nicht.","I don't like November."
noun,Dezember,der,m,All months are masculine.,-,December,"Weihnachten ist im Dezember.","Christmas is in December.","Im Dezember schneit es oft.","In December it snows often."
noun,Jahreszeit,die,f,die Jahreszeit — compound with Zeit.,Jahreszeiten,season,"Welche Jahreszeit magst du?","Which season do you like?","Es gibt vier Jahreszeiten.","There are four seasons."
noun,Frühling,der,m,All seasons are masculine.,Frühlinge,spring,"Im Frühling ist es warm.","In spring it is warm.","Der Frühling ist schön.","Spring is beautiful."
noun,Sommer,der,m,All seasons are masculine.,Sommer,summer,"Im Sommer fahre ich ans Meer.","In summer I travel to the sea.","Der Sommer ist heiß.","Summer is hot."
noun,Herbst,der,m,All seasons are masculine.,Herbste,autumn / fall,"Im Herbst fallen die Blätter.","In autumn the leaves fall.","Ich liebe den Herbst.","I love autumn."
noun,Winter,der,m,All seasons are masculine.,Winter,winter,"Im Winter fahre ich Ski.","In winter I ski.","Der Winter ist sehr kalt.","Winter is very cold."
noun,Fest,das,n,das Fest.,Feste,festival / celebration,"Wir feiern ein Fest.","We are celebrating a festival.","Das Fest war toll.","The festival was great."
noun,Geburtstag,der,m,der Geburtstag — compound with Tag.,Geburtstage,birthday,"Wann hast du Geburtstag?","When is your birthday?","Alles Gute zum Geburtstag!","Happy Birthday!"
noun,Weihnachten,das,n,Weihnachten is mostly used without an article.,-,Christmas,"Frohe Weihnachten!","Merry Christmas!","Was machst du an Weihnachten?","What are you doing at Christmas?"
