pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Wetter,das,n,das Wetter.,-,weather,"Wie ist das Wetter heute?","How is the weather today?","Das Wetter ist sehr schön.","The weather is very nice."
noun,Sonne,die,f,die Sonne.,Sonnen,sun,"Die Sonne scheint.","The sun is shining.","Die Sonne ist heiß.","The sun is hot."
noun,Regen,der,m,der Regen.,-,rain,"Ich mag den Regen nicht.","I don't like the rain.","Wir brauchen Regen für die Pflanzen.","We need rain for the plants."
noun,Schnee,der,m,der Schnee.,-,snow,"Der Schnee ist weiß und kalt.","The snow is white and cold.","Die Kinder spielen im Schnee.","The children play in the snow."
noun,Wind,der,m,der Wind.,Winde,wind,"Der Wind ist stark.","The wind is strong.","Kalter Wind kommt aus dem Norden.","Cold wind comes from the north."
noun,Wolke,die,f,die Wolke — ends in -e.,Wolken,cloud,"Es gibt viele Wolken am Himmel.","There are many clouds in the sky.","Die Wolke ist dunkel.","The cloud is dark."
noun,Nebel,der,m,der Nebel.,-,fog,"Im Herbst gibt es oft Nebel.","In autumn there is often fog.","Vorsicht, dicker Nebel!","Caution, thick fog!"
noun,Gewitter,das,n,das Gewitter — starts with Ge-.,Gewitter,thunderstorm,"Morgen gibt es ein Gewitter.","Tomorrow there will be a thunderstorm.","Ich habe Angst vor dem Gewitter.","I am afraid of the thunderstorm."
noun,Sturm,der,m,der Sturm.,Stürme,storm,"Achtung, ein schwerer Sturm!","Attention, a severe storm!","Der Sturm kommt vom Meer.","The storm comes from the sea."
noun,Grad,das,n,das Grad.,Grad,degree (temperature),"Es sind heute 25 Grad.","It is 25 degrees today.","Minus fünf Grad.","Minus five degrees."
noun,Temperatur,die,f,die Temperatur — ends in -ur.,Temperaturen,temperature,"Die Temperaturen steigen.","The temperatures are rising.","Eine hohe Temperatur.","A high temperature."
noun,Wetterbericht,der,m,der Wetterbericht.,Wetterberichte,weather forecast,"Hörst du den Wetterbericht?","Are you listening to the weather forecast?","Der Wetterbericht sagt Regen an.","The weather forecast says rain."
