pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Fernseher,der,m,"der Fernseher — masculine.",Fernseher,"television (device)","Wir kaufen einen neuen Fernseher.","We are buying a new television.","Der Fernseher ist kaputt.","The television is broken."
noun,Fernsehen,das,n,"das Fernsehen — neuter.",-,"television (medium / watching TV)","Was kommt heute im Fernsehen?","What's on TV today?","Ich schaue nicht oft Fernsehen.","I don't watch television often."
noun,Programm,das,n,"das Programm — neuter.",Programme,"program / channel","Wie ist das Fernsehprogramm heute?","How is the TV program today?","Es gibt viele Programme.","There are many channels."
noun,Sendung,die,f,"die Sendung — feminine.",Sendungen,"broadcast / show","Das ist meine Lieblingssendung.","That is my favorite show.","Die Sendung fängt um 20 Uhr an.","The show starts at 8 PM."
noun,Krimi,der,m,"der Krimi — masculine.",Krimis,"crime thriller","Ich sehe sonntags immer einen Krimi.","I watch a crime thriller on Sundays.","Der Krimi war sehr spannend.","The crime thriller was very exciting."
noun,Nachrichten,die,pl,"die Nachrichten — plural only.",-,"news","Um 20 Uhr kommen die Nachrichten.","The news comes on at 8 PM.","Hast du die Nachrichten gesehen?","Did you see the news?"
noun,Serie,die,f,"die Serie — feminine.",Serien,"series","Wir schauen eine neue Serie auf Netflix.","We are watching a new series on Netflix.","Die Serie hat fünf Staffeln.","The series has five seasons."
noun,Dokumentation,die,f,"die Dokumentation — feminine.",Dokumentationen,"documentary","Die Dokumentation über Tiere ist toll.","The documentary about animals is great.","Ich liebe historische Dokumentationen.","I love historical documentaries."
noun,Sender,der,m,"der Sender — masculine.",Sender,"channel / station","Welcher Sender ist das?","Which channel is that?","Mein Lieblingssender spielt viel Musik.","My favorite station plays a lot of music."
noun,Fernbedienung,die,f,"die Fernbedienung — feminine.",Fernbedienungen,"remote control","Gib mir bitte die Fernbedienung.","Please give me the remote control.","Wo liegt die Fernbedienung?","Where is the remote control?"
verb,einschalten,-,-,-,-,"to turn on","Kannst du den Fernseher einschalten?","Can you turn on the TV?","Ich schalte das Radio ein.","I turn on the radio."
verb,ausschalten,-,-,-,-,"to turn off","Bitte schalte den Fernseher aus.","Please turn off the TV.","Wir schalten das Licht aus.","We turn off the light."
verb,umschalten,-,-,-,-,"to switch channels","Der Film ist langweilig, ich schalte um.","The movie is boring, I am switching channels.","Bitte nicht umschalten!","Please don't change the channel!"
verb,gucken,-,-,-,-,"to watch / look (informal)","Wir gucken heute Abend einen Film.","We are watching a movie tonight.","Guck mal!","Look!"
noun,Laptop,der,m,"der Laptop — masculine.",Laptops,"laptop","Ich arbeite an einem neuen Laptop.","I work on a new laptop.","Mein Laptop ist sehr schnell.","My laptop is very fast."
noun,Tablet,das,n,"das Tablet — neuter.",Tablets,"tablet (computer)","Das Tablet ist praktisch für unterwegs.","The tablet is practical for on the go.","Ich lese E-Books auf dem Tablet.","I read e-books on the tablet."
noun,Smartphone,das,n,"das Smartphone — neuter.",Smartphones,"smartphone","Mit dem Smartphone kann man alles machen.","You can do everything with the smartphone.","Mein Smartphone ist fast leer.","My smartphone is almost empty."
noun,Bildschirm,der,m,"der Bildschirm — masculine.",Bildschirme,"screen / monitor","Der Bildschirm ist sehr groß.","The screen is very large.","Ich schaue auf den Bildschirm.","I look at the screen."
noun,Tastatur,die,f,"die Tastatur — feminine.",Tastaturen,"keyboard","Die Tastatur von meinem Laptop ist kaputt.","The keyboard of my laptop is broken.","Ich tippe auf der Tastatur.","I type on the keyboard."
noun,Drucker,der,m,"der Drucker — masculine.",Drucker,"printer","Der Drucker hat kein Papier mehr.","The printer has no paper.","Wir brauchen einen neuen Drucker.","We need a new printer."
noun,Internet,das,n,"das Internet — neuter.",-,"internet","Wozu nutzt du das Internet?","What do you use the internet for?","Ich habe Probleme mit dem Internet.","I have problems with the internet."
noun,WLAN,das,n,"das WLAN — neuter.",-,"Wi-Fi","Haben Sie hier kostenloses WLAN?","Do you have free Wi-Fi here?","Das WLAN funktioniert nicht.","The Wi-Fi is not working."
noun,App,die,f,"die App — feminine.",Apps,"app / application","Welche ist deine Lieblings-App?","Which is your favorite app?","Ich lade eine neue App herunter.","I am downloading a new app."
verb,herunterladen,-,-,-,-,"to download","Ich muss das Programm herunterladen.","I have to download the program.","Hast du die App heruntergeladen?","Did you download the app?"
verb,installieren,-,-,-,-,"to install","Ich installiere die App auf meinem Handy.","I install the app on my cell phone.","Du musst das Update installieren.","You have to install the update."
verb,löschen,-,-,-,-,"to delete","Ich habe die Datei gelöscht.","I deleted the file.","Bitte lösche dieses Foto.","Please delete this photo."
verb,surfen,-,-,-,-,"to surf (internet)","Ich surfe jeden Tag im Internet.","I surf the internet every day.","Wir surfen oft auf dieser Webseite.","We often surf on this website."
verb,chatten,-,-,-,-,"to chat (online)","Sie chattet stundenlang mit Freunden.","She chats with friends for hours.","Wir haben gestern gechattet.","We chatted yesterday."
noun,Gastgeber,der,m,"der Gastgeber — masculine.",Gastgeber,"host","Er ist ein toller Gastgeber.","He is a great host.","Der Gastgeber begrüßt die Gäste.","The host greets the guests."
