pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
noun,Adjektiv,das,n,Grammar terms are often neutral.,Adjektive,adjective,"'Groß' ist ein Adjektiv.","'Groß' is an adjective.","Markieren Sie das Adjektiv.","Highlight the adjective.","Ein Adjektiv beschreibt ein Nomen.","An adjective describes a noun."
verb,abdecken,,,,,to cover,"Decken Sie den Tisch ab.","Cover the table (clear the table).","Ich decke den Text ab.","I cover the text.","Bitte abdecken.","Please cover."
verb,aufhängen,,,,,to hang up,"Ich hänge das Bild auf.","I hang up the picture.","Häng bitte die Jacke auf.","Please hang up the jacket.","Er hängt die Lampe auf.","He hangs up the lamp."
noun,Bäckerei,die,f,Nouns ending in -ei are always feminine.,Bäckereien,bakery,"Ich gehe zur Bäckerei.","I go to the bakery.","Die Bäckerei ist offen.","The bakery is open.","Ein frisches Brot von der Bäckerei.","A fresh bread from the bakery."
noun,Bad,das,n,Neutral by convention.,Bäder,bathroom,"Das Bad ist modern.","The bathroom is modern.","Wo ist das Bad?","Where is the bathroom?","Ich putze das Bad.","I clean the bathroom."
noun,Balkon,der,m,Foreign words ending in -on are masculine.,Balkone,balcony,"Die Wohnung hat einen Balkon.","The apartment has a balcony.","Wir sitzen auf dem Balkon.","We sit on the balcony.","Der Balkon ist sonnig.","The balcony is sunny."
noun,Bank,die,f,Ends in -k (sometimes feminine).,Banken,bank / bench,"Die Bank ist in der Stadt.","The bank is in the city.","Ich sitze auf der Parkbank.","I am sitting on the park bench.","Wir gehen zur Bank.","We go to the bank."
noun,Baum,der,m,Masculine by convention.,Bäume,tree,"Der Baum ist sehr alt.","The tree is very old.","Im Garten steht ein Baum.","There is a tree in the garden.","Die Blätter vom Baum.","The leaves from the tree."
verb,beantworten,,,,,to answer,"Beantworten Sie die Frage.","Answer the question.","Er beantwortet die E-Mail.","He answers the email.","Bitte beantworten.","Please answer."
noun,Bett,das,n,Neutral by convention.,Betten,bed,"Das Bett ist bequem.","The bed is comfortable.","Ich gehe ins Bett.","I am going to bed.","Wo steht das Bett?","Where is the bed?"
noun,Bild,das,n,Neutral by convention.,Bilder,picture / image,"Das Bild ist an der Wand.","The picture is on the wall.","Ich sehe das Bild an.","I look at the picture.","Ein schönes Bild.","A beautiful picture."
noun,Café,das,n,Foreign words ending in -e often neutral.,Cafés,cafe,"Wir treffen uns im Café.","We are meeting in the cafe.","Das Café ist gemütlich.","The cafe is cozy.","Ein Kaffee im Café.","A coffee in the cafe."
noun,Couch,die,f,English loanword (feminine).,Couches,sofa / couch,"Die Couch ist neu.","The couch is new.","Wir sitzen auf der Couch.","We sit on the couch.","Eine bequeme Couch.","A comfortable couch."
noun,Couchsurfer,der,m,English loanword.,Couchsurfer,couchsurfer,"Er ist ein Couchsurfer.","He is a couchsurfer.","Der Couchsurfer schläft bei uns.","The couchsurfer sleeps at our place.","Wir suchen einen Couchsurfer.","We are looking for a couchsurfer."
noun,Dativ,der,m,Grammar terms are masculine.,Dative,dative case,"Das Verb braucht den Dativ.","The verb needs the dative case.","Der Dativ von 'der' ist 'dem'.","The dative of 'der' is 'dem'.","Schreiben Sie den Satz im Dativ.","Write the sentence in the dative."
noun,Dorf,das,n,Neutral by convention.,Dörfer,village,"Das Dorf ist klein.","The village is small.","Ich wohne in einem Dorf.","I live in a village.","Ein ruhiges Dorf.","A quiet village."
adj,dritte,,,,,third,"Das ist der dritte Stock.","This is the third floor.","Die dritte Person.","The third person.","Der dritte Tag.","The third day."
adj,dunkel,,,,,dark,"Im Zimmer ist es dunkel.","It is dark in the room.","Die Farbe ist dunkel.","The color is dark.","Es wird langsam dunkel.","It is slowly getting dark."
noun,Dusche,die,f,Ends in -e -> mostly feminine.,Duschen,shower,"Die Dusche ist im Bad.","The shower is in the bathroom.","Ich brauche eine Dusche.","I need a shower.","Die Dusche ist kaputt.","The shower is broken."
pron,einer,,,,,one (pronoun),"Welcher ist dein Stuhl? Dieser hier ist einer.","Which one is your chair? This one here is one.","Ich brauche einen Stuhl. Hast du einen?","I need a chair. Do you have one?"
phrase,es gibt,,,,,there is / there are,"Es gibt ein Sofa im Wohnzimmer.","There is a sofa in the living room.","Gibt es hier eine Bank?","Is there a bank here?","Es gibt viele Dinge.","There are many things."
noun,Etage,die,f,Ends in -e -> mostly feminine.,Etagen,floor / story,"Die Wohnung ist in der dritten Etage.","The apartment is on the third floor.","Welche Etage ist das?","Which floor is that?","Die Etage ist hoch.","The floor is high."
noun,Fernseher,der,m,Nouns ending in -er (devices) are masculine.,Fernseher,television (device),"Der Fernseher ist an.","The TV is on.","Wir kaufen einen neuen Fernseher.","We are buying a new TV.","Wo ist der Fernseher?","Where is the TV?"
noun,Garage,die,f,Ends in -e -> mostly feminine.,Garagen,garage,"Das Auto steht in der Garage.","The car is in the garage.","Die Garage ist groß.","The garage is big.","Ich öffne die Garage.","I open the garage."
noun,Garten,der,m,Masculine by convention.,Gärten,garden,"Der Garten ist hinter dem Haus.","The garden is behind the house.","Wir sitzen im Garten.","We are sitting in the garden.","Ein schöner Garten.","A beautiful garden."
noun,Gästezimmer,das,n,Compound noun takes the gender of the last word (das Zimmer).,Gästezimmer,guest room,"Das Gästezimmer ist sauber.","The guest room is clean.","Wir haben ein Gästezimmer.","We have a guest room.","Wo ist das Gästezimmer?","Where is the guest room?"
noun,Geschäft,das,n,Neutral by convention.,Geschäfte,shop,"Das Geschäft ist zu.","The shop is closed.","Ich gehe in das Geschäft.","I am going into the shop.","Ein kleines Geschäft.","A small shop."
adj,gratis,,,,,free,"Das ist gratis.","That is free.","Gratis-Wasser.","Free water.","Alles gratis.","Everything is free."
verb,grillen,,,,,to grill / BBQ,"Wir grillen heute Abend.","We are grilling tonight.","Er grillt Fleisch.","He is grilling meat.","Grillst du gerne?","Do you like to grill?"
noun,Großstadt,die,f,Compound noun takes the gender of the last word (die Stadt).,Großstädte,metropolis / big city,"Berlin ist eine Großstadt.","Berlin is a big city.","Ich wohne in der Großstadt.","I live in a big city.","Die Großstadt ist laut.","The metropolis is loud."
adj,hässlich,,,,,ugly,"Das Haus ist nicht hässlich.","The house is not ugly.","Ein hässlicher Stuhl.","An ugly chair.","Das ist hässlich.","That is ugly."
noun,Haus,das,n,Neutral by convention.,Häuser,house,"Das Haus ist sehr groß.","The house is very big.","Ich gehe nach Hause.","I am going home.","Wie ist dein Haus?","How is your house?"
verb,heften,,,,,to staple / to attach,"Heften Sie das Papier.","Staple the paper.","Ich hefte die Blätter zusammen.","I staple the sheets together.","Bitte heften.","Please staple."
adj,hell,,,,,bright / light,"Das Zimmer ist hell.","The room is bright.","Die Farbe ist hell.","The color is light.","Es ist hell draußen.","It is bright outside."
adj,interessant,,,,,interesting,"Das ist sehr interessant.","That is very interesting.","Ein interessantes Buch.","An interesting book.","Ich finde das interessant.","I find that interesting."
noun,Kirche,die,f,Ends in -e -> mostly feminine.,Kirchen,church,"Die Kirche ist alt.","The church is old.","Wir gehen in die Kirche.","We go to church.","Wo ist die Kirche?","Where is the church?"
noun,Kühlschrank,der,m,Compound noun takes the gender of the last word (der Schrank).,Kühlschränke,refrigerator,"Die Milch ist im Kühlschrank.","The milk is in the fridge.","Mach den Kühlschrank auf.","Open the fridge.","Der Kühlschrank ist leer.","The fridge is empty."
noun,Kurs,der,m,Masculine by convention.,Kurse,course,"Der Kurs ist sehr gut.","The course is very good.","Wann ist der Kurs?","When is the course?","Ich besuche einen Kurs.","I am attending a course."
noun,Lampe,die,f,Ends in -e -> mostly feminine.,Lampen,lamp,"Die Lampe ist an.","The lamp is on.","Ich kaufe eine Lampe.","I am buying a lamp.","Die Lampe ist hell.","The lamp is bright."
noun,Land,das,n,Neutral by convention.,Länder,country / land,"Deutschland ist mein Land.","Germany is my country.","Das Land ist groß.","The country is big.","Ich reise durch das Land.","I travel through the country."
adj,langweilig,,,,,boring,"Der Film ist langweilig.","The movie is boring.","Ein langweiliger Tag.","A boring day.","Das ist nicht langweilig.","That is not boring."
adj,laut,,,,,loud,"Die Musik ist zu laut.","The music is too loud.","Der Junge ist laut.","The boy is loud.","Nicht so laut, bitte!","Not so loud, please!"
noun,Lieblingsplatz,der,m,Compound noun takes the gender of the last word (der Platz).,Lieblingsplätze,favorite place,"Das ist mein Lieblingsplatz.","That is my favorite place.","Suchen Sie Ihren Lieblingsplatz.","Find your favorite place.","Das Sofa ist mein Lieblingsplatz.","The sofa is my favorite place."
noun,Couchsurfing,das,n,English loanword.,-,couchsurfing,"Ich mache Couchsurfing.","I am doing couchsurfing.","Couchsurfing ist international.","Couchsurfing is international.","Hast du Couchsurfing probiert?","Have you tried couchsurfing?"
adv,links,,,,,left,"Gehen Sie links.","Go left.","Der Stuhl steht links.","The chair stands on the left.","Links und rechts.","Left and right."
noun,Lücke,die,f,Ends in -e -> mostly feminine.,Lücken,gap / blank,"Ergänzen Sie die Lücken.","Fill in the blanks.","Da ist eine Lücke.","There is a gap.","Füllen Sie die Lücken aus.","Fill in the gaps."
noun,Luxushotel,das,n,Compound noun takes the gender of the last word (das Hotel).,Luxushotels,luxury hotel,"Wir schlafen im Luxushotel.","We sleep in a luxury hotel.","Das Luxushotel ist teuer.","The luxury hotel is expensive.","Ein Aufenthalt im Luxushotel.","A stay in a luxury hotel."
noun,Miete,die,f,Ends in -e -> mostly feminine.,Mieten,rent,"Die Miete ist hoch.","The rent is high.","Ich bezahle die Miete.","I pay the rent.","Wie hoch ist die Miete?","How high is the rent?"
noun,Mikrowelle,die,f,Ends in -e -> mostly feminine.,Mikrowellen,microwave,"Das Essen ist in der Mikrowelle.","The food is in the microwave.","Benutzen Sie die Mikrowelle.","Use the microwave.","Die Mikrowelle ist neu.","The microwave is new."
noun,Mitte,die,f,Ends in -e -> mostly feminine.,Mitten,middle / center,"In der Mitte steht ein Tisch.","In the middle stands a table.","Die Stadtmitte.","The city center.","Das Bild ist in der Mitte.","The picture is in the middle."
noun,Möbel,das,n,Neutral by convention.,Möbel,furniture,"Ich kaufe neue Möbel.","I am buying new furniture.","Die Möbel sind modern.","The furniture is modern.","Wo sind die Möbel?","Where is the furniture?"
adj,modern,,,,,modern,"Das Haus ist sehr modern.","The house is very modern.","Ein modernes Büro.","A modern office.","Ich mag moderne Möbel.","I like modern furniture."
adj,neu,,,,,new,"Das Auto ist neu.","The car is new.","Hast du ein neues Handy?","Do you have a new mobile phone?","Das ist eine neue Wohnung.","That is a new apartment."
num,neun,,,,,nine,"Ich habe neun Äpfel.","I have nine apples.","Es ist neun Uhr.","It is nine o'clock.","Neunzehn oder neun?","Nineteen or nine?"
adv,oben,,,,,above / upstairs,"Er wohnt oben.","He lives upstairs.","Oben ist das Schlafzimmer.","Upstairs is the bedroom.","Das Bild hängt oben.","The picture hangs above."
noun,Parkbank,die,f,Compound noun takes the gender of the last word (die Bank).,Parkbänke,park bench,"Ich sitze auf der Parkbank.","I sit on the park bench.","Eine leere Parkbank.","An empty park bench.","Die Parkbank ist alt.","The park bench is old."
noun,Person,die,f,Ends in -on -> feminine.,Personen,person,"Das ist eine nette Person.","That is a nice person.","Wie viele Personen?","How many people?"
noun,Pinnwand,die,f,Compound noun takes the gender of the last word (die Wand).,Pinnwände,bulletin board,"Das Poster ist an der Pinnwand.","The poster is on the bulletin board.","Hängen Sie das Bild an die Pinnwand.","Hang the picture on the bulletin board.","Was ist an der Pinnwand?","What is on the bulletin board?"
noun,Plan,der,m,Masculine by convention.,Pläne,plan / map,"Der Plan ist fertig.","The plan is ready.","Wo ist der Stadtplan?","Where is the city map?","Wir haben einen Plan.","We have a plan."
adj,praktisch,,,,,practical,"Das ist sehr praktisch.","That is very practical.","Ein praktisches Möbelstück.","A practical piece of furniture.","Die Wohnung ist praktisch.","The apartment is practical."
adj,privat,,,,,private,"Das ist mein privates Zimmer.","That is my private room.","Privat oder beruflich?","Private or professional?","Ein privates Treffen.","A private meeting."
adv,rechts,,,,,right,"Gehen Sie rechts.","Go right.","Das Haus ist rechts.","The house is on the right.","Rechts und links.","Right and left."
noun,Reihenfolge,die,f,Compound noun takes the gender of the last word (die Folge).,Reihenfolgen,order / sequence,"Die richtige Reihenfolge.","The correct order.","Achten Sie auf die Reihenfolge.","Pay attention to the order.","Was ist die Reihenfolge?","What is the sequence?"
adj,ruhig,,,,,quiet,"Die Wohnung ist sehr ruhig.","The apartment is very quiet.","Er ist ein ruhiger Mensch.","He is a quiet person.","Es ist ruhig hier.","It is quiet here."
