pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
verb,abholen,,,,,to pick up,"Ich hole dich ab.","I will pick you up.","Wann holen Sie mich ab?","When are you picking me up?","Er holt das Paket ab.","He picks up the package."
noun,Akkusativ,der,m,Grammar terms are often masculine or neutral.,Akkusative,accusative case,"Das Verb braucht den Akkusativ.","The verb needs the accusative case.","Der Akkusativ von 'der' ist 'den'.","The accusative of 'der' is 'den'.","Schreiben Sie den Satz im Akkusativ.","Write the sentence in the accusative."
pron,alle,,,,,all / everyone,"Wir sind alle hier.","We are all here.","Alle Studenten lernen Deutsch.","All students are learning German.","Das ist für alle.","That is for everyone."
verb,anfangen,,,,,to begin / to start,"Wann fängt der Film an?","When does the movie start?","Wir fangen jetzt an.","We are starting now.","Ich fange mit der Arbeit an.","I am starting with work."
verb,anmachen,,,,,to turn on,"Machen Sie bitte das Licht an.","Please turn on the light.","Ich mache das Radio an.","I turn on the radio.","Kannst du den Computer anmachen?","Can you turn on the computer?"
verb,anrufen,,,,,to call (on the phone),"Ich rufe dich später an.","I will call you later.","Rufen Sie mich an!","Call me!","Er ruft seine Mutter an.","He is calling his mother."
verb,anziehen,,,,,to put on (clothes),"Ich ziehe eine Jacke an.","I put on a jacket.","Zieh dir etwas an.","Put something on.","Sie zieht das T-Shirt an.","She puts on the T-shirt."
noun,Arbeit,die,f,Ends in -eit -> mostly feminine.,Arbeiten,work / job,"Ich gehe zur Arbeit.","I go to work.","Die Arbeit ist schwer.","The work is hard.","Viel Spaß bei der Arbeit.","Have fun at work."
adj,arbeitslos,,,,,unemployed,"Er ist leider arbeitslos.","He is unfortunately unemployed.","Seit wann sind Sie arbeitslos?","Since when are you unemployed?","Viele Menschen sind arbeitslos.","Many people are unemployed."
verb,ausmachen,,,,,to turn off,"Ich mache den Computer aus.","I turn off the computer.","Bitte das Handy ausmachen.","Please turn off the mobile phone.","Er macht das Licht aus.","He turns off the light."
verb,aussteigen,,,,,to get off / to exit (a vehicle),"Ich steige am Bahnhof aus.","I get off at the train station.","Wo steigen Sie aus?","Where do you get off?","Wir müssen hier aussteigen.","We have to get off here."
noun,Autoindustrie,die,f,Compound noun takes the gender of the last word (die Industrie).,Autoindustrien,car industry,"Er arbeitet in der Autoindustrie.","He works in the car industry.","Die Autoindustrie ist wichtig.","The car industry is important.","Ein Job in der Autoindustrie.","A job in the car industry."
verb,bearbeiten,,,,,to edit / to process,"Ich bearbeite den Text.","I edit the text.","Bitte bearbeiten Sie die Datei.","Please process the file.","Wir bearbeiten das Foto.","We edit the photo."
verb,bedeuten,,,,,to mean,"Was bedeutet das Wort?","What does the word mean?","Das bedeutet nichts.","That means nothing.","Ich weiß nicht, was das bedeutet.","I don't know what that means."
prep,bei,,,,,at / with / near,"Ich arbeite bei BMW.","I work at BMW.","Er wohnt bei seinen Eltern.","He lives with his parents.","Ist der Bahnhof bei dir?","Is the train station near you?"
verb,benutzen,,,,,to use,"Benutzen Sie ein Wörterbuch?","Do you use a dictionary?","Ich benutze mein Handy oft.","I use my phone often.","Darf ich das benutzen?","May I use that?"
noun,Beruf,der,m,Masculine by convention.,Berufe,profession / job,"Was sind Sie von Beruf?","What is your profession?","Mein Beruf ist Lehrer.","My profession is teacher.","Ein interessanter Beruf.","An interesting profession."
noun,Bio-Essen,das,n,Compound noun takes the gender of the last word (das Essen).,-,organic food,"Ich kaufe nur Bio-Essen.","I only buy organic food.","Bio-Essen ist gesund.","Organic food is healthy.","Mögen Sie Bio-Essen?","Do you like organic food?"
adv,bitte,,,,,please / you're welcome,"Einen Kaffee, bitte.","A coffee, please.","Wie bitte?","Pardon?","Bitte sehr!","You're very welcome!"
noun,Büro,das,n,Foreign loanwords ending in -o are often neutral.,Büros,office,"Ich bin im Büro.","I am in the office.","Das Büro ist groß.","The office is big.","Wir gehen ins Büro.","We are going to the office."
noun,Bürste,die,f,Ends in -e -> mostly feminine.,Bürsten,brush,"Ich brauche eine Bürste.","I need a brush.","Die Bürste ist im Bad.","The brush is in the bathroom.","Wo ist meine Bürste?","Where is my brush?"
noun,Chat,der,m,English loanword.,Chats,chat,"Wir schreiben im Chat.","We write in the chat.","Der Chat ist online.","The chat is online.","Ein kurzer Chat.","A short chat."
