pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Familie,die,f,die Familie — ends in -ie.,Familien,family,"Das ist meine Familie.","This is my family.","Meine Familie ist groß.","My family is big."
noun,Mutter,die,f,die Mutter — biological female.,Mütter,mother,"Meine Mutter heißt Anna.","My mother is named Anna.","Das ist meine Mutter.","That is my mother."
noun,Vater,der,m,der Vater — biological male.,Väter,father,"Das ist mein Vater.","That is my father.","Mein Vater ist 50 Jahre alt.","My father is 50 years old."
noun,Eltern,die,pl,die Eltern — always plural.,-,parents,"Das sind meine Eltern.","These are my parents.","Meine Eltern leben in Berlin.","My parents live in Berlin."
noun,Tochter,die,f,die Tochter — biological female.,Töchter,daughter,"Sie ist meine Tochter.","She is my daughter.","Haben Sie eine Tochter?","Do you have a daughter?"
noun,Sohn,der,m,der Sohn — biological male.,Söhne,son,"Das ist mein Sohn.","That is my son.","Mein Sohn lernt Deutsch.","My son is learning German."
noun,Schwester,die,f,die Schwester — ends in -er but is feminine (exception).,Schwestern,sister,"Meine Schwester ist Studentin.","My sister is a student.","Hast du eine Schwester?","Do you have a sister?"
noun,Bruder,der,m,der Bruder — biological male.,Brüder,brother,"Das ist mein Bruder.","That is my brother.","Mein Bruder arbeitet als Arzt.","My brother works as a doctor."
noun,Geschwister,die,pl,die Geschwister — always plural.,-,siblings,"Hast du Geschwister?","Do you have siblings?","Wir sind drei Geschwister.","We are three siblings."
noun,Oma,die,f,die Oma — informal for grandmother.,Omas,grandma,"Meine Oma heißt Maria.","My grandma's name is Maria.","Das ist das Haus von meiner Oma.","That is my grandma's house."
noun,Großmutter,die,f,die Großmutter — formal for grandmother.,Großmütter,grandmother,"Meine Großmutter ist 80.","My grandmother is 80.","Die Großmutter liest.","The grandmother is reading."
noun,Opa,der,m,der Opa — informal for grandfather.,Opas,grandpa,"Mein Opa ist sehr nett.","My grandpa is very nice.","Das ist mein Opa.","That is my grandpa."
noun,Großvater,der,m,der Großvater — formal for grandfather.,Großväter,grandfather,"Mein Großvater wohnt in Köln.","My grandfather lives in Cologne.","Der Großvater trinkt Tee.","The grandfather drinks tea."
noun,Großeltern,die,pl,die Großeltern — always plural.,-,grandparents,"Das sind meine Großeltern.","These are my grandparents.","Meine Großeltern sind alt.","My grandparents are old."
noun,Enkelin,die,f,die Enkelin — ends in -in for female.,Enkelinnen,granddaughter,"Sie ist meine Enkelin.","She is my granddaughter.","Die Enkelin spielt.","The granddaughter is playing."
noun,Enkel,der,m,der Enkel.,Enkel,grandson,"Das ist mein Enkel.","That is my grandson.","Der Enkel ist fünf Jahre alt.","The grandson is five years old."
