pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Regel,die,f,"die Regel — ends in -el (usually masc, but this is an exception!).",Regeln,rule,Wir müssen die Regeln beachten.,We must observe the rules.,Es gibt viele Regeln.,There are many rules.
noun,Schild,das,n,das Schild.,Schilder,sign,"Was steht auf dem Schild?","What does it say on the sign?","Das Schild ist blau.","The sign is blue."
noun,Verkehr,der,m,der Verkehr.,-,traffic,"Der Verkehr ist heute schlimm.","The traffic is bad today.","Viel Verkehr auf der Straße.","A lot of traffic on the street."
noun,Ampel,die,f,die Ampel.,Ampeln,traffic light,"Die Ampel ist rot.","The traffic light is red.","Halten Sie an der Ampel!","Stop at the traffic light!"
noun,Fußgänger,der,m,der Fußgänger.,Fußgänger,pedestrian,"Fußgänger haben hier Vorfahrt.","Pedestrians have the right of way here.","Der Fußgänger wartet.","The pedestrian is waiting."
noun,Fahrrad,das,n,das Fahrrad.,Fahrräder,bicycle,"Ich fahre mit dem Fahrrad.","I am riding a bicycle.","Fahrräder sind hier verboten.","Bicycles are forbidden here."
noun,Motorroller,der,m,der Motorroller.,Motorroller,scooter / moped,"Er fährt einen Motorroller.","He rides a scooter.","Der Motorroller ist schnell.","The scooter is fast."
noun,Helm,der,m,der Helm.,Helme,helmet,"Sie müssen einen Helm tragen!","You must wear a helmet!","Wo ist mein Fahrradhelm?","Where is my bicycle helmet?"
noun,Fahrradhelm,der,m,der Fahrradhelm.,Fahrradhelme,bicycle helmet,"Ein Fahrradhelm ist wichtig.","A bicycle helmet is important.","Trägst du einen Fahrradhelm?","Do you wear a bicycle helmet?"
noun,Hupe,die,f,die Hupe.,Hupen,horn (vehicle),"Die Hupe ist sehr laut.","The horn is very loud.","Er benutzt die Hupe.","He uses the horn."
noun,Bremse,die,f,die Bremse.,Bremsen,brake,"Die Bremse funktioniert nicht!","The brake does not work!","Tritt auf die Bremse!","Step on the brake!"
noun,Wiese,die,f,die Wiese.,Wiesen,meadow / lawn,"Wir sitzen auf der Wiese.","We sit on the lawn.","Betreten der Wiese verboten!","Keep off the grass! (Entering meadow forbidden!)"
noun,Park,der,m,der Park.,Parks,park,"Im Park darf man grillen.","In the park you are allowed to grill.","Wir gehen im Park spazieren.","We are walking in the park."
noun,Hund,der,m,der Hund.,Hunde,dog,"Der Hund muss an die Leine.","The dog must be on a leash.","Hunde sind hier erlaubt.","Dogs are allowed here."
noun,Leine,die,f,die Leine.,Leinen,leash,"Nehmen Sie den Hund an die Leine!","Put the dog on the leash!","Die Leine ist zu kurz.","The leash is too short."
noun,Müll,der,m,der Müll (no plural).,-,trash / garbage,"Werfen Sie den Müll in den Eimer.","Throw the trash in the bin.","Der Müll liegt auf dem Boden.","The trash is lying on the ground."
noun,Abfall,der,m,der Abfall.,Abfälle,trash / waste,"Bitte keinen Abfall hierher werfen.","Please no trash thrown here.","Der Abfalleimer ist voll.","The trash can is full."
noun,Picknick,das,n,das Picknick.,Picknicks,picnic,"Wir machen ein Picknick auf der Wiese.","We are having a picnic on the lawn.","Das Picknick war schön.","The picnic was nice."
noun,Grill,der,m,der Grill.,Grills,grill / barbecue,"Der Grill ist noch heiß.","The grill is still hot.","Wir brauchen Fleisch für den Grill.","We need meat for the grill."
noun,Gefahr,die,f,die Gefahr.,Gefahren,danger,"Achtung, Gefahr!","Attention, danger!","Das ist eine große Gefahr.","That is a big danger."
noun,Vorsicht,die,f,die Vorsicht.,-,caution / care,"Vorsicht, ein Auto!","Caution, a car!","Vorsicht an der Ampel!","Careful at the traffic light!"
noun,Strafe,die,f,die Strafe.,Strafen,punishment / fine,"Das kostet 50 Euro Strafe.","That costs a 50 euro fine.","Sie müssen eine Strafe zahlen.","You must pay a fine."
noun,Polizist,der,m,der Polizist (weak noun).,Polizisten,police officer (male),"Der Polizist kontrolliert die Autos.","The police officer checks the cars.","Fragen Sie den Polizisten.","Ask the police officer."
noun,Polizistin,die,f,die Polizistin.,Polizistinnen,police officer (female),"Die Polizistin gibt ihm eine Strafe.","The female police officer gives him a fine.","Die Polizistin ist freundlich.","The police officer is friendly."
verb,parken,-,-,-,-,to park,"Hier darf man nicht parken.","You may not park here.","Wo parkst du dein Auto?","Where do you park your car?"
verb,hupen,-,-,-,-,to honk,"Bitte hier nicht hupen!","Please do not honk here!","Das Auto hupt.","The car honks."
verb,bremsen,-,-,-,-,to brake,"Du musst bremsen!","You must brake!","Er bremst sehr spät.","He brakes very late."
verb,aufpassen,-,-,-,-,to pay attention / to watch out (separable),"Pass auf!","Watch out!","Du musst im Verkehr aufpassen.","You must pay attention in traffic."
verb,schieben,-,-,-,-,to push,"Man muss das Fahrrad schieben.","You must push the bicycle.","Schieb das Fahrrad!","Push the bike!"
verb,tragen,-,-,-,-,to wear / to carry,"Sie müssen einen Helm tragen.","You must wear a helmet.","Er trägt eine Brille.","He wears glasses."
verb,grillen,-,-,-,-,to grill / to barbecue,"Dürfen wir hier grillen?","Are we allowed to grill here?","Im Park grillen ist verboten.","Grilling in the park is forbidden."
verb,baden,-,-,-,-,to bathe / to swim,"Baden ist hier verboten.","Bathing is forbidden here.","Wir baden im See.","We swim in the lake."
