pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Vergangenheit,die,f,die Vergangenheit — feminine.,—,past / past tense,"In der Vergangenheit war das anders.","In the past it was different.",,,
noun,Erfahrung,die,f,die Erfahrung — feminine.,Erfahrungen,experience,"Ich habe viel Erfahrung.","I have a lot of experience.",,,
noun,Ausbildung,die,f,die Ausbildung — feminine.,Ausbildungen,training / education,"Ich mache eine Ausbildung.","I am doing an apprenticeship.",,,
noun,Praktikum,das,n,das Praktikum — neuter.,Praktika,internship,"Ich mache ein Praktikum.","I am doing an internship.",,,
noun,Stelle,die,f,die Stelle — feminine.,Stellen,position / job,"Ich suche eine Stelle.","I am looking for a job.",,,
verb,haben,,,—,,to have (Perfekt auxiliary),"Ich habe gegessen.","I have eaten.","Hast du geschlafen?","Did you sleep?"
verb,sein,,,—,,to be (Perfekt auxiliary),"Ich bin gegangen.","I have gone.","Wo bist du gewesen?","Where have you been?"
verb,machen,,,—,,to do / make,"Ich habe Praktikum gemacht.","I did an internship.","Was hast du gemacht?","What did you do?"
verb,gehen,,,—,,to go (Perfekt: gegangen),"Ich bin in die Schule gegangen.","I went to school.","Wohin bist du gegangen?","Where did you go?"
verb,lernen,,,—,,to learn (Perfekt: gelernt),"Ich habe Deutsch gelernt.","I learned German.",,,
verb,arbeiten,,,—,,to work (Perfekt: gearbeitet),"Ich habe dort gearbeitet.","I worked there.",,,
verb,wohnen,,,—,,to live (Perfekt: gewohnt),"Ich habe in Berlin gewohnt.","I lived in Berlin.",,,
verb,studieren,,,—,,to study (Perfekt: studiert),"Ich habe Medizin studiert.","I studied medicine.",,,
adj,damals,,,—,,back then / at that time,"Damals war ich jung.","Back then I was young.",,,
adj,früher,,,—,,earlier / formerly,"Früher habe ich in Hamburg gewohnt.","I used to live in Hamburg.",,,
