pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Name,der,m,der Name — masculine (weak noun, -n in all cases except nominative).,Namen,name,"Mein Name ist Anna.","My name is Anna.","Wie ist Ihr Name?","What is your name?"
noun,Tag,der,m,der Tag — ends in -g.,Tage,day,"Guten Tag!","Good day! / Hello!","Wir haben zwei Tage Zeit.","We have two days."
noun,Morgen,der,m,der Morgen — refers to time of day.,Morgen,morning,"Guten Morgen!","Good morning!","Jeden Morgen trinke ich Kaffee.","Every morning I drink coffee."
noun,Abend,der,m,der Abend — refers to time of day.,Abende,evening,"Guten Abend!","Good evening!","Am Abend lese ich.","In the evening I read."
noun,Nacht,die,f,die Nacht — many times of day are masculine, but Nacht is feminine.,Nächte,night,"Gute Nacht!","Good night!","Die Nacht ist ruhig.","The night is quiet."
noun,Frau,die,f,die Frau — biological gender.,Frauen,woman / Mrs.,"Guten Tag, Frau Schmidt.","Hello, Mrs. Schmidt.","Das ist eine Frau.","That is a woman."
noun,Herr,der,m,der Herr — biological gender (weak noun).,Herren,man / Mr.,"Guten Abend, Herr Müller.","Good evening, Mr. Müller.","Er ist ein netter Herr.","He is a nice gentleman."
noun,Land,das,n,das Land.,Länder,country,"Deutschland ist ein Land.","Germany is a country.","Aus welchem Land kommst du?","Which country do you come from?"
noun,Musik,die,f,die Musik — ends in -ik.,-,music,"Woher kommt die Musik?","Where does the music come from?","Ich höre gern Musik.","I like listening to music."
noun,Alphabet,das,n,das Alphabet.,Alphabete,alphabet,"Hören Sie das Alphabet.","Listen to the alphabet.","Das deutsche Alphabet hat 26 Buchstaben.","The German alphabet has 26 letters."
noun,Entschuldigung,die,f,die Entschuldigung — ends in -ung.,Entschuldigungen,excuse me / apology,"Entschuldigung, wie heißen Sie?","Excuse me, what is your name?","Eine Entschuldigung ist wichtig.","An apology is important."
noun,Deutschland,das,n,das Deutschland — mostly used without an article.,-,Germany,"Ich komme aus Deutschland.","I come from Germany.","Deutschland ist groß.","Germany is big."
noun,Österreich,das,n,das Österreich — mostly used without an article.,-,Austria,"Er kommt aus Österreich.","He comes from Austria.","Wien liegt in Österreich.","Vienna is in Austria."
noun,Schweiz,die,f,die Schweiz — always takes the feminine article.,-,Switzerland,"Sie kommt aus der Schweiz.","She comes from Switzerland.","Die Schweiz ist schön.","Switzerland is beautiful."
noun,Spanien,das,n,das Spanien — mostly used without an article.,-,Spain,"Wir kommen aus Spanien.","We come from Spain.","Madrid ist in Spanien.","Madrid is in Spain."
noun,Mexiko,das,n,das Mexiko — mostly used without an article.,-,Mexico,"Paco kommt aus Mexiko.","Paco comes from Mexico.","Ist Mexiko heiß?","Is Mexico hot?"
noun,Türkei,die,f,die Türkei — always takes the feminine article.,-,Turkey,"Ich komme aus der Türkei.","I come from Turkey.","Die Türkei ist ein schönes Land.","Turkey is a beautiful country."
noun,Iran,der,m,der Iran — always takes the masculine article.,-,Iran,"Er kommt aus dem Iran.","He comes from Iran.","Der Iran ist groß.","Iran is big."
noun,Frankreich,das,n,das Frankreich — mostly used without an article.,-,France,"Kommst du aus Frankreich?","Do you come from France?","Paris ist in Frankreich.","Paris is in France."
noun,Wort,das,n,das Wort.,Wörter,word,"Wie heißt das Wort?","What is the word?","Ich lerne neue Wörter.","I am learning new words."
verb,heißen,-,-,-,-,to be called,"Ich heiße Nicole.","My name is Nicole.","Wie heißt du?","What is your name?"
verb,sein,-,-,-,-,to be,"Ich bin Paco.","I am Paco.","Wer bist du?","Who are you?"
verb,kommen,-,-,-,-,to come,"Woher kommst du?","Where do you come from?","Ich komme aus Spanien.","I come from Spain."
verb,gehen,-,-,-,-,to go / to do (well-being),"Wie geht es Ihnen?","How are you? (formal)","Es geht mir gut.","I am doing well."
verb,buchstabieren,-,-,-,-,to spell,"Ich buchstabiere meinen Namen.","I am spelling my name.","Bitte buchstabieren Sie das.","Please spell that."
verb,hören,-,-,-,-,to listen / to hear,"Hören Sie das Lied.","Listen to the song.","Ich höre dich.","I hear you."
verb,sprechen,-,-,-,-,to speak,"Sprechen Sie nach.","Repeat after (me).","Wir sprechen Deutsch.","We speak German."
verb,lesen,-,-,-,-,to read,"Lesen Sie den Text.","Read the text.","Ich lese ein Buch.","I am reading a book."
verb,schreiben,-,-,-,-,to write,"Schreiben Sie.","Write.","Ich schreibe meinen Namen.","I write my name."
verb,ankreuzen,-,-,-,-,to tick / to check (a box),"Kreuzen Sie an.","Tick the box.","Ich kreuze die Antwort an.","I check the answer."
verb,zuordnen,-,-,-,-,to assign / to match,"Ordnen Sie zu.","Match the items.","Ich ordne die Bilder zu.","I am matching the pictures."
verb,fragen,-,-,-,-,to ask,"Ich frage dich.","I ask you.","Fragen und antworten Sie.","Ask and answer."
verb,antworten,-,-,-,-,to answer,"Bitte antworten Sie.","Please answer.","Er antwortet schnell.","He answers quickly."
verb,glauben,-,-,-,-,to believe / to think,"Ich glaube, das ist Paco.","I think that is Paco.","Glaubst du das?","Do you believe that?"
verb,lernen,-,-,-,-,to learn,"Wir lernen Deutsch.","We are learning German.","Lernst du Vokabeln?","Are you learning vocabulary?"
pronoun,ich,-,-,-,-,I,"Ich bin Anna.","I am Anna.","Ich komme aus Berlin.","I come from Berlin."
pronoun,du,-,-,-,-,you (informal singular),"Wer bist du?","Who are you?","Woher kommst du?","Where do you come from?"
pronoun,Sie,-,-,-,-,you (formal),"Wie heißen Sie?","What is your name?","Woher kommen Sie?","Where do you come from?"
pronoun,er,-,-,-,-,he,"Er heißt Paco.","He is Paco.","Er kommt aus Mexiko.","He comes from Mexico."
pronoun,sie,-,-,-,-,she,"Sie heißt Nicole.","She is Nicole.","Sie ist nett.","She is nice."
pronoun,es,-,-,-,-,it,"Wie geht es dir?","How is it going with you?","Es ist gut.","It is good."
pronoun,wir,-,-,-,-,we,"Wir lernen Deutsch.","We learn German.","Wir sind hier.","We are here."
pronoun,ihr,-,-,-,-,you (informal plural),"Wer seid ihr?","Who are you guys?","Woher kommt ihr?","Where do you all come from?"
pronoun,Ihnen,-,-,-,-,you (formal dative),"Wie geht es Ihnen?","How are you?","Ich helfe Ihnen.","I help you."
pronoun,dir,-,-,-,-,you (informal dative),"Wie geht es dir?","How are you?","Ich sage es dir.","I am telling you."
adverb,wie,-,-,-,-,how,"Wie geht's?","How are you?","Wie heißt du?","What is your name?"
adverb,woher,-,-,-,-,where from,"Woher kommst du?","Where do you come from?","Woher kommen Sie?","Where do you come from?"
pronoun,wer,-,-,-,-,who,"Wer bist du?","Who are you?","Wer ist das?","Who is that?"
adverb,auch,-,-,-,-,also / too,"Mir geht es auch gut.","I am also fine.","Ich komme auch aus Spanien.","I come from Spain too."
adverb,sehr,-,-,-,-,very,"Sehr gut, danke.","Very good, thank you.","Das ist sehr schön.","That is very beautiful."
adjective,gut,-,-,-,-,good / well,"Danke, gut.","Thanks, well.","Das ist ein gutes Lied.","That is a good song."
particle,danke,-,-,-,-,thanks / thank you,"Danke, gut.","Thanks, I'm fine.","Nein, danke.","No, thank you."
particle,bitte,-,-,-,-,please / pardon,"Wie bitte?","Pardon?","Sprechen Sie bitte.","Please speak."
particle,ja,-,-,-,-,yes,"Ja, ich bin Nicole.","Yes, I am Nicole.","Ja, genau.","Yes, exactly."
particle,nein,-,-,-,-,no,"Nein, ich bin Anna.","No, I am Anna.","Nein, danke.","No, thank you."
adverb,noch,-,-,-,-,still / yet / else,"Noch einmal, bitte.","Once more, please.","Wer noch?","Who else?"
adverb,einmal,-,-,-,-,once,"Noch einmal, bitte.","Once more, please.","Ich war einmal dort.","I was there once."
preposition,aus,-,-,-,-,from,"Ich komme aus Spanien.","I come from Spain.","Er ist aus Deutschland.","He is from Germany."
conjunction,und,-,-,-,-,and,"Und wer bist du?","And who are you?","Anna und Paco lernen Deutsch.","Anna and Paco learn German."
particle,hallo,-,-,-,-,hello,"Hallo! Ich bin Paco.","Hello! I am Paco.","Hallo Anna!","Hello Anna!"
particle,tschüs,-,-,-,-,bye,"Tschüs! Bis bald.","Bye! See you soon.","Tschüs Anna!","Bye Anna!"
particle,ciao,-,-,-,-,bye (informal),"Ciao!","Bye!","Ciao, bis morgen.","Bye, until tomorrow."
particle,servus,-,-,-,-,hello / bye (regional),"Servus!","Hello! / Bye! (Bavarian/Austrian)","Servus, wie geht's?","Hello, how are you?"
particle,moin,-,-,-,-,hello (regional),"Moin, moin!","Hello! (Northern German)","Moin, ich bin Jens.","Hello, I am Jens."
particle,grüezi,-,-,-,-,hello (regional),"Grüezi!","Hello! (Swiss German)","Grüezi, Herr Meier.","Hello, Mr. Meier."
noun,Sitzplan,der,m,der Sitzplan — compound word ending in -plan.,Sitzpläne,seating chart,"Zeichnen Sie einen Sitzplan.","Draw a seating plan.","Der Sitzplan ist hier.","The seating plan is here."
noun,Kettenspiel,das,n,das Kettenspiel — compound word ending in -spiel.,Kettenspiele,chain game,"Wir spielen ein Kettenspiel.","We are playing a chain game.","Das Kettenspiel ist lustig.","The chain game is fun."
noun,Gespräch,das,n,das Gespräch — starts with Ge-.,Gespräche,conversation / dialogue,"Hören Sie das Gespräch.","Listen to the conversation.","Das Gespräch ist interessant.","The conversation is interesting."
noun,Lied,das,n,das Lied.,Lieder,song,"Wie heißt das Lied?","What is the name of the song?","Das Lied ist sehr gut.","The song is very good."
noun,Bildlexikon,das,n,das Bildlexikon.,Bildlexika,visual dictionary,"Sehen Sie das Bildlexikon an.","Look at the visual dictionary.","Das Wort steht im Bildlexikon.","The word is in the visual dictionary."
