pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Termin,der,m,der Termin.,Termine,appointment,"Ich brauche einen Termin.","I need an appointment.","Der Termin ist um 15 Uhr.","The appointment is at 3 PM."
noun,Kalender,der,m,der Kalender — ends in -er.,Kalender,calendar,"Ich schaue in meinen Kalender.","I am looking in my calendar.","Tragen Sie das in den Kalender ein.","Enter that in the calendar."
verb,vereinbaren,-,-,-,-,to arrange / to agree upon,"Wir müssen einen Termin vereinbaren.","We have to arrange an appointment.","Einen Termin vereinbaren.","To make an appointment."
verb,verschieben,-,-,-,-,to postpone / to move (an appointment),"Können wir den Termin verschieben?","Can we postpone the appointment?","Ich muss den Termin auf Dienstag verschieben.","I have to move the appointment to Tuesday."
verb,absagen,-,-,-,-,to cancel (separable),"Ich muss den Termin leider absagen.","I unfortunately have to cancel the appointment.","Sagen Sie den Termin ab?","Are you canceling the appointment?"
verb,passen,-,-,-,-,to suit / to fit,"Passt es Ihnen am Dienstag?","Does Tuesday suit you?","Nein, 10 Uhr passt mir nicht.","No, 10 o'clock doesn't suit me."
verb,sollen,-,-,-,-,should / to be supposed to,"Was soll ich machen?","What should I do?","Soll ich dir helfen?","Should I help you?"
noun,Hilfe,die,f,die Hilfe — ends in -e.,Hilfen,help / assistance,"Brauchen Sie Hilfe?","Do you need help?","Danke für Ihre Hilfe.","Thanks for your help."
verb,helfen,-,-,-,-,to help (takes Dativ),"Kann ich Ihnen helfen?","Can I help you?","Ich helfe dir.","I am helping you."
noun,Rezeption,die,f,die Rezeption — ends in -tion.,Rezeptionen,reception / front desk,"Rufen Sie die Rezeption an.","Call the reception.","Der Schlüssel ist an der Rezeption.","The key is at the front desk."
noun,Handtuch,das,n,das Handtuch — compound with Tuch.,Handtücher,towel,"Ich brauche ein neues Handtuch.","I need a new towel.","Das Handtuch ist schmutzig.","The towel is dirty."
noun,Badetuch,das,n,das Badetuch — compound with Tuch.,Badetücher,bath towel,"Bringen Sie mir ein Badetuch?","Will you bring me a bath towel?","Das Badetuch ist weich.","The bath towel is soft."
noun,Seife,die,f,die Seife — ends in -e.,Seifen,soap,"Wir haben keine Seife mehr im Bad.","We have no more soap in the bathroom.","Hier ist ein Stück Seife.","Here is a bar of soap."
noun,Föhn,der,m,der Föhn.,Föhne,hairdryer,"Der Föhn funktioniert nicht.","The hairdryer doesn't work.","Haben Sie einen Föhn?","Do you have a hairdryer?"
noun,Wecker,der,m,der Wecker — ends in -er.,Wecker,alarm clock,"Der Wecker klingelt um 6 Uhr.","The alarm rings at 6 o'clock.","Ich brauche keinen Wecker.","I don't need an alarm clock."
noun,Gast,der,m,der Gast.,Gäste,guest,"Der Gast hat ein Problem.","The guest has a problem.","Wir haben heute Gäste.","We have guests today."
adjective,kaputt,-,-,-,-,broken,"Der Fernseher ist kaputt.","The TV is broken.","Mein Auto ist kaputt.","My car is broken."
verb,reparieren,-,-,-,-,to repair,"Können Sie die Heizung reparieren?","Can you repair the heating?","Der Techniker repariert das WLAN.","The technician repairs the WiFi."
verb,schicken,-,-,-,-,to send,"Soll ich einen Techniker schicken?","Should I send a technician?","Ich schicke Ihnen eine E-Mail.","I will send you an email."
verb,bringen,-,-,-,-,to bring,"Können Sie mir ein Handtuch bringen?","Can you bring me a towel?","Ich bringe dir einen Kaffee.","I will bring you a coffee."
noun,Heizung,die,f,die Heizung — ends in -ung.,Heizungen,heating,"Die Heizung ist kaputt, es ist kalt!","The heating is broken, it is cold!","Machen Sie die Heizung an.","Turn on the heating."
noun,Klimaanlage,die,f,die Klimaanlage — ends in -e.,Klimaanlagen,air conditioning,"Die Klimaanlage ist zu laut.","The air conditioning is too loud.","Machen Sie die Klimaanlage aus.","Turn off the air conditioning."
noun,Internet,das,n,das Internet.,-,internet,"Das Internet funktioniert nicht.","The internet is not working.","Wir haben kein Internet.","We have no internet."
noun,WLAN,das,n,das WLAN.,-,WiFi / wireless internet,"Wie ist das WLAN-Passwort?","What is the WiFi password?","Das WLAN ist sehr langsam.","The WiFi is very slow."
verb,funktionieren,-,-,-,-,to function / to work,"Das Licht funktioniert nicht.","The light is not working.","Jetzt funktioniert es wieder.","Now it works again."
adverb,sofort,-,-,-,-,immediately,"Ich schicke sofort jemanden.","I will send someone immediately.","Kommen Sie sofort!","Come immediately!"
adverb,gleich,-,-,-,-,right away / shortly,"Der Techniker kommt gleich.","The technician is coming right away.","Ich bin gleich da.","I will be right there."
noun,Techniker,der,m,der Techniker — ends in -er.,Techniker,technician,"Der Techniker repariert den Fernseher.","The technician repairs the TV.","Wir rufen den Techniker.","We call the technician."
noun,Monteur,der,m,der Monteur.,Monteure,mechanic / fitter,"Der Monteur kommt um 10 Uhr.","The mechanic comes at 10 o'clock.","Ein Monteur für die Heizung.","A mechanic for the heating."
noun,Problem,das,n,das Problem.,Probleme,problem,"Wir haben ein Problem im Zimmer.","We have a problem in the room.","Das ist kein Problem.","That is no problem."
preposition,ab,-,-,-,-,from (starting point in the future),"Ab morgen habe ich Urlaub.","From tomorrow on I have vacation.","Der Kurs beginnt ab Montag.","The course begins starting Monday."
preposition,seit,-,-,-,-,"since / for (starting in past, still ongoing)",Ich lerne seit einem Jahr Deutsch.,I have been learning German for a year.,Seit wann wohnst du hier?,Since when have you lived here?
adjective,pünktlich,-,-,-,-,punctual / on time,"Bitte seien Sie pünktlich.","Please be on time.","Der Zug ist pünktlich.","The train is on time."
adjective,spät,-,-,-,-,late,"Ich komme leider 10 Minuten zu spät.","I am unfortunately 10 minutes late.","Es ist schon spät.","It is already late."
noun,Besprechung,die,f,die Besprechung — ends in -ung.,Besprechungen,meeting,"Die Besprechung ist um 9 Uhr.","The meeting is at 9 o'clock.","Ich bin in einer Besprechung.","I am in a meeting."
noun,Sitzung,die,f,die Sitzung — ends in -ung.,Sitzungen,session / meeting,"Die Sitzung dauert zwei Stunden.","The session lasts two hours.","Er ist noch in der Sitzung.","He is still in the meeting."
adjective,dringend,-,-,-,-,urgent,"Es ist sehr dringend!","It is very urgent!","Ich brauche dringend einen Termin.","I urgently need an appointment."
adjective,wichtig,-,-,-,-,important,"Der Termin ist wichtig.","The appointment is important.","Das ist nicht so wichtig.","That is not so important."
noun,Zahnarzt,der,m,der Zahnarzt.,Zahnärzte,dentist,"Ich muss zum Zahnarzt.","I have to go to the dentist.","Der Zahnarzt hat heute geschlossen.","The dentist is closed today."
noun,Arzt,der,m,der Arzt.,Ärzte,doctor (physician),"Rufen Sie einen Arzt!","Call a doctor!","Ich habe einen Termin beim Arzt.","I have an appointment with the doctor."
noun,Praxis,die,f,die Praxis.,Praxen,practice (doctor's/lawyer's),"Die Praxis ist ab 8 Uhr geöffnet.","The practice is open from 8 AM.","Ich rufe in der Praxis an.","I am calling the practice."
noun,Friseur,der,m,der Friseur.,Friseure,hairdresser,"Ich habe einen Termin beim Friseur.","I have an appointment at the hairdresser.","Der Friseur schneidet die Haare.","The hairdresser cuts the hair."
noun,Anruf,der,m,der Anruf.,Anrufe,phone call,"Danke für Ihren Anruf.","Thank you for your phone call.","Ich erwarte einen Anruf.","I am expecting a phone call."
verb,zurückrufen,-,-,-,-,to call back (separable),"Können Sie mich zurückrufen?","Can you call me back?","Ich rufe Sie später zurück.","I will call you back later."
noun,Nachricht,die,f,die Nachricht.,Nachrichten,message,"Hinterlassen Sie eine Nachricht.","Leave a message.","Ich habe Ihre Nachricht gelesen.","I read your message."
noun,Minute,die,f,die Minute — ends in -e.,Minuten,minute,"Ich komme in 5 Minuten.","I am coming in 5 minutes.","Warten Sie eine Minute.","Wait a minute."
noun,Stunde,die,f,die Stunde — ends in -e.,Stunden,hour,"Der Termin dauert eine Stunde.","The appointment takes an hour.","Ich lerne seit zwei Stunden.","I have been studying for two hours."
noun,Tag,der,m,der Tag.,Tage,day,"Ich arbeite jeden Tag.","I work every day.","Seit einem Tag.","For one day."
noun,Woche,die,f,die Woche — ends in -e.,Wochen,week,"Seit einer Woche.","For one week.","Wir sehen uns nächste Woche.","We'll see each other next week."
noun,Monat,der,m,der Monat.,Monate,month,"Seit einem Monat.","For one month.","Nächsten Monat fahre ich nach Berlin.","Next month I travel to Berlin."
noun,Jahr,das,n,das Jahr.,Jahre,year,"Seit einem Jahr.","For one year.","Ein Jahr hat 365 Tage.","A year has 365 days."
noun,Datum,das,n,das Datum.,Daten,date,"Was ist das heutige Datum?","What is today's date?","Wir brauchen ein neues Datum.","We need a new date."
adverb,übermorgen,-,-,-,-,the day after tomorrow,"Übermorgen habe ich frei.","The day after tomorrow I am free.","Der Termin ist übermorgen.","The appointment is the day after tomorrow."
adverb,gestern,-,-,-,-,yesterday,"Gestern war ich krank.","Yesterday I was sick.","Gestern hatte ich keine Zeit.","Yesterday I had no time."
noun,Fernseher,der,m,der Fernseher — ends in -er.,Fernseher,television (device),"Der Fernseher im Zimmer ist kaputt.","The TV in the room is broken.","Wir haben einen großen Fernseher.","We have a big TV."
noun,Licht,das,n,das Licht.,Lichter,light,"Das Licht funktioniert nicht.","The light is not working.","Machen Sie bitte das Licht an.","Please turn on the light."
