pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Wunsch,der,m,der Wunsch.,Wünsche,wish,"Ich habe einen Wunsch.","I have a wish.","Was ist dein größter Wunsch?","What is your biggest wish?"
noun,Plan,der,m,der Plan.,Pläne,plan,"Was sind deine Pläne für die Zukunft?","What are your plans for the future?","Der Plan ist sehr gut.","The plan is very good."
noun,Ausbildung,die,f,die Ausbildung — ends in -ung.,Ausbildungen,vocational training / apprenticeship,"Ich mache eine Ausbildung zum Mechaniker.","I am doing an apprenticeship as a mechanic.","Die Ausbildung dauert drei Jahre.","The training takes three years."
noun,Praktikum,das,n,das Praktikum.,Praktika,internship,"Er macht ein Praktikum im Krankenhaus.","He is doing an internship at the hospital.","Das Praktikum ist unbezahlt.","The internship is unpaid."
noun,Schule,die,f,die Schule — ends in -e.,Schulen,school,"Ich gehe noch zur Schule.","I still go to school.","Die Schule beginnt um acht Uhr.","School begins at 8 AM."
noun,Abitur,das,n,das Abitur.,Abiture,high school diploma (qualifying for university),"Ich mache nächstes Jahr mein Abitur.","I am doing my Abitur next year.","Nach dem Abitur möchte ich studieren.","After the Abitur I want to study."
noun,Studium,das,n,das Studium.,Studien,university studies,"Das Studium ist schwer.","The university studies are hard.","Er beginnt sein Studium im Herbst.","He is beginning his studies in the autumn."
noun,Semester,das,n,das Semester.,Semester,semester,"Ich bin im ersten Semester.","I am in my first semester.","Das Semester endet im Februar.","The semester ends in February."
noun,Führerschein,der,m,der Führerschein.,Führerscheine,driver's license,"Ich will unbedingt den Führerschein machen.","I absolutely want to get my driver's license.","Haben Sie einen Führerschein?","Do you have a driver's license?"
noun,Prüfung,die,f,die Prüfung — ends in -ung.,Prüfungen,exam / test,"Morgen habe ich eine wichtige Prüfung.","Tomorrow I have an important exam.","Die Führerscheinprüfung war schwer.","The driving test was hard."
noun,Ausland,das,n,das Ausland.,-,abroad / foreign countries,"Ich möchte gern ins Ausland gehen.","I would like to go abroad.","Er arbeitet im Ausland.","He works abroad."
noun,Welt,die,f,die Welt.,Welten,world,"Ich will eine Reise um die Welt machen.","I want to take a trip around the world.","Die Welt ist groß.","The world is big."
noun,Europa,das,n,das Europa (mostly without article).,-,Europe,"Wir reisen durch Europa.","We are traveling through Europe.","Europa hat viele Länder.","Europe has many countries."
noun,Geld,das,n,das Geld.,Gelder,money,"Ich will viel Geld verdienen.","I want to earn a lot of money.","Hast du genug Geld?","Do you have enough money?"
noun,Schauspieler,der,m,der Schauspieler.,Schauspieler,actor,"Er will Schauspieler werden.","He wants to become an actor.","Ein berühmter Schauspieler.","A famous actor."
noun,Schauspielerin,die,f,die Schauspielerin.,Schauspielerinnen,actress,"Sie ist eine gute Schauspielerin.","She is a good actress.","Die Schauspielerin lebt in Hollywood.","The actress lives in Hollywood."
noun,Politiker,der,m,der Politiker.,Politiker,politician,"Viele Politiker arbeiten in Berlin.","Many politicians work in Berlin.","Er möchte Politiker werden.","He wants to become a politician."
noun,Sänger,der,m,der Sänger.,Sänger,singer (male),"Der Sänger hat eine tolle Stimme.","The singer has a great voice.","Ein Sänger in einer Band.","A singer in a band."
noun,Sängerin,die,f,die Sängerin.,Sängerinnen,singer (female),"Sie ist Sängerin von Beruf.","She is a singer by profession.","Die Sängerin singt ein Lied.","The female singer sings a song."
noun,Star,der,m,der Star — borrowed from English.,Stars,star / celebrity,"Er möchte ein Star werden.","He wants to become a star.","Ein Star aus Amerika.","A star from America."
noun,Chef,der,m,der Chef.,Chefs,boss (male),"Ich will mein eigener Chef sein.","I want to be my own boss.","Der Chef ist nicht da.","The boss is not there."
noun,Zukunft,die,f,die Zukunft.,Zukünfte,future,"Was bringt die Zukunft?","What does the future bring?","Pläne für die Zukunft.","Plans for the future."
noun,Familie,die,f,die Familie.,Familien,family,"Ich möchte eine große Familie haben.","I want to have a big family.","Eine Familie gründen.","To start a family."
noun,Hochzeit,die,f,die Hochzeit.,Hochzeiten,wedding,"Die Hochzeit ist im Sommer.","The wedding is in the summer.","Wir feiern eine Hochzeit.","We are celebrating a wedding."
noun,Lied,das,n,das Lied.,Lieder,song,"Das ist mein Lieblingslied.","That is my favorite song.","Der Sänger singt ein neues Lied.","The singer sings a new song."
noun,Band,die,f,die Band (pronounced English).,Bands,band (musical),"Er spielt Gitarre in einer Band.","He plays guitar in a band.","Die Band gibt ein Konzert.","The band is giving a concert."
noun,Motorrad,das,n,das Motorrad.,Motorräder,motorcycle,"Er fährt ein schnelles Motorrad.","He rides a fast motorcycle.","Ich will Motorrad fahren.","I want to ride a motorcycle."
noun,Fahrrad,das,n,das Fahrrad.,Fahrräder,bicycle,"Mit dem Fahrrad fahren.","To ride a bicycle.","Mein Fahrrad ist kaputt.","My bicycle is broken."
noun,Reise,die,f,die Reise.,Reisen,trip / journey,"Wir planen eine Reise nach Japan.","We are planning a trip to Japan.","Eine Reise machen.","To take a trip."
noun,Kunde,der,m,der Kunde (weak noun).,Kunden,customer,"Der Kunde wartet.","The customer is waiting.","Wir haben viele Kunden.","We have many customers."
noun,Chefsekretärin,die,f,die Chefsekretärin.,Chefsekretärinnen,executive secretary,"Sie arbeitet als Chefsekretärin.","She works as an executive secretary.","Die Chefsekretärin organisiert Termine.","The executive secretary organizes appointments."
verb,wollen,-,-,-,-,to want (to),"Ich will Arzt werden.","I want to become a doctor.","Was willst du machen?","What do you want to do?"
verb,werden,-,-,-,-,to become,"Er wird Lehrer.","He is becoming a teacher.","Was möchtest du werden?","What would you like to become?"
verb,verdienen,-,-,-,-,to earn,"Er verdient sehr gut.","He earns very well.","Ich möchte mein eigenes Geld verdienen.","I want to earn my own money."
verb,heiraten,-,-,-,-,to marry,"Wir wollen nächstes Jahr heiraten.","We want to get married next year.","Sie heiratet ihren Kollegen.","She is marrying her colleague."
verb,bestehen,-,-,-,-,to pass (an exam),"Ich habe die Prüfung bestanden!","I passed the exam!","Er will das Abitur bestehen.","He wants to pass the Abitur."
verb,gründen,-,-,-,-,to found / to start (a family/company),"Wir wollen bald eine Familie gründen.","We want to start a family soon.","Er gründet eine Firma.","He is founding a company."
verb,studieren,-,-,-,-,to study (at a university),"Ich will in München studieren.","I want to study in Munich.","Sie studiert Medizin.","She is studying medicine."
verb,abschließen,-,-,-,-,to finish / to complete (separable),"Ich möchte meine Ausbildung abschließen.","I want to finish my vocational training.","Er schließt das Studium ab.","He is completing his studies."
verb,spielen,-,-,-,-,to play,"Ich spiele in einer Band.","I play in a band.","Spielst du ein Instrument?","Do you play an instrument?"
verb,laufen,-,-,-,-,to run / to go (well or bad),"Wie läuft es?","How is it going?","Es läuft sehr gut!","It is going very well!"
adjective,berühmt,-,-,-,-,famous,"Sie will berühmt werden.","She wants to become famous.","Ein berühmter Star.","A famous star."
adjective,reich,-,-,-,-,rich,"Ich möchte reich sein.","I want to be rich.","Er verdient viel und ist reich.","He earns a lot and is rich."
adjective,wichtig,-,-,-,-,important,"Geld ist mir nicht so wichtig.","Money is not that important to me.","Ein wichtiger Termin.","An important appointment."
adjective,glücklich,-,-,-,-,happy,"Ich bin sehr glücklich.","I am very happy.","Wir wollen glücklich leben.","We want to live happily."
adjective,eigen,-,-,-,-,own,"Mein eigenes Geld.","My own money.","Er hat eine eigene Firma.","He has his own company."
adjective,neu,-,-,-,-,new,"Ich habe ein neues Lied geschrieben.","I wrote a new song.","Wir suchen eine neue Wohnung.","We are looking for a new apartment."
adjective,schnell,-,-,-,-,fast / quick,"Er fährt ein schnelles Auto.","He drives a fast car.","Das muss schnell gehen.","That has to go quickly."
adverb,unbedingt,-,-,-,-,absolutely / necessarily,"Ich will unbedingt den Job haben.","I absolutely want to have the job.","Du musst das unbedingt sehen!","You absolutely have to see that!"
adverb,später,-,-,-,-,later,"Was willst du später mal werden?","What do you want to be later (when you grow up)?","Wir sprechen später.","We will talk later."
adverb,bald,-,-,-,-,soon,"Ich hoffe, wir sehen uns bald.","I hope we see each other soon.","Die Prüfung ist schon bald.","The exam is soon."
adverb,vielleicht,-,-,-,-,perhaps / maybe,"Vielleicht fahre ich nach Berlin.","Perhaps I will travel to Berlin.","Vielleicht sehen wir uns morgen.","Maybe we will see each other tomorrow."
adverb,genau,-,-,-,-,exactly,"Das weiß ich noch nicht genau.","I don't know that exactly yet.","Genau das will ich!","That is exactly what I want!"
adverb,mindestens,-,-,-,-,at least,"Ich lerne jeden Tag mindestens eine Stunde.","I study for at least an hour every day.","Das kostet mindestens 50 Euro.","That costs at least 50 euros."
