pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Reise,die,f,die Reise — ends in -e.,Reisen,journey / trip,"Wir machen eine Reise.","We are taking a trip.","Gute Reise!","Have a good trip!"
noun,Verkehrsmittel,das,n,das Verkehrsmittel — compound ending in -mittel.,Verkehrsmittel,means of transport,"Welches Verkehrsmittel nimmst du?","Which means of transport are you taking?","Das Auto ist ein Verkehrsmittel.","The car is a means of transport."
noun,Zug,der,m,der Zug.,Züge,train,"Ich fahre mit dem Zug.","I am traveling by train.","Der Zug fährt ab.","The train is departing."
noun,Bus,der,m,der Bus.,Busse,bus,"Wir nehmen den Bus.","We are taking the bus.","Der Bus hat Verspätung.","The bus is delayed."
noun,Straßenbahn,die,f,die Straßenbahn — compound ending in -bahn.,Straßenbahnen,tram / streetcar,"Er fährt mit der Straßenbahn.","He travels by tram.","Wo hält die Straßenbahn?","Where does the tram stop?"
noun,U-Bahn,die,f,die U-Bahn — short for Untergrundbahn.,U-Bahnen,subway / underground,"Die U-Bahn ist schnell.","The subway is fast.","Ich nehme die U-Bahn.","I am taking the subway."
noun,S-Bahn,die,f,die S-Bahn — short for Schnellbahn.,S-Bahnen,suburban train / commuter train,"Die S-Bahn fährt zum Flughafen.","The S-Bahn goes to the airport.","Wir warten auf die S-Bahn.","We are waiting for the S-Bahn."
noun,Auto,das,n,das Auto.,Autos,car,"Wir fahren mit dem Auto.","We are going by car.","Das Auto ist neu.","The car is new."
noun,Fahrrad,das,n,das Fahrrad — compound ending in -rad.,Fahrräder,bicycle,"Ich fahre mit dem Fahrrad.","I am riding a bicycle.","Das Fahrrad ist rot.","The bicycle is red."
noun,Flugzeug,das,n,das Flugzeug — ends in -zeug.,Flugzeuge,airplane,"Das Flugzeug fliegt nach Berlin.","The airplane flies to Berlin.","Ich reise mit dem Flugzeug.","I travel by airplane."
noun,Schiff,das,n,das Schiff.,Schiffe,ship / boat,"Wir fahren mit dem Schiff.","We are traveling by ship.","Das Schiff ist groß.","The ship is big."
