pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
noun,Abend,der,m,Masculine by convention.,Abende,evening,"Guten Abend, wie geht es Ihnen?","Good evening, how are you?","Ich bin am Abend zu Hause.","I am at home in the evening.","Wir essen am Abend warm.","We eat a hot meal in the evening."
noun,Abitur,das,n,Foreign loanword, neutral.,Abiture,final school exam,"Sie hat das Abitur bestanden.","She passed the final exam.","Wann machst du dein Abitur?","When are you taking your final exam?","Das Abitur ist wichtig.","The final exam is important."
adj,achte,-,-,-,-,eighth,"Heute ist der achte Mai.","Today is the eighth of May.","Das ist die achte Lektion.","This is the eighth lesson.","Er wohnt in der achten Etage.","He lives on the eighth floor."
noun,Afrika,das,n,Continents are neutral.,-,Africa,"Er kommt aus Afrika.","He comes from Africa.","Afrika ist ein großer Kontinent.","Africa is a big continent.","Wir reisen nach Afrika.","We travel to Africa."
verb,aufstellen,,,,,to set up,"Wir stellen einen Plan auf.","We are setting up a plan.","Er stellt die Stühle auf.","He sets up the chairs.","Bitte den Plan aufstellen.","Please set up the plan."
verb,ausfüllen,,,,,to fill out,"Füllen Sie das Formular aus.","Fill out the form.","Ich fülle die Tabelle aus.","I am filling out the table.","Er füllt den Antrag aus.","He fills out the application."
verb,auswählen,,,,,to select / choose,"Wählen Sie ein Wort aus.","Choose a word.","Ich wähle ein Geschenk aus.","I am selecting a gift.","Du musst eins auswählen.","You have to choose one."
noun,Autobahn,die,f,Compound: die Bahn (feminine).,Autobahnen,highway / motorway,"Wir fahren auf der Autobahn.","We are driving on the highway.","Die Autobahn ist sehr lang.","The highway is very long.","Er fährt schnell auf der Autobahn.","He drives fast on the highway."
noun,Banker,der,m,Male profession ending in -er.,Banker,banker,"Er ist Banker von Beruf.","He is a banker by profession.","Der Banker arbeitet viel.","The banker works a lot.","Ich spreche mit dem Banker.","I speak with the banker."
adj,bekannt,,,,,well-known / famous,"Das ist ein bekannter Autor.","That is a well-known author.","Er ist sehr bekannt.","He is very famous.","Ein bekannter Ort.","A well-known place."
verb,bewerben,,,,,to apply (for a job),"Ich bewerbe mich bei der Firma.","I am applying at the company.","Er bewirbt sich als Ingenieur.","He is applying as an engineer.","Warum bewerben Sie sich?","Why are you applying?"
adj,bewölkt,,,,,cloudy,"Es ist heute bewölkt.","It is cloudy today.","Der Himmel ist bewölkt.","The sky is cloudy.","Morgen ist es nicht bewölkt.","Tomorrow it is not cloudy."
noun,Bingo,das,n,Games ending in -o are neutral.,Bingos,bingo,"Wir spielen Bingo.","We play bingo.","Bingo ist ein lustiges Spiel.","Bingo is a fun game.","Hast du Bingo?","Do you have Bingo?"
prep,bis,,,,,until / to,"Bis morgen!","See you tomorrow!","Von acht bis zehn.","From eight to ten.","Ich bleibe bis Sonntag.","I stay until Sunday."
noun,Buchstabe,der,m,Exceptions: most -e nouns are feminine, this is masculine.,Buchstaben,letter (alphabet),"Das Wort hat fünf Buchstaben.","The word has five letters.","Wie ist der erste Buchstabe?","What is the first letter?","Schreiben Sie die Buchstaben.","Write the letters."
noun,Celsius,das,n,Neutral by convention.,-,Celsius,"Es sind zehn Grad Celsius.","It is ten degrees Celsius.","Wie viel Grad Celsius?","How many degrees Celsius?","Null Grad Celsius ist kalt.","Zero degrees Celsius is cold."
noun,Cowboy,der,m,English loanword.,Cowboys,cowboy,"Der Cowboy reitet ein Pferd.","The cowboy rides a horse.","Ein Film über einen Cowboy.","A movie about a cowboy.","Der Cowboy trägt einen Hut.","The cowboy wears a hat."
adv,danach,,,,,afterwards / then,"Zuerst lernen, danach spielen.","First study, afterwards play.","Und danach?","And then/afterwards?","Ich mache Sport und danach dusche ich.","I do sports and afterwards I shower."
noun,Daten,die,f (pl),Only used in plural.,Daten,data,"Die Daten sind wichtig.","The data is important.","Ich habe die Daten gespeichert.","I saved the data.","Wo sind die persönlichen Daten?","Where is the personal data?"
noun,Datum,das,n,Latin/Foreign word ending in -um.,Daten,date,"Was ist das Datum heute?","What is the date today?","Schreiben Sie das Datum auf.","Write down the date.","Das Datum stimmt nicht.","The date is not correct."
adv,davor,,,,,before that / in front of that,"Zuerst essen, davor waschen.","First eat, before that wash.","Davor war ich in Berlin.","Before that I was in Berlin.","Ich habe keine Zeit davor.","I have no time before that."
noun,Display,das,n,English loanword.,Displays,display / screen,"Das Display ist kaputt.","The display is broken.","Ein großes Display.","A big display.","Ich reinige das Display.","I clean the display."
verb,dolmetschen,,,,,to interpret (language),"Er dolmetscht für uns.","He interprets for us.","Sie kann fließend dolmetschen.","She can interpret fluently.","Ich möchte dolmetschen lernen.","I want to learn to interpret."
verb,downloaden,,,,,to download,"Ich downloade das Programm.","I am downloading the program.","Hast du es gedownloadet?","Did you download it?","Bitte downloaden Sie das PDF.","Please download the PDF."
num,dreißig,,,,,thirty,"Ich bin dreißig Jahre alt.","I am thirty years old.","Das kostet dreißig Euro.","That costs thirty euros.","Nummer dreißig.","Number thirty."
num,dreizehn,,,,,thirteen,"Sie ist dreizehn.","She is thirteen.","Dreizehn Studenten sind hier.","Thirteen students are here.","Es ist dreizehn Uhr (13:00).","It is thirteen o'clock."
