pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
adv,absolut,,,,,absolutely / totally,"Das ist absolut richtig.","That is absolutely correct.","Ich bin absolut sicher.","I am absolutely sure.","Ein absolutes Muss.","An absolute must."
verb,ankreuzen,,,,,to tick / to cross (a box),"Bitte kreuzen Sie die richtige Antwort an.","Please tick the correct answer.","Ich kreuze das Kästchen an.","I cross the box.","Kreuzen Sie an.","Tick the box."
noun,Antibiotikum,das,n,Foreign word ending in -um.,Antibiotika,antibiotic,"Der Arzt verschreibt ein Antibiotikum.","The doctor prescribes an antibiotic.","Ich nehme das Antibiotikum.","I am taking the antibiotic.","Ein starkes Antibiotikum.","A strong antibiotic."
noun,Anzeige,die,f,Ends in -e -> mostly feminine.,Anzeigen,advertisement / ad,"Ich lese die Anzeige in der Zeitung.","I read the ad in the newspaper.","Eine Anzeige im Internet.","An advertisement on the internet.","Geben Sie eine Anzeige auf.","Place an ad."
noun,Arm,der,m,Masculine by convention.,Arme,arm,"Mein Arm tut weh.","My arm hurts.","Er hat lange Arme.","He has long arms.","Der rechte Arm.","The right arm."
noun,Aspirin,das,n,Medical drug names are often neutral.,Aspirin,aspirin,"Ich brauche ein Aspirin.","I need an aspirin.","Aspirin hilft gegen Kopfschmerzen.","Aspirin helps against headaches.","Nehmen Sie Aspirin?","Do you take aspirin?"
noun,Athlet,der,m,Persons ending in -et are masculine (weak noun).,Athleten,athlete,"Der Athlet trainiert jeden Tag.","The athlete trains every day.","Ein berühmter Athlet.","A famous athlete.","Die Athleten sind fit.","The athletes are fit."
verb,atmen,,,,,to breathe,"Atmen Sie tief ein.","Breathe in deeply.","Er atmet schwer.","He breathes heavily.","Ich kann nicht gut atmen.","I cannot breathe well."
verb,aufmachen,,,,,to open,"Machen Sie den Mund auf.","Open your mouth.","Ich mache das Fenster auf.","I am opening the window.","Können Sie die Tür aufmachen?","Can you open the door?"
verb,aufstehen,,,,,to get up / to stand up,"Ich muss früh aufstehen.","I have to get up early.","Stehen Sie bitte auf.","Please stand up.","Wann stehst du auf?","When do you get up?"
noun,Auge,das,n,Neutral by convention.,Augen,eye,"Er hat blaue Augen.","He has blue eyes.","Mein Auge tut weh.","My eye hurts.","Mach die Augen zu.","Close your eyes."
verb,ausatmen,,,,,to breathe out,"Atmen Sie langsam aus.","Breathe out slowly.","Einatmen und ausatmen.","Breathe in and breathe out.","Bitte tief ausatmen.","Please breathe out deeply."
verb,aussehen,,,,,to look (like) / to appear,"Du siehst gut aus.","You look good.","Wie sieht er aus?","What does he look like?","Das sieht schlecht aus.","That looks bad."
noun,Baby,das,n,English loanword.,Babys,baby,"Das Baby schläft.","The baby is sleeping.","Ein süßes Baby.","A cute baby.","Das Baby weint.","The baby is crying."
noun,Basketball,der,m,Compound: der Ball (masculine).,Basketbälle,basketball,"Wir spielen Basketball.","We play basketball.","Er ist gut im Basketball.","He is good at basketball.","Ein neues Basketball-Spiel.","A new basketball game."
noun,Bauch,der,m,Masculine by convention.,Bäuche,stomach / belly,"Mein Bauch tut weh.","My stomach hurts.","Ich habe Bauchschmerzen.","I have a stomachache.","Ein dicker Bauch.","A big belly."
pron,beide,,,,,both,"Wir kommen beide.","We are both coming.","Beide Hände.","Both hands.","Ich nehme beide.","I'll take both."
noun,Bein,das,n,Neutral by convention.,Beine,leg,"Mein Bein ist gebrochen.","My leg is broken.","Er hat lange Beine.","He has long legs.","Das rechte Bein.","The right leg."
adj,beliebt,,,,,popular,"Fußball ist sehr beliebt.","Soccer is very popular.","Ein beliebter Sport.","A popular sport.","Sie ist sehr beliebt.","She is very popular."
noun,Berg,der,m,Masculine by convention.,Berge,mountain,"Wir wandern auf den Berg.","We hike up the mountain.","Die Berge sind hoch.","The mountains are high.","Ein Urlaub in den Bergen.","A vacation in the mountains."
noun,Biografie,die,f,Ends in -ie -> always feminine.,Biografien,biography,"Ich lese seine Biografie.","I am reading his biography.","Eine interessante Biografie.","An interesting biography.","Schreiben Sie eine Biografie.","Write a biography."
verb,boxen,,,,,to box,"Er lernt boxen.","He is learning to box.","Sie boxt im Verein.","She boxes in the club.","Boxen ist ein harter Sport.","Boxing is a hard sport."
noun,Chile,das,n,Country names without special endings are neutral.,-,Chile,"Er kommt aus Chile.","He comes from Chile.","Wir reisen nach Chile.","We travel to Chile.","Santiago ist die Hauptstadt von Chile.","Santiago is the capital of Chile."
verb,danken,,,,,to thank,"Ich danke Ihnen.","I thank you.","Wir danken für die Hilfe.","We thank for the help.","Er dankt seinem Trainer.","He thanks his trainer."
adv,dann,,,,,then,"Zuerst essen wir, dann gehen wir.","First we eat, then we go.","Und was dann?","And then what?","Dann ist es zu spät.","Then it is too late."
noun,Doktor,der,m,Masculine by convention.,Doktoren,doctor,"Ich muss zum Doktor gehen.","I have to go to the doctor.","Der Doktor untersucht mich.","The doctor examines me.","Herr Doktor Schmidt.","Dr. Schmidt."
verb,dürfen,,,,,to be allowed to / may,"Darf ich hier rauchen?","May I smoke here?","Sie dürfen das nicht.","You are not allowed to do that.","Wir dürfen hier parken.","We are allowed to park here."
verb,einatmen,,,,,to breathe in,"Atmen Sie tief ein.","Breathe in deeply.","Einatmen, bitte!","Breathe in, please!","Er atmet die frische Luft ein.","He breathes in the fresh air."
