pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
noun,Erholung,die,f,Ends in -ung -> always feminine.,Erholungen,recovery / relaxation,"Hier finden Sie Ruhe und Erholung.","Here you will find peace and relaxation.[cite: 9]","Erholung ist wichtig im Urlaub.","Relaxation is important on vacation.","Wir suchen Entspannung und Erholung.","We are looking for relaxation and recovery."
noun,Entspannung,die,f,Ends in -ung -> always feminine.,Entspannungen,relaxation,"Wir brauchen mehr Entspannung.","We need more relaxation.[cite: 9]","Das bringt wirkliche Entspannung.","That brings real relaxation.","Yoga hilft bei der Entspannung.","Yoga helps with relaxation."
noun,Wanderer,der,m,Ends in -er (person).,Wanderer,hiker,"Der Urlaub ist ideal für Wanderer.","The vacation is ideal for hikers.[cite: 9]","Die Wanderer sind sehr müde.","The hikers are very tired.","Ein Wanderer geht durch den Wald.","A hiker walks through the forest."
noun,Vermieter,der,m,Ends in -er (person).,Vermieter,landlord,"Unser Vermieter ist nett.","Our landlord is nice.[cite: 13]","Der Vermieter hat uns begrüßt.","The landlord greeted us.","Sprechen Sie mit dem Vermieter.","Speak with the landlord."
noun,Beratung,die,f,Ends in -ung -> always feminine.,Beratungen,consultation / advice,"Sie können auch Beratung bekommen.","You can also get advice.[cite: 9]","Die Beratung im Reisebüro war gut.","The consultation at the travel agency was good.","Wir brauchen eine professionelle Beratung.","We need a professional consultation."
noun,Erfahrung,die,f,Ends in -ung -> always feminine.,Erfahrungen,experience,"Das war eine tolle Erfahrung.","That was a great experience.[cite: 9]","Haben Sie Erfahrung damit?","Do you have experience with that?","Er hat viel Erfahrung beim Klettern.","He has a lot of experience climbing."
noun,Ordnung,die,f,Ends in -ung -> always feminine.,Ordnungen,order,"Hier ist die Welt in Ordnung.","Here the world is in order.[cite: 9]","Ordnung ist im Büro sehr wichtig.","Order is very important in the office.","Halten Sie bitte Ordnung.","Please keep order."
noun,Anmeldung,die,f,Ends in -ung -> always feminine.,Anmeldungen,registration,"Die Anmeldung ist hier am Schalter.","The registration is here at the counter.[cite: 9]","Wo ist die Anmeldung?","Where is the registration?","Bitte füllen Sie die Anmeldung aus.","Please fill out the registration."
noun,Übernachtung,die,f,Ends in -ung -> always feminine.,Übernachtungen,overnight stay,"Die Übernachtung im Hotel ist teuer.","The overnight stay in the hotel is expensive.[cite: 9]","Wir buchen eine Übernachtung.","We book an overnight stay.","Zwei Übernachtungen mit Frühstück, bitte.","Two overnight stays with breakfast, please."
noun,Ausrüstung,die,f,Ends in -ung -> always feminine.,Ausrüstungen,equipment,"Wir haben eine gute Ausrüstung.","We have good equipment.[cite: 9]","Die Ausrüstung für die Berge.","The equipment for the mountains.","Fehlt noch etwas Ausrüstung?","Is some equipment still missing?"
noun,Anstrengung,die,f,Ends in -ung -> always feminine.,Anstrengungen,effort / strain,"Die Wanderung war eine große Anstrengung.","The hike was a big effort.[cite: 9]","Ohne Anstrengung geht es nicht.","It does not work without effort.","Nach der Anstrengung schlafe ich.","After the effort I sleep."
noun,Wald,der,m,Masculine by convention.,Wälder,forest,"Ein Wanderer geht durch den Wald.","A hiker walks through the forest.[cite: 9]","Der Wald ist dunkelgrün.","The forest is dark green.","Wir lieben Spaziergänge im Wald.","We love walks in the forest."
noun,Wiese,die,f,Ends in -e -> mostly feminine.,Wiesen,meadow,"Wandern Sie über hellgrüne Wiesen.","Hike over light green meadows.[cite: 9]","Die Wiese ist wunderschön.","The meadow is beautiful.","Auf der Wiese blühen Blumen.","Flowers bloom on the meadow."
noun,Pflanze,die,f,Ends in -e -> mostly feminine.,Pflanzen,plant,"Diese Pflanze ist sehr grün.","This plant is very green.[cite: 9]","Wir kaufen eine neue Pflanze.","We are buying a new plant.","Die Pflanze braucht viel Wasser.","The plant needs a lot of water."
noun,Dorf,das,n,Neuter by convention.,Dörfer,village,"Das Dorf liegt in den Bergen.","The village is located in the mountains.[cite: 9]","Er wohnt in einem kleinen Dorf.","He lives in a small village.","Das Dorf hat eine Kirche.","The village has a church."
noun,Katze,die,f,Ends in -e -> mostly feminine.,Katzen,cat,"Die Katze schläft auf dem Sofa.","The cat sleeps on the sofa.[cite: 9]","Haben Sie eine Katze?","Do you have a cat?","Die Katze spielt im Garten.","The cat plays in the garden."
noun,Hund,der,m,Masculine by convention.,Hunde,dog,"Der Hund läuft im Park.","The dog runs in the park.[cite: 9]","Ein Hund braucht viel Auslauf.","A dog needs a lot of exercise.","Wo ist mein Hund?","Where is my dog?"
noun,Vogel,der,m,Ends in -el.,Vögel,bird,"Der Vogel singt sehr laut.","The bird sings very loudly.[cite: 9]","Siehst du den blauen Vogel?","Do you see the blue bird?","Die Vögel fliegen in den Süden.","The birds fly to the south."
noun,Frosch,der,m,Masculine by convention.,Frösche,frog,"Ein Frosch quakt am See.","A frog croaks at the lake.[cite: 9]","Der grüne Frosch springt weit.","The green frog jumps far.","Hörst du den kleinen Frosch?","Do you hear the small frog?"
noun,Bauernhof,der,m,Compound: der Hof.,Bauernhöfe,farm,"Wir machen Urlaub auf dem Bauernhof.","We are vacationing on the farm.[cite: 9]","Der Bauernhof ist groß.","The farm is big.","Fahren wir zum Bauernhof?","Are we driving to the farm?"
