pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Käse,der,m,der Käse — ends in -e but is masculine.,Käse,cheese,"Ich hätte gern einen milden Käse.","I would like a mild cheese.","Der französische Käse schmeckt gut.","The French cheese tastes good."
noun,Schinken,der,m,der Schinken — ends in -en.,Schinken,ham,"Ich nehme 200 Gramm mageren Schinken.","I'll take 200 grams of lean ham.","Möchten Sie den Schinken in Scheiben?","Would you like the ham in slices?"
noun,Wurst,die,f,die Wurst.,Würste,sausage,"Das ist eine scharfe Wurst.","That is a spicy sausage.","Ich kaufe ein halbes Pfund Wurst.","I am buying half a pound of sausage."
noun,Salami,die,f,die Salami.,Salamis,salami,"Die Salami ist mir zu scharf.","The salami is too spicy for me.","Ein Stück Salami, bitte.","A piece of salami, please."
noun,Leberwurst,die,f,die Leberwurst — compound with Wurst.,Leberwürste,liver sausage,"Ich kaufe grobe Leberwurst.","I am buying coarse liver sausage.","Die Leberwurst schmeckt fantastisch.","The liver sausage tastes fantastic."
noun,Rindfleisch,das,n,das Rindfleisch — compound with Fleisch.,-,beef,"Ist das Rindfleisch mager?","Is the beef lean?","Wir brauchen Rindfleisch für die Suppe.","We need beef for the soup."
noun,Schweinefleisch,das,n,das Schweinefleisch.,-,pork,"Schweinefleisch ist oft sehr fett.","Pork is often very fatty.","Ich esse kein Schweinefleisch.","I do not eat pork."
noun,Thunfisch,der,m,der Thunfisch.,Thunfische,tuna,"Eine Dose Thunfisch für den Salat.","A can of tuna for the salad.","Der frische Thunfisch ist teuer.","The fresh tuna is expensive."
noun,Apfel,der,m,der Apfel.,Äpfel,apple,"Das ist ein süßer Apfel.","That is a sweet apple.","Die roten Äpfel sind im Angebot.","The red apples are on sale."
noun,Banane,die,f,die Banane — ends in -e.,Bananen,banana,"Ich esse gerne gelbe Bananen.","I like eating yellow bananas.","Die Bananen sind sehr süß.","The bananas are very sweet."
noun,Orange,die,f,die Orange — ends in -e.,Orangen,orange,"Ein Netz Orangen, bitte.","A net of oranges, please.","Die spanischen Orangen sind frisch.","The Spanish oranges are fresh."
noun,Tomate,die,f,die Tomate — ends in -e.,Tomaten,tomato,"Ich brauche ein Pfund Tomaten.","I need a pound of tomatoes.","Die kleinen Tomaten sind süß.","The small tomatoes are sweet."
noun,Paprika,die,f,die Paprika — ends in -a.,Paprikas,bell pepper,"Ich nehme eine rote Paprika.","I'll take a red bell pepper.","Die grüne Paprika ist knackig.","The green bell pepper is crisp."
noun,Gurke,die,f,die Gurke — ends in -e.,Gurken,cucumber,"Ich hätte gern eine halbe Gurke.","I would like half a cucumber.","Die Gurke ist frisch.","The cucumber is fresh."
noun,Zwiebel,die,f,die Zwiebel.,Zwiebeln,onion,"Ein Netz Zwiebeln, bitte.","A net of onions, please.","Ich brauche Zwiebeln für das Essen.","I need onions for the food."
noun,Knoblauch,der,m,der Knoblauch.,-,garlic,"Hast du frischen Knoblauch?","Do you have fresh garlic?","Der getrocknete Knoblauch ist hier.","The dried garlic is here."
noun,Kartoffel,die,f,die Kartoffel.,Kartoffeln,potato,"Einen Sack Kartoffeln, bitte.","A sack of potatoes, please.","Ich nehme die kleinen Kartoffeln.","I'll take the small potatoes."
noun,Erdbeere,die,f,die Erdbeere — ends in -e.,Erdbeeren,strawberry,"Eine Schale Erdbeeren kostet drei Euro.","A punnet of strawberries costs three euros.","Die Erdbeeren sind sehr süß.","The strawberries are very sweet."
noun,Milch,die,f,die Milch.,-,milk,"Haben wir noch kalte Milch?","Do we still have cold milk?","Ich trinke frische Milch.","I drink fresh milk."
