pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Kommode,die,f,die Kommode — ends in -e.,Kommoden,dresser / chest of drawers,"Wohin stellen wir die Kommode?","Where do we put the dresser?","Die Kommode steht im Schlafzimmer.","The dresser is standing in the bedroom."
noun,Sessel,der,m,der Sessel — ends in -el.,Sessel,armchair,"Der Sessel ist sehr bequem.","The armchair is very comfortable.","Ich sitze gern auf dem Sessel.","I like sitting on the armchair."
noun,Wand,die,f,die Wand — feminine by convention.,Wände,wall,"Wir hängen das Bild an die Wand.","We are hanging the picture on the wall.","Das Sofa steht an der Wand.","The sofa stands against the wall."
noun,Boden,der,m,der Boden — ends in -en.,Böden,floor / ground,"Der Teppich liegt auf dem Boden.","The rug lies on the floor.","Bitte leg die Tasche nicht auf den Boden.","Please don't put the bag on the floor."
noun,Decke,die,f,die Decke — ends in -e.,Decken,ceiling / blanket,"Die Lampe hängt an der Decke.","The lamp hangs from the ceiling.","Mir ist kalt, ich brauche eine Decke.","I am cold, I need a blanket."
noun,Tür,die,f,die Tür — feminine by convention.,Türen,door,"Stell die Schuhe hinter die Tür.","Put the shoes behind the door.","Mach bitte die Tür zu.","Please close the door."
noun,Fenster,das,n,das Fenster — ends in -er.,Fenster,window,"Das Bett steht am Fenster.","The bed stands by the window.","Wir müssen das Fenster putzen.","We have to clean the window."
noun,Spiegel,der,m,der Spiegel — ends in -el.,Spiegel,mirror,"Der Spiegel hängt im Bad.","The mirror hangs in the bathroom.","Häng den Spiegel über die Kommode.","Hang the mirror over the dresser."
noun,Regal,das,n,das Regal — neuter by convention.,Regale,shelf,"Die Bücher stehen im Regal.","The books are standing on the shelf.","Wir brauchen ein neues Regal.","We need a new shelf."
noun,Teppich,der,m,der Teppich — ends in -ich (always masculine).,Teppiche,rug / carpet,"Wir legen den Teppich unter den Tisch.","We are laying the rug under the table.","Der Teppich ist sehr weich.","The rug is very soft."
noun,Kiste,die,f,die Kiste — ends in -e.,Kisten,box / crate,"Leg die Bücher in die Kiste.","Lay the books in the box.","Die Kiste ist sehr schwer.","The box is very heavy."
noun,Karton,der,m,der Karton — borrowed word.,Kartons,cardboard box,"Wir brauchen Kartons für den Umzug.","We need boxes for the move.","Der Karton steht im Flur.","The box is standing in the hallway."
