pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en
prep,ab,,,,,from (a point in time/space),"Ab Montag arbeite ich.","From Monday I work.","Ab acht Uhr bin ich da.","From eight o'clock I am there.","Der Zug fährt ab hier.","The train departs from here."
adv,abends,,,,,in the evenings,"Abends sehe ich fern.","In the evenings I watch TV.","Ich lese abends im Bett.","I read in bed in the evenings.","Abends essen wir warm.","In the evenings we eat a hot meal."
noun,Aerobic,die,f,English loanword (sports).,-,aerobics,"Ich mache Aerobic.","I do aerobics.","Aerobic ist gesund.","Aerobics is healthy.","Kommst du zum Aerobic?","Are you coming to aerobics?"
noun,Airport,der,m,English loanword.,Airports,airport,"Wir fahren zum Airport.","We are driving to the airport.","Der Airport ist groß.","The airport is big.","Wann bist du am Airport?","When are you at the airport?"
noun,April,der,m,All months are masculine.,-,April,"Der April ist oft regnerisch.","April is often rainy.","Ich habe im April Geburtstag.","I have my birthday in April.","Wir fahren im April nach Rom.","We travel to Rome in April."
noun,Arzt,der,m,Masculine by convention.,Ärzte,doctor,"Ich muss zum Arzt.","I have to go to the doctor.","Der Arzt untersucht den Patienten.","The doctor examines the patient.","Fragen Sie Ihren Arzt.","Ask your doctor."
adv,auch,,,,,also / too,"Ich komme auch.","I am also coming.","Ich spreche auch Englisch.","I speak English too.","Möchtest du das auch?","Do you want that too?"
verb,aufräumen,,,,,to tidy up / to clean up,"Ich räume das Zimmer auf.","I tidy up the room.","Räum bitte auf!","Please tidy up!","Wir räumen die Küche auf.","We clean up the kitchen."
noun,August,der,m,All months are masculine.,-,August,"Im August haben wir Ferien.","In August we have holidays.","Der August ist sehr heiß.","August is very hot.","Wir heiraten im August.","We are getting married in August."
noun,Ausdruck,der,m,Nouns ending in -druck are masculine.,Ausdrücke,expression / term,"Das ist ein guter Ausdruck.","That is a good expression.","Was bedeutet dieser Ausdruck?","What does this expression mean?","Lernen Sie neue Ausdrücke.","Learn new expressions."
noun,Bar,die,f,English loanword.,Bars,bar,"Wir treffen uns in der Bar.","We are meeting in the bar.","Die Bar ist geschlossen.","The bar is closed.","Ich trinke ein Bier in der Bar.","I drink a beer in the bar."
noun,Beispiel,das,n,Nouns starting with Be- and ending in -spiel are neutral.,Beispiele,example,"Können Sie ein Beispiel geben?","Can you give an example?","Zum Beispiel Äpfel und Birnen.","For example, apples and pears.","Das ist ein gutes Beispiel.","That is a good example."
verb,besuchen,,,,,to visit,"Ich besuche meine Oma.","I visit my grandmother.","Wir besuchen ein Museum.","We visit a museum.","Besuchst du mich morgen?","Are you visiting me tomorrow?"
noun,Body-Mass-Index,der,m,Compound noun takes the gender of the last word (der Index).,-,body mass index (BMI),"Wie berechne ich den Body-Mass-Index?","How do I calculate the body mass index?","Mein Body-Mass-Index ist normal.","My body mass index is normal.","Der Body-Mass-Index ist wichtig.","The body mass index is important."
noun,Call-Center,das,n,English loanword.,Call-Center,call center,"Er arbeitet im Call-Center.","He works in the call center.","Das Call-Center ist laut.","The call center is loud.","Ich rufe das Call-Center an.","I call the call center."
noun,Club,der,m,English loanword.,Clubs,club,"Wir gehen heute in den Club.","We are going to the club today.","Der Club ist am Wochenende voll.","The club is full on the weekend.","Bist du im Tennis-Club?","Are you in the tennis club?"
noun,Computerspiel,das,n,Compound noun takes the gender of the last word (das Spiel).,Computerspiele,computer game,"Er spielt gerne Computerspiele.","He likes playing computer games.","Das Computerspiel ist neu.","The computer game is new.","Mein Lieblings-Computerspiel.","My favorite computer game."
noun,Dezember,der,m,All months are masculine.,-,December,"Im Dezember ist Weihnachten.","Christmas is in December.","Es schneit oft im Dezember.","It often snows in December.","Wir fahren im Dezember in den Urlaub.","We go on vacation in December."
noun,Dienstag,der,m,All days of the week are masculine.,Dienstage,Tuesday,"Am Dienstag arbeite ich.","On Tuesday I work.","Dienstag ist mein Lieblingstag.","Tuesday is my favorite day.","Wir sehen uns am Dienstag.","We will see each other on Tuesday."
noun,Disco,die,f,English loanword.,Discos,disco / nightclub,"Wir tanzen in der Disco.","We dance in the disco.","Die Disco ist am Samstag auf.","The disco is open on Saturday.","Kommst du in die Disco?","Are you coming to the disco?"
noun,Donnerstag,der,m,All days of the week are masculine.,Donnerstage,Thursday,"Am Donnerstag habe ich Zeit.","On Thursday I have time.","Der Donnerstag ist lang.","Thursday is long.","Was machst du am Donnerstag?","What are you doing on Thursday?"
verb,einkaufen,,,,,to shop,"Ich kaufe im Supermarkt ein.","I shop in the supermarket.","Wann gehst du einkaufen?","When are you going shopping?","Wir müssen Lebensmittel einkaufen.","We have to shop for groceries."
verb,einladen,,,,,to invite,"Ich lade dich zur Party ein.","I invite you to the party.","Wir laden unsere Freunde ein.","We invite our friends.","Darf ich Sie einladen?","May I invite you?"
verb,einstellen,,,,,to adjust / to set,"Stellen Sie die Uhr ein.","Set the clock.","Ich stelle die Lautstärke ein.","I adjust the volume.","Bitte das Radio einstellen.","Please set the radio."
noun,Englischkurs,der,m,Compound noun takes the gender of the last word (der Kurs).,Englischkurse,English course,"Ich besuche einen Englischkurs.","I am attending an English course.","Der Englischkurs ist super.","The English course is great.","Wann ist der Englischkurs?","When is the English course?"
adj,falsch,,,,,wrong / false,"Die Antwort ist falsch.","The answer is wrong.","Das ist komplett falsch.","That is completely wrong.","Habe ich das falsch verstanden?","Did I understand that wrong?"
noun,Februar,der,m,All months are masculine.,-,February,"Der Februar hat 28 Tage.","February has 28 days.","Im Februar ist es kalt.","It is cold in February.","Mein Geburtstag ist im Februar.","My birthday is in February."
verb,feiern,,,,,to celebrate,"Wir feiern meinen Geburtstag.","We are celebrating my birthday.","Wie feierst du Silvester?","How do you celebrate New Year's Eve?","Sie feiern eine große Party.","They are celebrating a big party."
verb,fernsehen,,,,,to watch TV,"Ich sehe abends fern.","I watch TV in the evenings.","Wir sehen am Wochenende fern.","We watch TV on the weekend.","Siehst du oft fern?","Do you watch TV often?"
noun,Fitness,die,f,English loanword ending in -ness.,-,fitness,"Ich mache etwas für meine Fitness.","I do something for my fitness.","Fitness ist sehr wichtig.","Fitness is very important.","Ein gutes Fitness-Programm.","A good fitness program."
noun,Fitness-Studio,das,n,Compound noun takes the gender of the last word (das Studio).,Fitness-Studios,gym / fitness center,"Ich trainiere im Fitness-Studio.","I train in the gym.","Das Fitness-Studio ist teuer.","The gym is expensive.","Wir gehen ins Fitness-Studio.","We are going to the gym."
noun,Flughafen,der,m,Compound noun takes the gender of the last word (der Hafen).,Flughäfen,airport,"Der Flughafen Frankfurt ist groß.","The Frankfurt airport is big.","Ich fahre zum Flughafen.","I am driving to the airport.","Wo ist der Flughafen?","Where is the airport?"
noun,Freitag,der,m,All days of the week are masculine.,Freitage,Friday,"Am Freitag fängt das Wochenende an.","The weekend begins on Friday.","Ich habe am Freitag frei.","I have Friday off.","Kommst du am Freitag?","Are you coming on Friday?"
noun,Freizeit,die,f,Compound noun takes the gender of the last word (die Zeit).,-,free time / leisure time,"In meiner Freizeit lese ich gern.","In my free time I like to read.","Ich habe wenig Freizeit.","I have little free time.","Was machen Sie in der Freizeit?","What do you do in your free time?"
noun,Freizeitstress,der,m,Compound noun takes the gender of the last word (der Stress).,-,leisure stress,"Haben Sie Freizeitstress?","Do you have leisure stress?","Freizeitstress ist ein Problem.","Leisure stress is a problem.","Kein Freizeitstress mehr.","No more leisure stress."
verb,gehen,,,,,to go,"Ich gehe nach Hause.","I am going home.","Wir gehen ins Kino.","We are going to the cinema.","Gehst du heute schwimmen?","Are you going swimming today?"
adj,gleich,,,,,same / equal / right away,"Ich komme gleich.","I am coming right away.","Wir haben die gleiche Farbe.","We have the same color.","Das ist nicht gleich.","That is not equal."
noun,Golf,das,n,Sports names are typically neutral.,-,golf (sport),"Er spielt gerne Golf.","He likes to play golf.","Golf ist ein teurer Sport.","Golf is an expensive sport.","Wir gehen Golf spielen.","We are going to play golf."
noun,Highlight,das,n,English loanword.,Highlights,highlight,"Das Konzert war das Highlight.","The concert was the highlight.","Ein Highlight des Tages.","A highlight of the day.","Die Stadt hat viele Highlights.","The city has many highlights."
noun,Interview,das,n,English loanword.,Interviews,interview,"Ich habe morgen ein Interview.","I have an interview tomorrow.","Das Interview war sehr interessant.","The interview was very interesting.","Lesen Sie das Interview.","Read the interview."
noun,Januar,der,m,All months are masculine.,-,January,"Im Januar schneit es.","It snows in January.","Das neue Jahr beginnt im Januar.","The new year begins in January.","Wir sehen uns im Januar.","We will see each other in January."
adv,jetzt,,,,,now,"Ich habe jetzt keine Zeit.","I have no time now.","Wir müssen jetzt gehen.","We have to go now.","Was machst du jetzt?","What are you doing now?"
noun,Juli,der,m,All months are masculine.,-,July,"Im Juli haben wir Sommerferien.","In July we have summer holidays.","Der Juli ist ein Sommermonat.","July is a summer month.","Wir fahren im Juli ans Meer.","We travel to the sea in July."
noun,Juni,der,m,All months are masculine.,-,June,"Der Juni hat 30 Tage.","June has 30 days.","Im Juni ist es warm.","It is warm in June.","Mein Urlaub beginnt im Juni.","My vacation begins in June."
noun,Kalender,der,m,Masculine by convention.,Kalender,calendar,"Schreiben Sie den Termin in den Kalender.","Write the appointment in the calendar.","Ich habe einen neuen Kalender.","I have a new calendar.","Steht das in deinem Kalender?","Is that in your calendar?"
noun,Klassik,die,f,Ends in -ik -> always feminine.,-,classical music,"Ich höre gerne Klassik.","I like listening to classical music.","Klassik ist entspannend.","Classical music is relaxing.","Ein Konzert mit Klassik.","A concert with classical music."
noun,Klavier,das,n,Musical instruments are often neutral.,Klaviere,piano,"Ich spiele Klavier.","I play the piano.","Das Klavier ist schwer.","The piano is heavy.","Sie übt jeden Tag Klavier.","She practices piano every day."
verb,kleben,,,,,to stick / to glue,"Ich klebe das Foto in das Buch.","I glue the photo into the book.","Kleben Sie das Poster an die Wand.","Stick the poster to the wall.","Der Kaugummi klebt.","The chewing gum is sticky."
noun,Kombination,die,f,Ends in -ion -> always feminine.,Kombinationen,combination,"Das ist eine gute Kombination.","That is a good combination.","Die Kombination von Farben.","The combination of colors.","Wählen Sie eine Kombination.","Choose a combination."
verb,können,,,,,to be able to / can,"Ich kann Deutsch sprechen.","I can speak German.","Können Sie mir helfen?","Can you help me?","Wir können heute nicht kommen.","We cannot come today."
noun,Konzert,das,n,Neutral by convention.,Konzerte,concert,"Wir gehen auf ein Konzert.","We are going to a concert.","Das Konzert war fantastisch.","The concert was fantastic.","Die Karten für das Konzert sind teuer.","The tickets for the concert are expensive."
noun,Krankenhaus,das,n,Compound noun takes the gender of the last word (das Haus).,Krankenhäuser,hospital,"Er liegt im Krankenhaus.","He is in the hospital.","Das Krankenhaus ist groß.","The hospital is big.","Ich arbeite im Krankenhaus.","I work in the hospital."
noun,Krankenschwester,die,f,Compound noun takes the gender of the last word (die Schwester).,Krankenschwestern,nurse (female),"Sie arbeitet als Krankenschwester.","She works as a nurse.","Die Krankenschwester hilft dem Patienten.","The nurse helps the patient.","Wir suchen eine Krankenschwester.","We are looking for a nurse."
noun,Kreis,der,m,Masculine by convention.,Kreise,circle,"Wir sitzen im Kreis.","We are sitting in a circle.","Zeichnen Sie einen Kreis.","Draw a circle.","Der Kreis ist rund.","The circle is round."
adj,kurz,,,,,short,"Die Zeit ist kurz.","The time is short.","Ein kurzer Text.","A short text.","Das Haar ist kurz.","The hair is short."
adj,lang,,,,,long,"Der Weg ist lang.","The path is long.","Ein langes Telefongespräch.","A long phone conversation.","Die Nacht war lang.","The night was long."
verb,lernen,,,,,to learn / to study,"Ich lerne Deutsch.","I am learning German.","Lernen Sie die Vokabeln.","Study the vocabulary.","Wir lernen jeden Tag.","We study every day."
verb,lesen,,,,,to read,"Ich lese ein Buch.","I am reading a book.","Liest du gerne?","Do you like to read?","Sie liest die Zeitung.","She reads the newspaper."
noun,Lieblingsclub,der,m,Compound noun takes the gender of the last word (der Club).,Lieblingsclubs,favorite club,"Das ist mein Lieblingsclub.","That is my favorite club.","Wir gehen in unseren Lieblingsclub.","We are going to our favorite club.","Wie heißt dein Lieblingsclub?","What is the name of your favorite club?"
noun,Lieblingstag,der,m,Compound noun takes the gender of the last word (der Tag).,Lieblingstage,favorite day,"Samstag ist mein Lieblingstag.","Saturday is my favorite day.","Was ist dein Lieblingstag?","What is your favorite day?","Jeder Tag ist ein Lieblingstag.","Every day is a favorite day."
noun,Luxus,der,m,Masculine by convention.,-,luxury,"Das ist purer Luxus.","That is pure luxury.","Wir leben im Luxus.","We live in luxury.","Ein Auto ist ein Luxus für mich.","A car is a luxury for me."
noun,Mai,der,m,All months are masculine.,-,May,"Der Mai ist ein Frühlingsmonat.","May is a spring month.","Wir haben im Mai Urlaub.","We have a vacation in May.","Im Mai scheint die Sonne.","The sun shines in May."
noun,März,der,m,All months are masculine.,-,March,"Im März fängt der Frühling an.","Spring begins in March.","Der März ist oft noch kalt.","March is often still cold.","Mein Kurs startet im März.","My course starts in March."
adv,minus,,,,,minus,"Fünf minus zwei ist drei.","Five minus two is three.","Heute sind es minus 5 Grad.","Today it is minus 5 degrees.","Ein großes Minus.","A big minus."
noun,Minute,die,f,Ends in -e -> mostly feminine.,Minuten,minute,"Warten Sie eine Minute.","Wait a minute.","Der Film dauert 90 Minuten.","The movie lasts 90 minutes.","Ich komme in zehn Minuten.","I am coming in ten minutes."
adv,mittags,,,,,at noon / in the afternoons,"Mittags esse ich in der Kantine.","At noon I eat in the cafeteria.","Ich habe mittags keine Zeit.","I have no time at noon.","Mittags scheint die Sonne.","At noon the sun shines."
noun,Mittwoch,der,m,All days of the week are masculine.,Mittwoche,Wednesday,"Am Mittwoch habe ich Sport.","On Wednesday I have sports.","Der Mittwoch ist die Mitte der Woche.","Wednesday is the middle of the week.","Wir treffen uns jeden Mittwoch.","We meet every Wednesday."
noun,Modalverb,das,n,Grammar terms are often neutral.,Modalverben,modal verb,"'Können' ist ein Modalverb.","'Können' is a modal verb.","Wir lernen heute Modalverben.","We are learning modal verbs today.","Das Modalverb steht auf Position 2.","The modal verb is in position 2."
noun,Möglichkeit,die,f,Ends in -keit -> always feminine.,Möglichkeiten,possibility / option,"Wir haben keine andere Möglichkeit.","We have no other option.","Das ist eine gute Möglichkeit.","That is a good possibility.","Gibt es die Möglichkeit?","Is there the possibility?"
noun,Montag,der,m,All days of the week are masculine.,Montage,Monday,"Am Montag gehe ich zur Arbeit.","On Monday I go to work.","Der Montag ist oft anstrengend.","Monday is often tiring.","Montags habe ich Frühschicht.","On Mondays I have the early shift."
