pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en
noun,Büro,das,n,das Büro.,Büros,office,"Ich bin im Büro.","I am in the office.","Das Büro ist groß.","The office is big."
noun,Computer,der,m,der Computer — borrowed from English.,Computer,computer,"Der Computer ist neu.","The computer is new.","Ich brauche einen Computer.","I need a computer."
noun,Laptop,der,m,der Laptop.,Laptops,laptop,"Mein Laptop ist kaputt.","My laptop is broken.","Hast du einen Laptop?","Do you have a laptop?"
noun,Drucker,der,m,der Drucker — ends in -er.,Drucker,printer,"Der Drucker funktioniert nicht.","The printer is not working.","Wir brauchen einen Drucker.","We need a printer."
noun,Bildschirm,der,m,der Bildschirm.,Bildschirme,screen / monitor,"Der Bildschirm ist dunkel.","The screen is dark.","Ich sehe nichts auf dem Bildschirm.","I see nothing on the screen."
noun,Tastatur,die,f,die Tastatur.,Tastaturen,keyboard,"Die Tastatur ist neu.","The keyboard is new.","Ich brauche eine Tastatur.","I need a keyboard."
noun,Maus,die,f,die Maus.,Mäuse,mouse,"Wo ist die Maus?","Where is the mouse?","Die Maus funktioniert nicht.","The mouse is not working."
noun,Telefon,das,n,das Telefon.,Telefone,telephone,"Das Telefon klingelt.","The telephone is ringing.","Ich habe kein Telefon.","I don't have a telephone."
noun,Smartphone,das,n,das Smartphone.,Smartphones,smartphone,"Das Smartphone ist teuer.","The smartphone is expensive.","Wo ist mein Smartphone?","Where is my smartphone?"
noun,Rechnung,die,f,die Rechnung — ends in -ung.,Rechnungen,bill / invoice,"Hier ist die Rechnung.","Here is the bill.","Ich schreibe eine Rechnung.","I am writing an invoice."
noun,Brief,der,m,der Brief.,Briefe,letter,"Der Brief ist für Sie.","The letter is for you.","Ich lese den Brief.","I am reading the letter."
noun,Briefmarke,die,f,die Briefmarke — ends in -e.,Briefmarken,postage stamp,"Ich brauche eine Briefmarke.","I need a stamp.","Die Briefmarke kostet 80 Cent.","The stamp costs 80 cents."
noun,Notiz,die,f,die Notiz.,Notizen,note,"Machen Sie sich eine Notiz.","Make a note.","Ich habe eine Notiz für dich.","I have a note for you."
noun,Papier,das,n,das Papier.,Papiere,paper,"Haben wir Papier?","Do we have paper?","Ich brauche Papier für den Drucker.","I need paper for the printer."
noun,E-Mail,die,f,die E-Mail.,E-Mails,email,"Ich schreibe eine E-Mail.","I am writing an email.","Hast du die E-Mail gelesen?","Did you read the email?"
noun,SMS,die,f,die SMS.,SMS,text message,"Ich schicke dir eine SMS.","I will send you a text message.","Ich habe eine SMS von Paul.","I got a text from Paul."
noun,Chef,der,m,der Chef.,Chefs,boss (male),"Der Chef ist nicht da.","The boss is not here.","Mein Chef ist streng.","My boss is strict."
noun,Chefin,die,f,die Chefin.,Chefinnen,boss (female),"Die Chefin telefoniert.","The boss is on the phone.","Ist die Chefin im Büro?","Is the boss in the office?"
noun,Sekretärin,die,f,die Sekretärin.,Sekretärinnen,secretary (female),"Die Sekretärin hilft mir.","The secretary helps me.","Geben Sie das der Sekretärin.","Give that to the secretary."
